# q, R, dR
1.482200000000000011e-02 1.004109542171979896e+00 5.504998239376264479e-02
1.582199999999999926e-02 9.958904578280201036e-01 5.504998239376264479e-02
2.182199999999999765e-02 6.866304451599599679e-01 6.255859779378651619e-02
2.282199999999999854e-02 3.491973757249756671e-01 3.155674964613829070e-02
2.382199999999999943e-02 1.832182832291448793e-01 1.641904235647840410e-02
2.482200000000000031e-02 1.173123065336448834e-01 1.042171414916625259e-02
2.582199999999999773e-02 8.074088074404203730e-02 7.109136517658289772e-03
2.682199999999999862e-02 6.071441920210802340e-02 5.296767973847137448e-03
2.832199999999999995e-02 4.098872052840868418e-02 2.972124947252259737e-03
2.982199999999999782e-02 2.830604581570242417e-02 1.852155089921417828e-03
3.082199999999999870e-02 2.330938439680241281e-02 1.955923256198217192e-03
3.182200000000000306e-02 1.911741719153008806e-02 1.588014691839475905e-03
3.282200000000000395e-02 1.570036669772357368e-02 1.290742879638794418e-03
3.448866666666667441e-02 1.179405188893784852e-02 7.675033036146438432e-04
3.582199999999999968e-02 9.680642863210377896e-03 7.711083113133424590e-04
3.732200000000000101e-02 7.790089694464629073e-03 5.284208026130015994e-04
3.882200000000000234e-02 6.321075526148166486e-03 4.876261552919891845e-04
3.982200000000000323e-02 5.326268855312624867e-03 3.656811128664431043e-04
4.482200000000000073e-02 2.835609909679306061e-03 2.384979195096836489e-04
4.982200000000000517e-02 1.718549667173172382e-03 1.390060731963295893e-04
5.482200000000000267e-02 1.108483180667273627e-03 8.662442127270244814e-05
5.982200000000000017e-02 7.485462710305179060e-04 4.608758349486718418e-05
6.482200000000000462e-02 5.325533504019628250e-04 3.955546947422256232e-05
6.982200000000000906e-02 3.824045567918697513e-04 2.333566984421026356e-05
7.482199999999999962e-02 2.898425405605968889e-04 2.096055838917360983e-05
7.982200000000000406e-02 2.165600210998054696e-04 1.308294235776120219e-05
8.482200000000000850e-02 1.696224792437460568e-04 1.215378541148780725e-05
8.982199999999999906e-02 1.298875392950737387e-04 7.824422401701164816e-06
9.482200000000000351e-02 1.038329417828202862e-04 7.452833474643701116e-06
9.982200000000000795e-02 8.188218705563432803e-05 4.940165362409233879e-06
1.098220000000000030e-01 5.249544656051124373e-05 3.022697821694430557e-06
1.198219999999999980e-01 3.421934962074641508e-05 1.979746445177176103e-06
1.298219999999999930e-01 2.113638654372730969e-05 1.234907005588073932e-06
1.398220000000000018e-01 1.375534738753904106e-05 8.148779170769260131e-07
1.498219999999999830e-01 8.949797595258250301e-06 5.419862042605690321e-07
1.598219999999999918e-01 5.545260559738079789e-06 3.166606313195733985e-07
1.698220000000000007e-01 3.068959283239963554e-06 2.091423975442186075e-07
1.798219999999999819e-01 1.856833818704513318e-06 1.138929430761729363e-07
1.898219999999999907e-01 1.071008608647677059e-06 9.965710248110320270e-08
1.998219999999999996e-01 4.982851861854186930e-07 4.320237570085962692e-08
2.198219999999999896e-01 1.177151282430150562e-07 1.063079989570291098e-08
2.398219999999999796e-01 1.184301701006991582e-07 1.122286180972369795e-08
2.598219999999999974e-01 2.199434024305236350e-07 1.535857016818545977e-08
2.798220000000000152e-01 2.917480477623579335e-07 1.839549129877293022e-08
2.998219999999999774e-01 2.960567659337598929e-07 1.842172797073027401e-08
3.198219999999999952e-01 2.600111813694613782e-07 1.724921748359220682e-08
3.398220000000000129e-01 2.009820419223646786e-07 1.439765705225409362e-08
3.598219999999999752e-01 1.363127005576114322e-07 1.061760476178233426e-08
3.798219999999999930e-01 8.279720057894833739e-08 8.690265774119597258e-09
3.998220000000000107e-01 4.650251925213655394e-08 6.604974135346221105e-09
4.198219999999999730e-01 2.606082971908226384e-08 6.064980071484761882e-09
4.398219999999999907e-01 1.470163538087047836e-08 5.342785440213656479e-09
4.598220000000000085e-01 1.166090385704890325e-08 5.301419629702805469e-09
4.798219999999999708e-01 5.230199571245221254e-08 6.247253304541994686e-06
4.998219999999999885e-01 4.193808211597437245e-09 4.623569362801460177e-09
5.198220000000000063e-01 1.927715188328866690e-08 3.186947653826876365e-08
5.398220000000000240e-01 3.254254504215547521e-09 5.354031518091204756e-09
5.598220000000000418e-01 1.083420559337789042e-08 6.733940582274130136e-09
5.798219999999999485e-01 5.027884072070639400e-09 4.933159516843690008e-09
6.098219999999999752e-01 4.640335037194864233e-09 3.951698304060121105e-09
6.398220000000000018e-01 6.402192611591618790e-09 4.834375264859414770e-09
6.598220000000000196e-01 6.354833842000418655e-09 7.107371811292523093e-09
6.798220000000000374e-01 1.084544727498122835e-08 1.008826733876551657e-08
