# q, R, dR
1.482200000000000011e-02 9.968818939297295900e-01 6.346503465760666707e-02
1.582199999999999926e-02 1.005986411454268925e+00 6.346843810096930438e-02
1.682200000000000015e-02 9.971316946160012629e-01 6.289330619516117493e-02
2.182199999999999765e-02 6.924736492111431829e-01 5.905171550713295830e-02
2.282199999999999854e-02 3.581172514619253011e-01 3.025519442518314131e-02
2.382199999999999943e-02 1.980190535897798365e-01 1.656911596774039708e-02
2.482200000000000031e-02 1.373797656012535617e-01 1.138046209750082777e-02
2.582199999999999773e-02 1.027349558102648164e-01 8.422970820689377677e-03
2.682199999999999862e-02 7.654485550760278811e-02 6.208993154456614490e-03
2.832199999999999995e-02 5.324129466947932765e-02 3.461638300760722705e-03
2.982199999999999782e-02 3.477174890536830626e-02 1.995414311946578419e-03
3.082199999999999870e-02 2.683835091817982771e-02 2.080479788043175515e-03
3.182200000000000306e-02 2.118017262952471419e-02 1.622472179405751560e-03
3.282200000000000395e-02 1.715900419848731193e-02 1.298499722610801325e-03
3.448866666666667441e-02 1.256953421699030793e-02 7.137103284368601693e-04
3.582199999999999968e-02 1.036584774156383906e-02 7.554006756957194670e-04
3.732200000000000101e-02 8.241543300711038147e-03 4.924618175929028037e-04
3.882200000000000234e-02 6.643185053942611031e-03 4.658464357507951050e-04
3.982200000000000323e-02 5.479864962967491426e-03 3.341937335548506960e-04
4.482200000000000073e-02 2.816487716981208676e-03 2.210414220765585726e-04
4.982200000000000517e-02 1.664476521201618993e-03 1.248708798918323978e-04
5.482200000000000267e-02 1.102395575868512318e-03 7.943427023008436114e-05
5.982200000000000017e-02 7.494878545993401489e-04 3.955998551675515639e-05
6.482200000000000462e-02 5.461202126286263852e-04 3.703800658852947933e-05
6.982200000000000906e-02 3.829223762857410685e-04 1.997424707217029490e-05
7.482199999999999962e-02 2.934993623134069408e-04 1.927642461656192265e-05
7.982200000000000406e-02 2.213729406066003739e-04 1.139039979292878636e-05
8.482200000000000850e-02 1.747952087131575925e-04 1.134701602614374685e-05
8.982199999999999906e-02 1.347818146013870459e-04 6.908875288778803778e-06
9.482200000000000351e-02 1.066945001942103295e-04 6.932327752175486991e-06
9.982200000000000795e-02 8.680229319586858468e-05 4.468080749272224519e-06
1.098220000000000030e-01 5.528501013847089717e-05 2.635644809069995027e-06
1.198219999999999980e-01 3.493718974596571943e-05 1.675580838001129990e-06
1.298219999999999930e-01 2.256495352842330634e-05 1.094792595257222322e-06
1.398220000000000018e-01 1.439139009764382376e-05 7.123783596885509720e-07
1.498219999999999830e-01 9.017003065446869831e-06 4.598033631018380280e-07
1.598219999999999918e-01 5.235823795515804039e-06 2.474961059408775988e-07
1.698220000000000007e-01 3.093459440743854959e-06 1.503166968801142601e-07
1.798219999999999819e-01 1.772233676830554903e-06 9.133826028500899480e-08
1.898219999999999907e-01 9.404119209786226570e-07 5.668945763813486511e-08
1.998219999999999996e-01 4.607975444411095414e-07 3.537685500499749754e-08
2.098219999999999807e-01 2.118664265389895996e-07 1.347853453289067147e-08
2.198219999999999896e-01 1.438809015887127548e-07 1.161979454861235722e-08
2.298219999999999985e-01 1.572414924199028289e-07 1.129953128020003055e-08
2.398219999999999796e-01 2.000777590007814930e-07 1.238653679716555802e-08
2.498219999999999885e-01 2.846729426622569968e-07 1.532512273696773487e-08
2.598219999999999974e-01 3.391033361787829170e-07 1.770908977324013689e-08
2.698220000000000063e-01 3.903672989998395040e-07 2.001272458808888720e-08
2.798220000000000152e-01 4.147803731233308978e-07 2.113918021906193990e-08
2.898219999999999685e-01 4.207645131069576855e-07 2.097762617467450328e-08
2.998219999999999774e-01 4.192260348755055253e-07 1.962877938544059131e-08
3.164886666666666404e-01 3.581865288632869387e-07 1.676141722655800104e-08
3.398220000000000129e-01 2.547228124260231918e-07 1.503804284937530657e-08
3.598219999999999752e-01 1.741079304792039902e-07 1.158295533550001030e-08
3.798219999999999930e-01 1.093524220695535621e-07 8.388496233490186947e-09
3.998220000000000107e-01 5.880816910559582941e-08 6.496129319392305408e-09
4.198219999999999730e-01 3.251296494973083802e-08 6.506283397249506841e-09
4.398219999999999907e-01 1.371191642453115324e-08 5.359647894815063121e-09
4.598220000000000085e-01 4.957482523745684521e-09 6.220562638151619888e-09
4.798219999999999708e-01 3.670687942423404061e-09 5.033539995969775435e-09
4.998219999999999885e-01 6.042652592080174130e-09 5.924631130476545689e-09
5.198220000000000063e-01 3.211262080677947401e-09 5.153403471364085307e-09
5.398220000000000240e-01 2.665141414792257267e-09 4.114726455578753054e-07
5.598220000000000418e-01 3.091131872284516217e-09 5.434358381280917777e-09
5.798219999999999485e-01 7.144039557605405781e-09 7.592428898746042657e-09
6.098219999999999752e-01 8.480603014305411214e-09 1.516457502458796090e-08
6.398220000000000018e-01 6.237608294582982979e-09 6.263465262772886907e-09
6.598220000000000196e-01 7.002449945367001852e-09 5.488173889068915826e-09
6.798220000000000374e-01 1.055605906833223166e-08 8.483133374457600806e-09
