# q, R, dR
1.482200000000000011e-02 1.022719657540657856e+00 6.426872235264481648e-02
1.582199999999999926e-02 9.884707521475472047e-01 6.292107650397923968e-02
1.682200000000000015e-02 9.888095903117952723e-01 6.263425821344079103e-02
2.182199999999999765e-02 6.760158550006087896e-01 5.765296666280130683e-02
2.282199999999999854e-02 3.501780385510726012e-01 2.958776851542402331e-02
2.382199999999999943e-02 2.045612957406500454e-01 1.711809514061245208e-02
2.482200000000000031e-02 1.405517000257024696e-01 1.164419165023740203e-02
2.582199999999999773e-02 1.038033571481899037e-01 8.511387119657586389e-03
2.682199999999999862e-02 7.745643307147602463e-02 6.283597339443977407e-03
2.832199999999999995e-02 5.255628556593933826e-02 3.418379027238686169e-03
2.982199999999999782e-02 3.449296995430982393e-02 1.978835468801875760e-03
3.082199999999999870e-02 2.733510723847836985e-02 2.119153379459616428e-03
3.182200000000000306e-02 2.133513084473987256e-02 1.634552165394251300e-03
3.282200000000000395e-02 1.727379919458589541e-02 1.307396895348255771e-03
3.448866666666667441e-02 1.246058957775321614e-02 7.075825225399356945e-04
3.582199999999999968e-02 1.018673893769943273e-02 7.424734670499957964e-04
3.732200000000000101e-02 7.895047244540126519e-03 4.718862203437207284e-04
3.882200000000000234e-02 6.430994603745261023e-03 4.511179246363070930e-04
3.982200000000000323e-02 5.477205532617176673e-03 3.342915343669469741e-04
4.482200000000000073e-02 2.911175229096293372e-03 2.283464523766486857e-04
4.982200000000000517e-02 1.736050613334439493e-03 1.301646076343390809e-04
5.482200000000000267e-02 1.132785443424083778e-03 8.158158639080318711e-05
5.982200000000000017e-02 7.574573034399253221e-04 4.001384725676360610e-05
6.482200000000000462e-02 5.566103919618892951e-04 3.773718135677810718e-05
6.982200000000000906e-02 3.969255730020256685e-04 2.065791918260954222e-05
7.482199999999999962e-02 3.053664558116636987e-04 2.005369099909266458e-05
7.982200000000000406e-02 2.243709609264745624e-04 1.153188860069719686e-05
8.482200000000000850e-02 1.764145438544489789e-04 1.145943876395657213e-05
8.982199999999999906e-02 1.370204351982160461e-04 7.020022921715731140e-06
9.482200000000000351e-02 1.103072172324142937e-04 7.175760300106659617e-06
9.982200000000000795e-02 8.486119646110568398e-05 4.351240058268905211e-06
1.098220000000000030e-01 5.568797662587938758e-05 2.655475698889615376e-06
1.198219999999999980e-01 3.599251817495067145e-05 1.729326714347588684e-06
1.298219999999999930e-01 2.287541062944817603e-05 1.111790249162537134e-06
1.398220000000000018e-01 1.452166079175541023e-05 7.187914147700919555e-07
1.498219999999999830e-01 9.119845411679459334e-06 4.679729808392458934e-07
1.598219999999999918e-01 5.439209861668722808e-06 2.573227680001598903e-07
1.698220000000000007e-01 3.255688642395580588e-06 1.595015460090999284e-07
1.798219999999999819e-01 1.824689248706871482e-06 9.482396275383278420e-08
1.898219999999999907e-01 9.511532933821439678e-07 5.892940985383182180e-08
1.998219999999999996e-01 4.526433796424646806e-07 3.767528876343684770e-08
2.098219999999999807e-01 2.160913633549776570e-07 1.526318188728133294e-08
2.198219999999999896e-01 1.248997443618353338e-07 1.148364741635794385e-08
2.298219999999999985e-01 1.227963796346490525e-07 9.430625513626832734e-09
2.398219999999999796e-01 1.747739117291532466e-07 1.166911967182595891e-08
2.498219999999999885e-01 2.424328071443483894e-07 1.388773119484391890e-08
2.598219999999999974e-01 2.995115389876956660e-07 1.615697840127847720e-08
2.698220000000000063e-01 3.519487231347857041e-07 1.802676982367777633e-08
2.798220000000000152e-01 3.838497375581898269e-07 1.959256657022268872e-08
2.898219999999999685e-01 3.862052010132240083e-07 2.015633621817657590e-08
2.998219999999999774e-01 3.717581255633175836e-07 1.751005346272008960e-08
3.164886666666666404e-01 3.298051617119947023e-07 1.544710957607512210e-08
3.398220000000000129e-01 2.475558845917936764e-07 1.464962109787860646e-08
3.598219999999999752e-01 1.565427847535019925e-07 1.059336355673467480e-08
3.798219999999999930e-01 9.633141511367816178e-08 7.653591294670499133e-09
3.998220000000000107e-01 5.671167050098707236e-08 6.505562518777531774e-09
4.198219999999999730e-01 3.119888149545098368e-08 6.199720843749959396e-09
4.398219999999999907e-01 1.487414364814355360e-08 5.368482929390323301e-09
4.598220000000000085e-01 7.342026826058773347e-09 6.364386680493291100e-09
4.798219999999999708e-01 5.958891518076149074e-08 1.338721826198625169e-06
4.998219999999999885e-01 1.882849852373021863e-09 4.501406487226860398e-09
5.198220000000000063e-01 7.295014287161149124e-09 4.497536578068353593e-09
5.398220000000000240e-01 2.149012262524517533e-09 5.012861598741025824e-09
5.598220000000000418e-01 3.879678976984310823e-09 6.882991001844339732e-09
5.798219999999999485e-01 9.739490827937609620e-09 7.184231638187197686e-09
6.098219999999999752e-01 1.326925723621897050e-08 2.854111912747856658e-08
6.398220000000000018e-01 5.752384561472210252e-09 6.467751600481792813e-09
6.598220000000000196e-01 7.539922432567452427e-08 6.390481370699062247e-07
6.798220000000000374e-01 2.357470953772030551e-08 7.623814700281680433e-05
