# q, R, dR
1.482200000000000011e-02 1.004745375405320829e+00 7.235000857184907541e-02
1.582199999999999926e-02 1.004728012810273574e+00 7.181246569881945263e-02
1.682200000000000015e-02 1.011777698975032669e+00 7.166428640203573175e-02
1.782199999999999757e-02 1.003968536648942145e+00 7.061203066776301773e-02
1.882199999999999845e-02 1.003954590770756106e+00 6.999097271536344755e-02
1.982199999999999934e-02 9.999742070801486138e-01 6.911276532309559850e-02
2.082200000000000023e-02 9.708515783095263973e-01 6.676931870297055094e-02
2.182199999999999765e-02 7.742563688953866263e-01 6.045378465533481072e-02
2.282199999999999854e-02 3.681164161072183472e-01 2.842742614066440243e-02
2.382199999999999943e-02 1.963675430357952334e-01 1.499101279949243033e-02
2.482200000000000031e-02 1.288765248771061578e-01 9.721229591267109560e-03
2.582199999999999773e-02 9.169890383470645501e-02 6.832060228119228411e-03
2.682199999999999862e-02 6.701042591818985594e-02 4.928889713204683345e-03
2.832199999999999995e-02 4.521643178045273159e-02 2.494776793092731010e-03
2.982199999999999782e-02 3.088927043657290622e-02 1.413464663104894254e-03
3.082199999999999870e-02 2.506038739591760420e-02 1.744798309765881227e-03
3.182200000000000306e-02 2.096868773026124011e-02 1.438870249313755918e-03
3.282200000000000395e-02 1.731470280592656980e-02 1.170395589471874814e-03
3.448866666666667441e-02 1.299560630063483629e-02 5.852342208356820039e-04
3.582199999999999968e-02 1.061844672933406203e-02 6.850938879202957826e-04
3.732200000000000101e-02 8.599961619557169173e-03 4.218569122071366174e-04
3.882200000000000234e-02 6.893779403692772839e-03 4.238297630258250023e-04
3.982200000000000323e-02 5.886246069297180333e-03 2.952067104333655706e-04
4.482200000000000073e-02 3.172068435509033460e-03 2.209110602624500997e-04
4.982200000000000517e-02 1.949299814629066067e-03 1.281107884406395908e-04
5.482200000000000267e-02 1.244942897108569039e-03 7.761884034391075093e-05
5.982200000000000017e-02 8.257670587142116984e-04 3.286885317263802466e-05
6.482200000000000462e-02 5.885732519398220904e-04 3.383194868007262460e-05
6.982200000000000906e-02 4.216245527930444128e-04 1.638137254082542969e-05
7.482199999999999962e-02 3.144038812292037494e-04 1.730920060810108396e-05
7.982200000000000406e-02 2.352743257317310276e-04 8.978322431118608145e-06
8.482200000000000850e-02 1.872636772506650396e-04 1.017265456120979974e-05
8.982199999999999906e-02 1.428393753528921792e-04 5.430934343500671565e-06
9.482200000000000351e-02 1.162948983659470439e-04 6.354757389875013019e-06
9.982200000000000795e-02 9.022463025849355631e-05 3.454250736868126742e-06
1.098220000000000030e-01 5.584376905882030981e-05 1.890431668047422023e-06
1.198219999999999980e-01 3.682951611271657243e-05 1.277668400528220544e-06
1.298219999999999930e-01 2.287618935868282648e-05 8.198316383441049800e-07
1.398220000000000018e-01 1.493053635623845649e-05 5.625158147245637286e-07
1.498219999999999830e-01 9.586229644490514422e-06 3.946386010448242419e-07
1.598219999999999918e-01 6.155100595378702806e-06 2.087250551037570880e-07
1.698220000000000007e-01 3.611005150701411965e-06 1.324226727436607241e-07
1.798219999999999819e-01 1.991565102400030744e-06 8.740209051099340384e-08
1.898219999999999907e-01 1.159301691334832499e-06 6.491345649844807211e-08
1.998219999999999996e-01 6.754016307893941647e-07 5.560475083308030324e-08
2.098219999999999807e-01 3.138985080193937847e-07 1.673455630210513477e-08
2.198219999999999896e-01 1.530703087320466224e-07 1.244173137044087807e-08
2.298219999999999985e-01 1.123096538368490996e-07 1.295341892046555821e-08
2.398219999999999796e-01 1.299506027582331454e-07 1.238275080055361784e-08
2.498219999999999885e-01 1.913760445484461902e-07 1.450395070152514027e-08
2.598219999999999974e-01 2.305503592000920935e-07 1.338638391304376626e-08
2.698220000000000063e-01 2.619690874738140107e-07 1.466145278355542787e-08
2.798220000000000152e-01 2.718842087118897286e-07 1.391890432783605668e-08
2.898219999999999685e-01 2.682719855848018768e-07 1.376180734283072311e-08
2.998219999999999774e-01 2.412818946269387305e-07 1.037414525037474914e-08
3.164886666666666404e-01 1.941706066015987970e-07 8.146750054392326398e-09
3.398220000000000129e-01 1.315735659271068308e-07 1.143979747357563444e-08
3.598219999999999752e-01 1.116650327338386915e-07 1.154363160449885076e-08
3.798219999999999930e-01 6.940414468182691020e-08 1.028786992642997643e-08
3.998220000000000107e-01 3.438634414365609117e-08 9.475064790717932998e-09
4.198219999999999730e-01 1.409121612770989835e-08 3.223244532208746272e-06
4.398219999999999907e-01 1.717993388723043512e-08 7.436411264274187597e-09
4.598220000000000085e-01 7.205559728425552611e-09 9.397664224288154932e-09
4.798219999999999708e-01 1.011541728207483459e-08 8.939685516535199807e-09
4.998219999999999885e-01 9.591323005392742842e-09 9.818537880283920188e-09
5.198220000000000063e-01 9.608633530145276435e-09 1.000422242805458275e-08
5.398220000000000240e-01 7.410544535806942781e-09 9.636394056248747446e-09
5.598220000000000418e-01 3.967885739722441036e-08 5.616583845220728226e-08
5.798219999999999485e-01 1.648670906211370742e-08 1.718854864858599279e-08
6.098219999999999752e-01 1.168769363365022028e-08 8.217701227790616883e-09
6.398220000000000018e-01 5.945826513394429007e-09 1.033619595272232697e-08
6.598220000000000196e-01 1.834350848895359767e-08 2.675001350482879651e-08
6.798220000000000374e-01 6.453720762225570380e-09 1.228967203323021677e-08
