# q, R, dR
1.482200000000000011e-02 1.025346117305364624e+00 7.358425482727651290e-02
1.582199999999999926e-02 9.917666759030642210e-01 7.104657028045255340e-02
1.682200000000000015e-02 1.007423638010264133e+00 7.141366619235482716e-02
1.782199999999999757e-02 1.002612333990443805e+00 7.053573441771901487e-02
1.882199999999999845e-02 1.006494148257239596e+00 7.014141943784023281e-02
1.982199999999999934e-02 9.848201562619267602e-01 6.823956514678841678e-02
2.082200000000000023e-02 9.815369302716966393e-01 6.738810347981866178e-02
2.182199999999999765e-02 7.998471202168072614e-01 6.245344094277624492e-02
2.282199999999999854e-02 3.765314074595121352e-01 2.907907176231763410e-02
2.382199999999999943e-02 2.075185283803588909e-01 1.584273702228363237e-02
2.482200000000000031e-02 1.317864320712267001e-01 9.941848207520313091e-03
2.582199999999999773e-02 9.590659968559669957e-02 7.146311971971431969e-03
2.682199999999999862e-02 7.048807675820077667e-02 5.185413995713590400e-03
2.832199999999999995e-02 4.726786235449274842e-02 2.615622057919402520e-03
2.982199999999999782e-02 3.360052551583210534e-02 1.545744950641981738e-03
3.082199999999999870e-02 2.778973747928705634e-02 1.934717782848787825e-03
3.182200000000000306e-02 2.252712726211485161e-02 1.545629125769459053e-03
3.282200000000000395e-02 1.916907519919152161e-02 1.295437003834573044e-03
3.448866666666667441e-02 1.408420395885468836e-02 6.333534333159700387e-04
3.582199999999999968e-02 1.162296678395582580e-02 7.495902142889201156e-04
3.732200000000000101e-02 9.178282574732268134e-03 4.501018459332566091e-04
3.882200000000000234e-02 7.683935853836148730e-03 4.718943381240019879e-04
3.982200000000000323e-02 6.518549975995509456e-03 3.262872816929257417e-04
4.482200000000000073e-02 3.525823741665972972e-03 2.449158905092178071e-04
4.982200000000000517e-02 2.143886713417118145e-03 1.404780296078837233e-04
5.482200000000000267e-02 1.372488207721283366e-03 8.527314016811383208e-05
5.982200000000000017e-02 9.409425121182637616e-04 3.735287714531620995e-05
6.482200000000000462e-02 6.664225065207034834e-04 3.814303840664432389e-05
6.982200000000000906e-02 4.780153058225621900e-04 1.852906760550469896e-05
7.482199999999999962e-02 3.634428523867103220e-04 1.988618593058611193e-05
7.982200000000000406e-02 2.761088966342283512e-04 1.049749973713589211e-05
8.482200000000000850e-02 2.176512597067589130e-04 1.174360983996127260e-05
8.982199999999999906e-02 1.650691054083460070e-04 6.243461826024282566e-06
9.482200000000000351e-02 1.342446966845336825e-04 7.271868967813672102e-06
9.982200000000000795e-02 1.025154209644764023e-04 3.886680540412946898e-06
1.098220000000000030e-01 6.617247111140107301e-05 2.224889436363526508e-06
1.198219999999999980e-01 4.215366446975807318e-05 1.448771676184267531e-06
1.298219999999999930e-01 2.844234077422332985e-05 1.004319645418902968e-06
1.398220000000000018e-01 1.789073357966660944e-05 6.674704797402521866e-07
1.498219999999999830e-01 1.111997612865479380e-05 4.463405743807437213e-07
1.598219999999999918e-01 7.364920372086152768e-06 2.449803634421951455e-07
1.698220000000000007e-01 4.345850663671652701e-06 1.598755515461652107e-07
1.798219999999999819e-01 2.534349957696781884e-06 1.047246730765899083e-07
1.898219999999999907e-01 1.298668403927424843e-06 7.225560908888857027e-08
1.998219999999999996e-01 6.995648530483879489e-07 5.572627713592522113e-08
2.098219999999999807e-01 3.310484003908762270e-07 1.882121919277480629e-08
2.198219999999999896e-01 1.665755462228051509e-07 1.418518198061942898e-08
2.298219999999999985e-01 1.070661643427941014e-07 1.262907494811575042e-08
2.398219999999999796e-01 1.131123113637672101e-07 1.342429717308592390e-08
2.498219999999999885e-01 1.441532229542938329e-07 1.296580792255079977e-08
2.598219999999999974e-01 1.893187626789575094e-07 1.394494037575596754e-08
2.698220000000000063e-01 2.389217889818215637e-07 1.324379333433439247e-08
2.798220000000000152e-01 2.641591818106142872e-07 1.548146703876170147e-08
2.898219999999999685e-01 2.713844568224685714e-07 1.590643015092593366e-08
2.998219999999999774e-01 2.833916629054983829e-07 1.135257219518678501e-08
3.164886666666666404e-01 2.691631441047132627e-07 1.035157888965617634e-08
3.398220000000000129e-01 2.157389945638416445e-07 1.563952671545076713e-08
3.598219999999999752e-01 1.631884553893304899e-07 1.403940250001852068e-08
3.798219999999999930e-01 1.119944745990846478e-07 1.080826756547131154e-08
3.998220000000000107e-01 6.453397608067575198e-08 1.025186976990098988e-08
4.198219999999999730e-01 4.684763186605848037e-08 1.354983089005131639e-08
4.398219999999999907e-01 1.939937355238894029e-08 7.446615886209827589e-09
4.598220000000000085e-01 1.283843568102521837e-08 7.217519956755175121e-09
4.798219999999999708e-01 1.187746755576561635e-08 9.574730758116432565e-09
4.998219999999999885e-01 1.434147952356564591e-08 1.090203757381146117e-08
5.198220000000000063e-01 7.808357653426266661e-09 9.315722872447329987e-09
5.398220000000000240e-01 4.143015644324998665e-09 3.520007322868006600e-06
5.598220000000000418e-01 1.075721117799460628e-08 1.349519876719455284e-08
5.798219999999999485e-01 8.464267606071171342e-09 3.221840505239368396e-08
6.098219999999999752e-01 1.344809493088802871e-08 1.105860687928707856e-08
6.398220000000000018e-01 1.134412769744466526e-08 1.315884587141008147e-08
6.598220000000000196e-01 8.154153835348133265e-09 1.273794210595291220e-08
6.798220000000000374e-01 1.737781879008876456e-07 1.968538533870129626e-06
