# q, R, dR
1.482200000000000011e-02 1.094509815114565798e+00 6.456533302380632056e-02
1.582199999999999926e-02 1.053149419153437405e+00 6.082117612350858293e-02
1.682200000000000015e-02 1.023386215808936184e+00 5.763511032728699246e-02
1.782199999999999757e-02 9.934107343426635817e-01 5.446045849069527933e-02
1.882199999999999845e-02 9.698017950783081043e-01 5.161114004740428168e-02
1.982199999999999934e-02 9.471135488844054651e-01 4.884679420413030881e-02
2.082200000000000023e-02 9.186284716176822407e-01 4.588313666607838487e-02
2.182199999999999765e-02 7.506424773385597105e-01 4.081850764819913713e-02
2.282199999999999854e-02 3.085332937923410679e-01 1.616322012671546002e-02
2.382199999999999943e-02 1.796351921156275344e-01 9.064413094949376817e-03
2.482200000000000031e-02 1.193472246190551006e-01 5.798627001597584686e-03
2.582199999999999773e-02 8.521240367794784276e-02 3.999553132584616338e-03
2.682199999999999862e-02 6.300080884146488924e-02 2.857598246228814504e-03
2.832199999999999995e-02 4.435831720610748652e-02 1.539732943786151264e-03
2.982199999999999782e-02 3.148642752255426114e-02 9.239142388265489956e-04
3.082199999999999870e-02 2.620637701466340536e-02 1.071462881532233300e-03
3.182200000000000306e-02 2.269753280782881716e-02 9.103312899380916652e-04
3.282200000000000395e-02 1.872496402579283681e-02 7.480310418480887093e-04
3.448866666666667441e-02 1.402291877556258344e-02 4.029947393368221221e-04
3.582199999999999968e-02 1.179974886178324946e-02 4.757332190468094388e-04
3.732200000000000101e-02 9.445971935676868506e-03 3.178175259119518149e-04
3.882200000000000234e-02 8.558753080785835160e-03 3.555873234939040638e-04
3.982200000000000323e-02 6.811081592278155419e-03 2.175608428153611731e-04
4.482200000000000073e-02 3.994327811308111612e-03 1.242131315072811371e-04
4.982200000000000517e-02 2.533589685697848915e-03 7.757228464103569884e-05
5.482200000000000267e-02 1.711797500806767729e-03 5.243507128219104856e-05
5.982200000000000017e-02 1.174340159210731250e-03 2.937335687560033482e-05
6.482200000000000462e-02 8.758495412379892642e-04 2.730717605983334968e-05
6.982200000000000906e-02 6.424385830359951926e-04 1.620430608306675906e-05
7.482199999999999962e-02 4.820587578273171736e-04 1.549546349220785367e-05
7.982200000000000406e-02 3.767326452234325820e-04 9.606676092978310301e-06
8.482200000000000850e-02 2.911711573859704209e-04 9.677237558077820669e-06
8.982199999999999906e-02 2.371096729606910207e-04 6.157610304448830295e-06
9.482200000000000351e-02 1.893073303762181586e-04 6.715654214223032311e-06
9.982200000000000795e-02 1.520415794446926976e-04 4.064516262825261364e-06
1.098220000000000030e-01 9.800696634986081853e-05 2.256235014592937308e-06
1.198219999999999980e-01 6.604609768227974291e-05 1.541721456865700182e-06
1.298219999999999930e-01 4.318707100304042739e-05 1.012405839290309470e-06
1.398220000000000018e-01 2.974707208449721356e-05 7.040526939216200045e-07
1.498219999999999830e-01 2.001711247070471435e-05 4.885314382017627943e-07
1.598219999999999918e-01 1.300764208647746334e-05 3.028030537810106419e-07
1.698220000000000007e-01 8.310448110947454115e-06 1.981742206400608062e-07
1.798219999999999819e-01 5.077496916795613303e-06 1.237407866910881075e-07
1.898219999999999907e-01 2.907405984288864496e-06 7.442125738937013470e-08
1.998219999999999996e-01 1.574292711598190587e-06 4.572410852109668849e-08
2.098219999999999807e-01 7.195213253862922499e-07 1.825754758421443441e-08
2.198219999999999896e-01 3.528583790598559478e-07 9.804876898515802651e-09
2.298219999999999985e-01 2.009484494906945191e-07 6.812079151322783862e-09
2.398219999999999796e-01 1.791435047793331573e-07 5.650675637828276787e-09
2.498219999999999885e-01 2.264928539543270720e-07 6.989878448892238257e-09
2.598219999999999974e-01 2.992944750983923620e-07 8.569193509703183587e-09
2.698220000000000063e-01 3.775684863360044963e-07 9.720947495251658666e-09
2.798220000000000152e-01 4.285825035981825197e-07 1.138733755450369790e-08
2.898219999999999685e-01 4.672707043656669166e-07 1.226711445651763482e-08
2.998219999999999774e-01 4.833921137370544851e-07 1.175645091785196481e-08
3.164886666666666404e-01 4.307054618451052284e-07 1.057966516595014432e-08
3.398220000000000129e-01 2.890931917686713730e-07 8.284072676700305668e-09
3.598219999999999752e-01 1.831980795554835375e-07 6.008248830431053090e-09
3.798219999999999930e-01 1.088576181397597862e-07 4.150278094269497937e-09
3.998220000000000107e-01 5.921895593005397297e-08 2.623626453909925666e-09
4.198219999999999730e-01 3.307984022267494074e-08 1.525096084029959164e-09
4.398219999999999907e-01 1.708276626673833779e-08 1.283732033084540185e-09
4.598220000000000085e-01 1.051670644619229478e-08 1.058941377067310766e-09
4.798219999999999708e-01 7.068861752251100144e-09 8.596671758807064556e-10
4.998219999999999885e-01 5.260009997867007584e-09 8.760949532579518073e-10
5.198220000000000063e-01 4.444457211554029133e-09 1.026897146209151981e-09
5.398220000000000240e-01 3.336977187100624712e-09 7.115772901848623165e-10
5.598220000000000418e-01 2.581138552308283062e-09 6.560177577328187347e-10
5.798219999999999485e-01 6.489435202466435451e-10 1.293210444040699144e-09
6.098219999999999752e-01 6.618285328200907793e-10 5.181285648173931239e-10
6.398220000000000018e-01 3.176979945268080331e-10 1.038741032294331334e-09
6.598220000000000196e-01 4.382024525581162753e-10 6.779501165271812922e-10
6.798220000000000374e-01 1.476524745180534162e-09 1.280599659700639033e-09
