# q, R, dR
1.482200000000000011e-02 1.097769532760241917e+00 6.472150249283981083e-02
1.582199999999999926e-02 1.059357301110485094e+00 6.111339701939266095e-02
1.682200000000000015e-02 1.024841847159387420e+00 5.770383929316535987e-02
1.782199999999999757e-02 9.873977716751393130e-01 5.418933459957456927e-02
1.882199999999999845e-02 9.673632923786570359e-01 5.150832333562251064e-02
1.982199999999999934e-02 9.438467160516106347e-01 4.870438475727873612e-02
2.082200000000000023e-02 9.194235388644795837e-01 4.591710715923569969e-02
2.182199999999999765e-02 7.074302457584548121e-01 3.847419163409453863e-02
2.282199999999999854e-02 2.832467604460371935e-01 1.484451914008795038e-02
2.382199999999999943e-02 1.656428733399668840e-01 8.361620111201020777e-03
2.482200000000000031e-02 1.127746657041628214e-01 5.485751631069351805e-03
2.582199999999999773e-02 8.314929339469645520e-02 3.896814042232900517e-03
2.682199999999999862e-02 6.048626597777650993e-02 2.743298428263387344e-03
2.782199999999999951e-02 4.839425895494884472e-02 2.125440989314375789e-03
2.882200000000000040e-02 3.749973325635683197e-02 1.604095851100665682e-03
2.982199999999999782e-02 3.050398667835684668e-02 9.025784751600221317e-04
3.082199999999999870e-02 2.604133273033012314e-02 1.059245567604252336e-03
3.182200000000000306e-02 2.157945559569743321e-02 8.679009603033472665e-04
3.282200000000000395e-02 1.820478139949285520e-02 7.208137559685872612e-04
3.382200000000000484e-02 1.547506645149617291e-02 6.179989009081626608e-04
3.482200000000000573e-02 1.277222596491862233e-02 3.912317893485030870e-04
3.582199999999999968e-02 1.147466897159398098e-02 4.595543320526676817e-04
3.682200000000000056e-02 1.017070218422648324e-02 4.169570916103992517e-04
3.832200000000000190e-02 8.322616949316470614e-03 2.809746139560156627e-04
3.982200000000000323e-02 6.876522012124497082e-03 2.191540052131482142e-04
4.482200000000000073e-02 3.991392227582118805e-03 1.234867551066243534e-04
4.982200000000000517e-02 2.573035646029051861e-03 7.835270683323794765e-05
5.482200000000000267e-02 1.721486919065074199e-03 5.245859875850454731e-05
5.982200000000000017e-02 1.199228543442366511e-03 2.985528833751371764e-05
6.482200000000000462e-02 8.892769177383198428e-04 2.756647054852452233e-05
6.982200000000000906e-02 6.549228473379858570e-04 1.647723491964811797e-05
7.482199999999999962e-02 5.051024651755484747e-04 1.611565340489166617e-05
7.982200000000000406e-02 3.826697545382463689e-04 9.733110650848031940e-06
8.482200000000000850e-02 3.110342865851237052e-04 1.028747129759377574e-05
8.982199999999999906e-02 2.377799275111845841e-04 6.218404756051579579e-06
9.482200000000000351e-02 1.920036856195844873e-04 6.725029421780275619e-06
9.982200000000000795e-02 1.508434355807609733e-04 4.075730048971680142e-06
1.098220000000000030e-01 9.583976907773536318e-05 2.225237765779361770e-06
1.198219999999999980e-01 6.358516703309316260e-05 1.474989315643785226e-06
1.298219999999999930e-01 4.126337624195896924e-05 9.670925784062831589e-07
1.398220000000000018e-01 2.630954096502081382e-05 6.298325518873900553e-07
1.498219999999999830e-01 1.686405189974163170e-05 4.131137511903202293e-07
1.598219999999999918e-01 1.065424621364837346e-05 2.510196673271692190e-07
1.698220000000000007e-01 6.245544167859714283e-06 1.505684139048878565e-07
1.798219999999999819e-01 3.635998209806230697e-06 9.071920813886575118e-08
1.898219999999999907e-01 1.969809791924263946e-06 5.313977251175396518e-08
1.998219999999999996e-01 1.022521868229040541e-06 3.122236162569933304e-08
2.098219999999999807e-01 5.061889159554198555e-07 1.316028031111865580e-08
2.198219999999999896e-01 3.146390544648183559e-07 9.128486033177786042e-09
2.298219999999999985e-01 3.246411617226713616e-07 9.311938643669340672e-09
2.398219999999999796e-01 4.355863078643496314e-07 1.197222916222468458e-08
2.498219999999999885e-01 5.909892190030493178e-07 1.586976952186827987e-08
2.598219999999999974e-01 7.228598630371439647e-07 1.781092787108684632e-08
2.698220000000000063e-01 8.320590701259712846e-07 2.024646551850691147e-08
2.798220000000000152e-01 8.746682323222414313e-07 2.155110226269618930e-08
2.898219999999999685e-01 9.036143734535424786e-07 2.224347249741511630e-08
2.998219999999999774e-01 8.757835352760058279e-07 2.207970654741276577e-08
3.098219999999999863e-01 8.121146433362987535e-07 2.073462555553610375e-08
3.198219999999999952e-01 7.459850445475905943e-07 1.967139543890151167e-08
3.298220000000000041e-01 6.656207176379134373e-07 1.777778511343383808e-08
3.448219999999999619e-01 5.322388605200044325e-07 1.290413815630142168e-08
3.598219999999999752e-01 4.060065048034843278e-07 1.099661502680741702e-08
3.698219999999999841e-01 3.319626552777207277e-07 9.502657652425372983e-09
3.798219999999999930e-01 2.632671003649653903e-07 8.306093423717551237e-09
3.898220000000000018e-01 1.925486428703502134e-07 6.197143975988113554e-09
