# q, R, dR
1.482200000000000011e-02 1.100913058954829715e+00 6.487922840756235598e-02
1.582199999999999926e-02 1.059107506198325499e+00 6.111122322949223695e-02
1.682200000000000015e-02 1.030045376669934010e+00 5.795324169219894656e-02
1.782199999999999757e-02 9.925205896518493054e-01 5.443081960246224510e-02
1.882199999999999845e-02 9.658762967746117312e-01 5.145012015835533775e-02
1.982199999999999934e-02 9.403386431847060578e-01 4.855998357007952626e-02
2.082200000000000023e-02 9.111985285657445699e-01 4.557348898296570416e-02
2.182199999999999765e-02 7.121196105309803848e-01 3.873516195498613590e-02
2.282199999999999854e-02 2.811989785281558962e-01 1.474140761374995341e-02
2.382199999999999943e-02 1.628865866212200197e-01 8.226337141112047627e-03
2.482200000000000031e-02 1.139669442710071340e-01 5.546892550674401359e-03
2.582199999999999773e-02 8.353505562382591842e-02 3.919122612697435032e-03
2.682199999999999862e-02 6.173309027094775470e-02 2.799782343733527544e-03
2.782199999999999951e-02 4.814704642103601745e-02 2.116732954138636665e-03
2.882200000000000040e-02 3.710474703368011468e-02 1.584696524824583553e-03
2.982199999999999782e-02 2.999541402314656949e-02 8.877949172982589621e-04
3.082199999999999870e-02 2.591112295304943622e-02 1.053987208511176360e-03
3.182200000000000306e-02 2.126878610800242431e-02 8.520020198977123083e-04
3.282200000000000395e-02 1.702416417368410664e-02 6.835988098280069503e-04
3.382200000000000484e-02 1.504011569963774331e-02 5.984138414391144620e-04
3.482200000000000573e-02 1.280326565862648439e-02 3.948051907815912885e-04
3.582199999999999968e-02 1.150579320746919834e-02 4.615553848056637280e-04
3.682200000000000056e-02 1.016117837096064576e-02 4.180718483966140318e-04
3.832200000000000190e-02 8.288881192393432462e-03 2.814435805710328539e-04
3.982200000000000323e-02 6.775688368046222168e-03 2.171092690114260072e-04
4.482200000000000073e-02 3.892897065410931209e-03 1.207569157989011167e-04
4.982200000000000517e-02 2.509926988580638355e-03 7.661005641626525485e-05
5.482200000000000267e-02 1.682625718350861310e-03 5.141784756960347640e-05
5.982200000000000017e-02 1.167029293725325295e-03 2.912338911044356850e-05
6.482200000000000462e-02 8.722202185558208419e-04 2.714002597505547481e-05
6.982200000000000906e-02 6.424638232241678890e-04 1.619860154953421756e-05
7.482199999999999962e-02 4.790853249166679775e-04 1.532232327626875421e-05
7.982200000000000406e-02 3.751685270022915748e-04 9.591902350203779045e-06
8.482200000000000850e-02 2.755658483945857260e-04 9.303771493778784544e-06
8.982199999999999906e-02 2.322693071548265925e-04 6.068350615764212078e-06
9.482200000000000351e-02 1.844313902105304288e-04 6.538985361034933476e-06
9.982200000000000795e-02 1.461571953035232488e-04 3.963133801182541863e-06
1.098220000000000030e-01 9.329472683737645065e-05 2.166850774956664745e-06
1.198219999999999980e-01 6.144983172908588672e-05 1.425799477887192981e-06
1.298219999999999930e-01 4.001436780494624910e-05 9.391174827959816686e-07
1.398220000000000018e-01 2.568711278006489233e-05 6.152665561489691440e-07
1.498219999999999830e-01 1.662269064635717289e-05 4.096182094336945797e-07
1.598219999999999918e-01 1.024816702938045345e-05 2.418245776146138934e-07
1.698220000000000007e-01 6.161361671866894576e-06 1.485089635190716051e-07
1.798219999999999819e-01 3.538137521182787278e-06 8.858863385098879511e-08
1.898219999999999907e-01 1.944680617545636690e-06 5.348059813380481380e-08
1.998219999999999996e-01 9.945180550957290429e-07 3.087716807729651414e-08
2.098219999999999807e-01 5.085864737320028495e-07 1.340476214935384228e-08
2.198219999999999896e-01 3.196251341846810169e-07 9.065304214550702347e-09
2.298219999999999985e-01 3.090428518749222338e-07 8.527790574631548271e-09
2.398219999999999796e-01 4.226125072776908435e-07 1.170300015062023146e-08
2.498219999999999885e-01 5.793083153768895263e-07 1.535663186041425593e-08
2.598219999999999974e-01 7.226299346751120779e-07 1.806898384665874968e-08
2.698220000000000063e-01 8.240676834076860160e-07 1.989291072791889863e-08
2.798220000000000152e-01 8.923913945475516771e-07 2.197504468368964533e-08
2.898219999999999685e-01 8.986601320944599270e-07 2.235317469973204922e-08
2.998219999999999774e-01 8.816829946281079639e-07 2.200621934579172352e-08
3.098219999999999863e-01 8.264009266920703994e-07 2.105326093385111135e-08
3.198219999999999952e-01 7.469580339425626181e-07 2.001369694063917578e-08
3.298220000000000041e-01 6.643835270200578528e-07 1.769059136695312025e-08
3.448219999999999619e-01 5.438389128468223556e-07 1.321016471060214437e-08
3.598219999999999752e-01 4.112972468560185367e-07 1.115276782752571977e-08
3.698219999999999841e-01 3.319001184568651719e-07 9.330198828376313795e-09
3.798219999999999930e-01 2.603444035023396635e-07 7.775380012814085328e-09
3.898220000000000018e-01 2.017095715096901943e-07 6.608432753353152954e-09
