# q, R, dR
1.482200000000000011e-02 1.093550541975423451e+00 6.452351078814040630e-02
1.582199999999999926e-02 1.057522443827165093e+00 6.103168158553382711e-02
1.682200000000000015e-02 1.020251993810067814e+00 5.749195760487891410e-02
1.782199999999999757e-02 9.940541948626051560e-01 5.449334896087343338e-02
1.882199999999999845e-02 9.707862733645309383e-01 5.166088961406241353e-02
1.982199999999999934e-02 9.464207122284569174e-01 4.881753962775622901e-02
2.082200000000000023e-02 9.174138399317516290e-01 4.583261289510032893e-02
2.182199999999999765e-02 7.194778520365150420e-01 3.913013617560415214e-02
2.282199999999999854e-02 2.935490865753597745e-01 1.538005642228629753e-02
2.382199999999999943e-02 1.657322180306492199e-01 8.369092585682294180e-03
2.482200000000000031e-02 1.131853225661889339e-01 5.504988111035647412e-03
2.582199999999999773e-02 8.289163245568817451e-02 3.888751279368499007e-03
2.682199999999999862e-02 6.253158648836658340e-02 2.833313731344309395e-03
2.782199999999999951e-02 4.864163305105431018e-02 2.135521862328173745e-03
2.882200000000000040e-02 3.795792062778453185e-02 1.618724705290925693e-03
2.982199999999999782e-02 3.042540724623774007e-02 8.982300917620369583e-04
3.082199999999999870e-02 2.625298684638906893e-02 1.073747886014161674e-03
3.182200000000000306e-02 2.152838990296412555e-02 8.659980011528940627e-04
3.282200000000000395e-02 1.827997995822706195e-02 7.283520931016105497e-04
3.382200000000000484e-02 1.524922896010623072e-02 6.121246283290914707e-04
3.482200000000000573e-02 1.300437607970836990e-02 3.965235516850428347e-04
3.582199999999999968e-02 1.171913554729249983e-02 4.707201696561984249e-04
3.682200000000000056e-02 1.018539198039345416e-02 4.144103397615588242e-04
3.832200000000000190e-02 8.465362754644642496e-03 2.866000699598942963e-04
3.982200000000000323e-02 6.774599623167338984e-03 2.150943746374249618e-04
4.482200000000000073e-02 4.044467219285923128e-03 1.252490925960457599e-04
4.982200000000000517e-02 2.587560520022551963e-03 7.885065624290119892e-05
5.482200000000000267e-02 1.722682971587555538e-03 5.255990363078208113e-05
5.982200000000000017e-02 1.209798923120092729e-03 3.013467111310963423e-05
6.482200000000000462e-02 8.859382470822263836e-04 2.748480853081955951e-05
6.982200000000000906e-02 6.664275916876166890e-04 1.678875529447307544e-05
7.482199999999999962e-02 5.166926577264464599e-04 1.649472687369286976e-05
7.982200000000000406e-02 3.880108374506704896e-04 9.951462272190846552e-06
8.482200000000000850e-02 3.034761733370054540e-04 1.017783117251434063e-05
8.982199999999999906e-02 2.377336945564950091e-04 6.240798901917280529e-06
9.482200000000000351e-02 1.894101023204990152e-04 6.797610881041001390e-06
9.982200000000000795e-02 1.525774554595987059e-04 4.123963130393429555e-06
1.098220000000000030e-01 9.714565759029514301e-05 2.257665600804610724e-06
1.198219999999999980e-01 6.387762748409979397e-05 1.481196922841364768e-06
1.298219999999999930e-01 4.189861549120685411e-05 9.819725249145185453e-07
1.398220000000000018e-01 2.667494946915407186e-05 6.396780809338453454e-07
1.498219999999999830e-01 1.720018644654091973e-05 4.221435130167972771e-07
1.598219999999999918e-01 1.108796391510347444e-05 2.613568157341373715e-07
1.698220000000000007e-01 6.751722061478845899e-06 1.619055174519737521e-07
1.798219999999999819e-01 3.921393498884767604e-06 9.771772389952744653e-08
1.898219999999999907e-01 2.170703317846810486e-06 5.936248795629823092e-08
1.998219999999999996e-01 1.081284068528574756e-06 3.254398567588175643e-08
2.098219999999999807e-01 5.578677862385449334e-07 1.469687471392946570e-08
2.198219999999999896e-01 3.368750998423983460e-07 9.309251969420213156e-09
2.298219999999999985e-01 3.443506710899872271e-07 1.002481426289681111e-08
2.398219999999999796e-01 4.555288067923054735e-07 1.272079513018133347e-08
2.498219999999999885e-01 6.195463188298118641e-07 1.651734496714402118e-08
2.598219999999999974e-01 7.576841767297535597e-07 1.869332107319100900e-08
2.698220000000000063e-01 8.733579725122106521e-07 2.122241348374119017e-08
2.798220000000000152e-01 9.379414227578319770e-07 2.290620051279463069e-08
2.898219999999999685e-01 9.476714660269630563e-07 2.335751640258535745e-08
2.998219999999999774e-01 9.291458997285725093e-07 2.324575626770743326e-08
3.098219999999999863e-01 8.724615115196595245e-07 2.237788039271568063e-08
3.198219999999999952e-01 7.946731914485163760e-07 2.081027931368776168e-08
3.298220000000000041e-01 7.114339152063990320e-07 1.875293882221063614e-08
3.448219999999999619e-01 5.737203516296284229e-07 1.383195092825928091e-08
3.598219999999999752e-01 4.419157230846685919e-07 1.204016664717146413e-08
3.698219999999999841e-01 3.592682116069988804e-07 9.996657117593784211e-09
3.798219999999999930e-01 2.815110807529838990e-07 8.686092983167967098e-09
3.898220000000000018e-01 2.205885830401273788e-07 6.889511896857209060e-09
