# q, R, dR
1.482200000000000011e-02 1.106123851344448239e+00 6.512181733857964894e-02
1.582199999999999926e-02 1.056793637654770635e+00 6.099244359081852640e-02
1.682200000000000015e-02 1.014697835284419369e+00 5.723163725898394033e-02
1.782199999999999757e-02 9.832933880014879113e-01 5.400079374269619453e-02
1.882199999999999845e-02 9.679221003139837354e-01 5.153028809976772928e-02
1.982199999999999934e-02 9.501726668666106157e-01 4.898130717321742822e-02
2.082200000000000023e-02 9.209965205342790506e-01 4.598566878295445859e-02
2.182199999999999765e-02 7.125025017633785929e-01 3.875151741892977203e-02
2.282199999999999854e-02 2.838746466375460797e-01 1.487641826690271063e-02
2.382199999999999943e-02 1.698825521660366766e-01 8.571208484420262882e-03
2.482200000000000031e-02 1.122050857012377029e-01 5.457940936041505257e-03
2.582199999999999773e-02 8.183392271607070612e-02 3.836287531615776864e-03
2.682199999999999862e-02 6.232877347791852818e-02 2.823240204853005517e-03
2.782199999999999951e-02 4.902652930778197277e-02 2.154292009977340928e-03
2.882200000000000040e-02 3.829771546348267885e-02 1.632611616355135941e-03
2.982199999999999782e-02 3.116744951769452598e-02 9.225769787244618653e-04
3.082199999999999870e-02 2.648695277793977274e-02 1.077999249666101870e-03
3.182200000000000306e-02 2.213389805881194050e-02 8.844578915735878044e-04
3.282200000000000395e-02 1.849785374373384000e-02 7.357730355311793485e-04
3.382200000000000484e-02 1.432071384976567330e-02 5.801624909254377320e-04
3.482200000000000573e-02 1.283388706379105793e-02 3.917028467435329942e-04
3.582199999999999968e-02 1.132034285543959476e-02 4.628917024230447480e-04
3.682200000000000056e-02 1.034684283107147919e-02 4.204771971184158210e-04
3.832200000000000190e-02 8.470454474125602151e-03 2.852343850728473475e-04
3.982200000000000323e-02 6.948052569851692443e-03 2.177945715829838471e-04
4.482200000000000073e-02 4.014181237505702951e-03 1.244597312277592467e-04
4.982200000000000517e-02 2.565180821389526945e-03 7.827947572894315080e-05
5.482200000000000267e-02 1.705746206094154284e-03 5.209882218896753144e-05
5.982200000000000017e-02 1.194415210477670335e-03 2.972099708182913643e-05
6.482200000000000462e-02 8.902921877499116394e-04 2.769588577502256918e-05
6.982200000000000906e-02 6.562164802091849641e-04 1.651098168907117188e-05
7.482199999999999962e-02 5.151678705060146798e-04 1.643301569635130630e-05
7.982200000000000406e-02 3.886856482769342463e-04 9.959500200834772975e-06
8.482200000000000850e-02 3.029240429696926254e-04 1.010738710836175530e-05
8.982199999999999906e-02 2.211474252104143120e-04 5.832402367690685976e-06
9.482200000000000351e-02 1.961133634879528556e-04 6.920806858854173411e-06
9.982200000000000795e-02 1.549181233289817754e-04 4.232104926812698440e-06
1.098220000000000030e-01 9.610125583313853506e-05 2.236015393039630658e-06
1.198219999999999980e-01 6.409111745406231148e-05 1.486149835113585094e-06
1.298219999999999930e-01 4.252234708378965756e-05 9.959127229006033902e-07
1.398220000000000018e-01 2.751271449130722073e-05 6.581531789890829015e-07
1.498219999999999830e-01 1.770536747659353134e-05 4.337881221475801242e-07
1.598219999999999918e-01 1.115878703767537842e-05 2.629175089658450817e-07
1.698220000000000007e-01 6.839004517181667658e-06 1.640039065206120660e-07
1.798219999999999819e-01 3.999570506569624736e-06 9.885681535095379510e-08
1.898219999999999907e-01 2.201662397024785345e-06 5.971416892134755676e-08
1.998219999999999996e-01 1.124518056387016397e-06 3.349609839925996045e-08
2.098219999999999807e-01 5.347276459874081755e-07 1.347938853312766956e-08
2.198219999999999896e-01 3.062581810962806568e-07 8.390635435951825483e-09
2.298219999999999985e-01 3.043914136936411353e-07 8.573959759722322705e-09
2.398219999999999796e-01 4.238172092905528213e-07 1.182158439152577429e-08
2.498219999999999885e-01 5.761564897913983556e-07 1.544036572544341098e-08
2.598219999999999974e-01 7.153715787937742547e-07 1.756004952197858325e-08
2.698220000000000063e-01 8.390485107643534597e-07 2.025106688633611809e-08
2.798220000000000152e-01 8.927624130431655136e-07 2.161373609388211372e-08
2.898219999999999685e-01 9.057183639330706142e-07 2.220100413479056911e-08
2.998219999999999774e-01 8.938762826765647811e-07 2.237228288436329131e-08
3.098219999999999863e-01 8.466507980032560052e-07 2.148277759858599739e-08
3.198219999999999952e-01 7.660725918225064255e-07 2.018251275948585464e-08
3.298220000000000041e-01 6.847870611874933492e-07 1.822976772997510520e-08
3.448219999999999619e-01 5.479367364982111610e-07 1.336837972994719852e-08
3.598219999999999752e-01 4.186095948590781501e-07 1.141487715119046976e-08
3.698219999999999841e-01 3.371879090990437236e-07 9.879429790488705098e-09
3.798219999999999930e-01 2.653537035424609326e-07 8.178647535658800100e-09
3.898220000000000018e-01 2.032098744790473422e-07 6.619960374944764264e-09
