# q, R, dR, dq
1.499999999999999944e-02 9.393471044672617731e-01 3.578225073806854707e-03 7.500000000000000156e-04
1.600000000000000033e-02 9.820141379414581984e-01 3.677398896811103803e-03 8.000000000000000383e-04
1.700000000000000122e-02 9.926040510844020837e-01 3.707766633258220094e-03 8.500000000000000611e-04
1.799999999999999864e-02 1.010337272189619107e+00 3.800283712943823122e-03 8.999999999999999754e-04
1.899999999999999953e-02 1.019341039115377656e+00 3.766380768460310738e-03 9.499999999999999981e-04
2.000000000000000042e-02 1.024708436064120098e+00 3.826590990719096544e-03 1.000000000000000021e-03
2.100000000000000130e-02 1.031647959137760751e+00 3.771443910814877704e-03 1.050000000000000152e-03
2.199999999999999872e-02 8.161864092240851409e-01 3.755359531614624932e-03 1.100000000000000066e-03
2.299999999999999961e-02 3.346923743493074865e-01 2.368593180809786414e-03 1.149999999999999981e-03
2.400000000000000050e-02 2.057895415604994727e-01 1.797742119868642532e-03 1.200000000000000112e-03
2.500000000000000139e-02 1.395648904685674874e-01 1.423059272340250567e-03 1.250000000000000243e-03
2.599999999999999881e-02 1.050600089585956298e-01 1.178882711702260947e-03 1.299999999999999940e-03
2.699999999999999969e-02 7.905507239106233930e-02 1.038499436551898383e-03 1.350000000000000071e-03
2.850000000000000103e-02 5.606139837329551789e-02 6.145047648527609705e-04 1.425000000000000051e-03
2.999999999999999889e-02 4.097228301916820692e-02 3.806672796863811575e-04 1.500000000000000031e-03
3.099999999999999978e-02 3.605024610911855554e-02 7.018582705466990587e-04 1.550000000000000162e-03
3.200000000000000067e-02 2.955645544212133144e-02 6.181565799473614240e-04 1.600000000000000077e-03
3.300000000000000155e-02 2.516200694270134125e-02 5.819489091126043082e-04 1.650000000000000208e-03
3.466666666666667201e-02 1.927707785129117654e-02 2.502914383523654530e-04 1.733333333333333687e-03
3.599999999999999728e-02 1.607179438384805786e-02 4.686814095747608602e-04 1.799999999999999951e-03
3.749999999999999861e-02 1.340462967328428026e-02 3.005224811610589740e-04 1.874999999999999931e-03
3.899999999999999994e-02 1.188394628062351341e-02 4.136116098038826092e-04 1.950000000000000127e-03
4.000000000000000083e-02 1.017192375768887283e-02 1.959951808112988180e-04 2.000000000000000042e-03
4.499999999999999833e-02 5.824162424625912472e-03 3.134694347090552144e-05 2.249999999999999830e-03
5.000000000000000278e-02 3.766624020342482573e-03 2.396525370782082639e-05 2.500000000000000486e-03
5.500000000000000028e-02 2.488364180452130522e-03 1.906760261556617381e-05 2.750000000000000274e-03
5.999999999999999778e-02 1.753663655592553258e-03 8.060566366175669261e-06 3.000000000000000062e-03
6.500000000000000222e-02 1.289360778820661637e-03 1.282730759821893242e-05 3.250000000000000284e-03
7.000000000000000666e-02 9.658782471860013607e-04 5.730703661747549433e-06 3.500000000000000507e-03
7.499999999999999722e-02 7.488710221119451076e-04 9.228085974266019958e-06 3.749999999999999861e-03
8.000000000000000167e-02 5.694053762091898186e-04 4.173929636314402011e-06 4.000000000000000083e-03
8.500000000000000611e-02 4.517194681310294406e-04 6.944994907273758348e-06 4.250000000000000305e-03
8.999999999999999667e-02 3.505508332444099220e-04 2.968391777063123391e-06 4.499999999999999660e-03
9.500000000000000111e-02 2.860569761877565791e-04 5.143735288013585225e-06 4.750000000000000749e-03
1.000000000000000056e-01 2.249422488901810094e-04 2.380292888568637711e-06 5.000000000000000971e-03
1.100000000000000006e-01 1.421446728774586939e-04 6.825046208890459474e-07 5.500000000000000548e-03
1.199999999999999956e-01 9.427714228242538980e-05 5.564937407682180567e-07 6.000000000000000125e-03
1.300000000000000044e-01 6.292025286615813466e-05 4.214796874833876896e-07 6.500000000000000569e-03
1.400000000000000133e-01 3.957392969184000096e-05 3.443689131409369983e-07 7.000000000000001013e-03
1.499999999999999944e-01 2.583288972810467426e-05 2.603380256186996484e-07 7.499999999999999722e-03
1.600000000000000033e-01 1.661363398988062543e-05 1.197552976152584696e-07 8.000000000000000167e-03
1.700000000000000122e-01 1.012811181407074031e-05 9.452675867642881761e-08 8.500000000000000611e-03
1.799999999999999933e-01 5.872904200484136202e-06 6.301995887070064693e-08 8.999999999999999320e-03
1.900000000000000022e-01 3.137332201733103032e-06 5.310317669740084386e-08 9.500000000000001499e-03
2.000000000000000111e-01 1.704693503242994484e-06 3.823266925622044478e-08 1.000000000000000194e-02
2.099999999999999922e-01 8.483179831929882028e-07 1.146941560976346602e-08 1.050000000000000065e-02
2.200000000000000011e-01 5.920804511025005555e-07 8.917604185510464558e-09 1.100000000000000110e-02
2.300000000000000100e-01 6.551685502575372349e-07 1.147926720355947619e-08 1.150000000000000154e-02
2.399999999999999911e-01 8.576794431709963965e-07 1.532861040506767507e-08 1.200000000000000025e-02
2.500000000000000000e-01 1.147504792319925447e-06 1.424267336974832649e-08 1.250000000000000069e-02
2.600000000000000089e-01 1.382440950993447663e-06 1.288893940616448180e-08 1.300000000000000114e-02
2.700000000000000178e-01 1.575530531091379920e-06 1.674955071774009441e-08 1.350000000000000158e-02
2.800000000000000266e-01 1.697831427692223745e-06 1.863140818756351912e-08 1.400000000000000203e-02
2.899999999999999800e-01 1.747817983176493640e-06 1.985027291251214740e-08 1.449999999999999900e-02
2.999999999999999889e-01 1.721742945189068977e-06 1.290000156106295277e-08 1.499999999999999944e-02
3.166666666666666519e-01 1.560835117549594536e-06 1.236755279231107664e-08 1.583333333333333467e-02
3.400000000000000244e-01 1.226295258493904878e-06 1.384520527198392552e-08 1.700000000000000122e-02
3.599999999999999867e-01 8.817698253672268869e-07 1.363506536615847480e-08 1.799999999999999864e-02
3.800000000000000044e-01 5.714767333171517276e-07 1.121149092799030590e-08 1.900000000000000300e-02
4.000000000000000222e-01 3.313539888225684915e-07 8.267660573115663274e-09 2.000000000000000389e-02
4.199999999999999845e-01 1.734646238541583017e-07 4.439449256719955095e-09 2.100000000000000130e-02
4.400000000000000022e-01 7.850823061186035519e-08 4.093324426237708127e-09 2.200000000000000219e-02
4.600000000000000200e-01 3.118056240492412600e-08 2.780969740336651594e-09 2.300000000000000308e-02
4.799999999999999822e-01 1.349160202852576001e-08 2.731803217202365039e-09 2.400000000000000050e-02
5.000000000000000000e-01 6.967657528053669109e-09 2.159255560127512288e-09 2.500000000000000139e-02
5.200000000000000178e-01 8.281552908161242581e-09 2.511958311488734228e-09 2.600000000000000228e-02
5.400000000000000355e-01 9.434136979066642115e-09 2.214160005653876818e-09 2.700000000000000316e-02
5.600000000000000533e-01 9.183348295431227130e-09 2.137099281970968421e-09 2.800000000000000405e-02
5.799999999999999600e-01 8.331750551985147928e-09 2.485342561985407024e-09 2.899999999999999800e-02
6.099999999999999867e-01 5.546945630600679052e-09 1.587811495569201861e-09 3.049999999999999933e-02
6.400000000000000133e-01 3.724567160407699804e-09 2.167533292158637239e-09 3.200000000000000067e-02
6.600000000000000311e-01 4.694475281388545257e-09 3.096851696456277023e-09 3.300000000000000155e-02
6.800000000000000488e-01 4.250274519746988942e-09 3.711036999203104034e-09 3.400000000000000244e-02
