# q, R, dR, dq
1.499999999999999944e-02 9.601733268836623036e-01 3.679920175974042348e-03 7.500000000000000156e-04
1.600000000000000033e-02 9.820232257841161605e-01 3.671455732967891360e-03 8.000000000000000383e-04
1.700000000000000122e-02 9.943692647455716349e-01 3.723539247375397612e-03 8.500000000000000611e-04
1.799999999999999864e-02 1.003924058120825968e+00 3.777831321854132479e-03 8.999999999999999754e-04
1.899999999999999953e-02 1.017329839944669745e+00 3.790406668297677684e-03 9.499999999999999981e-04
2.000000000000000042e-02 1.018770724519835857e+00 3.856015086294621152e-03 1.000000000000000021e-03
2.100000000000000130e-02 1.023409560001319329e+00 3.815178815134426769e-03 1.050000000000000152e-03
2.199999999999999872e-02 8.078903538446534638e-01 3.709978662949784973e-03 1.100000000000000066e-03
2.299999999999999961e-02 3.321294953593841859e-01 2.321071822425566956e-03 1.149999999999999981e-03
2.400000000000000050e-02 2.015039456228862880e-01 1.767155871906620108e-03 1.200000000000000112e-03
2.500000000000000139e-02 1.410401373102210532e-01 1.486222095836249894e-03 1.250000000000000243e-03
2.599999999999999881e-02 1.038061740181701470e-01 1.194555031957490179e-03 1.299999999999999940e-03
2.699999999999999969e-02 8.119279359259291839e-02 1.067843566092434174e-03 1.350000000000000071e-03
2.850000000000000103e-02 5.636094815071440722e-02 6.341880346534073615e-04 1.425000000000000051e-03
2.999999999999999889e-02 4.090347946689695813e-02 3.692540829026944873e-04 1.500000000000000031e-03
3.099999999999999978e-02 3.522497946870342678e-02 7.068369511387695989e-04 1.550000000000000162e-03
3.200000000000000067e-02 2.924806766189976676e-02 6.216419767863481287e-04 1.600000000000000077e-03
3.300000000000000155e-02 2.442605972326480218e-02 5.659247788644786474e-04 1.650000000000000208e-03
3.466666666666667201e-02 2.009665479913961758e-02 2.661604831754380137e-04 1.733333333333333687e-03
3.599999999999999728e-02 1.592892476376487482e-02 4.750347601096907850e-04 1.799999999999999951e-03
3.749999999999999861e-02 1.370004188864588218e-02 3.073880281656535848e-04 1.874999999999999931e-03
3.899999999999999994e-02 1.066811618282420202e-02 3.952130951150061478e-04 1.950000000000000127e-03
4.000000000000000083e-02 9.788946861015668244e-03 1.927853357445744541e-04 2.000000000000000042e-03
4.499999999999999833e-02 5.804676803980352712e-03 3.124776204199018650e-05 2.249999999999999830e-03
5.000000000000000278e-02 3.719418501990661222e-03 2.459665428191361734e-05 2.500000000000000486e-03
5.500000000000000028e-02 2.521768150328109956e-03 1.874886335965686212e-05 2.750000000000000274e-03
5.999999999999999778e-02 1.773747124571664179e-03 8.168228484682819073e-06 3.000000000000000062e-03
6.500000000000000222e-02 1.275222703411920625e-03 1.254004878085114416e-05 3.250000000000000284e-03
7.000000000000000666e-02 9.486977695463644309e-04 5.740494573935280267e-06 3.500000000000000507e-03
7.499999999999999722e-02 7.317570892565518912e-04 9.342828264212391578e-06 3.749999999999999861e-03
8.000000000000000167e-02 5.640163357207299451e-04 4.118510622315980801e-06 4.000000000000000083e-03
8.500000000000000611e-02 4.350419882534871255e-04 6.493096736009359449e-06 4.250000000000000305e-03
8.999999999999999667e-02 3.449219686529844155e-04 2.926665614255551388e-06 4.499999999999999660e-03
9.500000000000000111e-02 2.797971855500105010e-04 5.384338599350315249e-06 4.750000000000000749e-03
1.000000000000000056e-01 2.197605553669232901e-04 2.435461918646586353e-06 5.000000000000000971e-03
1.100000000000000006e-01 1.407810816460583828e-04 6.778326084298537752e-07 5.500000000000000548e-03
1.199999999999999956e-01 9.345193142922699728e-05 5.409892773834433980e-07 6.000000000000000125e-03
1.300000000000000044e-01 6.089288979019651907e-05 4.140670183872985462e-07 6.500000000000000569e-03
1.400000000000000133e-01 3.707372409829607572e-05 3.391437259970104713e-07 7.000000000000001013e-03
1.499999999999999944e-01 2.483378385337695583e-05 2.448628714083872696e-07 7.499999999999999722e-03
1.600000000000000033e-01 1.557207876441512153e-05 1.209841337468529305e-07 8.000000000000000167e-03
1.700000000000000122e-01 9.482394786679148880e-06 8.386761893121571142e-08 8.500000000000000611e-03
1.799999999999999933e-01 5.634371382731288811e-06 6.231294241545985183e-08 8.999999999999999320e-03
1.900000000000000022e-01 3.138258160678891336e-06 5.431047485258711450e-08 9.500000000000001499e-03
2.000000000000000111e-01 1.717082735142247738e-06 3.816033174247864980e-08 1.000000000000000194e-02
2.099999999999999922e-01 9.785120952973574489e-07 1.402371855239346116e-08 1.050000000000000065e-02
2.200000000000000011e-01 6.913792977912575534e-07 1.142048176752109611e-08 1.100000000000000110e-02
2.300000000000000100e-01 7.137982580094532912e-07 1.200507705734738667e-08 1.150000000000000154e-02
2.399999999999999911e-01 9.148829923613516120e-07 1.656134083510787253e-08 1.200000000000000025e-02
2.500000000000000000e-01 1.151186670586351164e-06 1.624111010427130922e-08 1.250000000000000069e-02
2.600000000000000089e-01 1.388582377016442872e-06 1.327770804666536058e-08 1.300000000000000114e-02
2.700000000000000178e-01 1.572196124191359227e-06 1.655170327225036152e-08 1.350000000000000158e-02
2.800000000000000266e-01 1.667309573634024918e-06 1.983974802614662996e-08 1.400000000000000203e-02
2.899999999999999800e-01 1.691371702390838860e-06 2.003371639807792493e-08 1.449999999999999900e-02
2.999999999999999889e-01 1.604224231531274043e-06 1.242034097214636631e-08 1.499999999999999944e-02
3.166666666666666519e-01 1.450886061279811506e-06 1.231318642094945645e-08 1.583333333333333467e-02
3.400000000000000244e-01 1.134752502871025781e-06 1.358719727932715626e-08 1.700000000000000122e-02
3.599999999999999867e-01 8.251114027450337807e-07 1.400813626339421143e-08 1.799999999999999864e-02
3.800000000000000044e-01 5.312168387545173413e-07 1.050742398015169587e-08 1.900000000000000300e-02
4.000000000000000222e-01 3.124867747796824046e-07 8.239749562865155026e-09 2.000000000000000389e-02
4.199999999999999845e-01 1.618212939708669483e-07 4.612751214810772048e-09 2.100000000000000130e-02
4.400000000000000022e-01 7.223232845340409061e-08 3.099052000146027758e-09 2.200000000000000219e-02
4.600000000000000200e-01 2.935410817430063070e-08 2.889951435850442809e-09 2.300000000000000308e-02
4.799999999999999822e-01 1.231298217657934223e-08 2.113970775681305378e-09 2.400000000000000050e-02
5.000000000000000000e-01 7.692251990589317960e-09 2.266773981821666329e-09 2.500000000000000139e-02
5.200000000000000178e-01 8.391979789983650260e-09 2.130639034939893685e-09 2.600000000000000228e-02
5.400000000000000355e-01 8.986058604766868840e-09 2.206582130604616317e-09 2.700000000000000316e-02
5.600000000000000533e-01 8.884323014769578577e-09 2.042093462785248265e-09 2.800000000000000405e-02
5.799999999999999600e-01 7.680850035594975974e-09 2.582091953759503960e-09 2.899999999999999800e-02
6.099999999999999867e-01 4.979890147814757878e-09 1.836558094006220877e-09 3.049999999999999933e-02
6.400000000000000133e-01 4.027881418984339326e-09 2.407785520499893280e-09 3.200000000000000067e-02
6.600000000000000311e-01 4.027813529821646810e-09 2.244381650349406640e-09 3.300000000000000155e-02
6.800000000000000488e-01 2.870994894167261372e-09 2.911611708095221431e-09 3.400000000000000244e-02
