# q, R, dR, dq
1.499999999999999944e-02 9.449418130213156353e-01 3.699441054317147062e-03 7.500000000000000156e-04
1.600000000000000033e-02 9.596900748364947109e-01 3.724360005443782921e-03 8.000000000000000383e-04
1.700000000000000122e-02 9.975061905703340726e-01 3.823049944101120437e-03 8.500000000000000611e-04
1.799999999999999864e-02 1.007050235828046203e+00 3.797761762313757884e-03 8.999999999999999754e-04
1.899999999999999953e-02 1.023890838599246234e+00 3.880237223730187510e-03 9.499999999999999981e-04
2.000000000000000042e-02 1.037084381243111419e+00 3.909147611028678145e-03 1.000000000000000021e-03
2.100000000000000130e-02 1.029836465901452502e+00 3.862898077767781824e-03 1.050000000000000152e-03
2.199999999999999872e-02 7.942414622534990087e-01 3.715052471081415134e-03 1.100000000000000066e-03
2.299999999999999961e-02 3.256822521854593755e-01 2.305618014701367024e-03 1.149999999999999981e-03
2.400000000000000050e-02 2.053763779836242642e-01 1.748992654201292742e-03 1.200000000000000112e-03
2.500000000000000139e-02 1.421140090776554232e-01 1.484656951685459818e-03 1.250000000000000243e-03
2.599999999999999881e-02 1.035922493760645241e-01 1.235728399770706946e-03 1.299999999999999940e-03
2.699999999999999969e-02 8.036058126683527647e-02 1.076893928283503008e-03 1.350000000000000071e-03
2.850000000000000103e-02 5.813462508319478667e-02 6.388837621249202764e-04 1.425000000000000051e-03
2.999999999999999889e-02 4.159054228021949462e-02 3.817370310104527178e-04 1.500000000000000031e-03
3.099999999999999978e-02 3.471214281592618911e-02 6.732739550609716630e-04 1.550000000000000162e-03
3.200000000000000067e-02 3.085437833689751511e-02 6.437802830126414721e-04 1.600000000000000077e-03
3.300000000000000155e-02 2.472157108904797160e-02 5.832530769261524538e-04 1.650000000000000208e-03
3.466666666666667201e-02 1.995771803286601823e-02 2.605302478247768956e-04 1.733333333333333687e-03
3.599999999999999728e-02 1.621427787308192883e-02 4.688546529692104881e-04 1.799999999999999951e-03
3.749999999999999861e-02 1.364674109622304211e-02 3.173829273390912096e-04 1.874999999999999931e-03
3.899999999999999994e-02 1.092162400065786222e-02 4.169459042491786274e-04 1.950000000000000127e-03
4.000000000000000083e-02 9.844742027332119283e-03 2.005587145380241401e-04 2.000000000000000042e-03
4.499999999999999833e-02 5.871850294403460450e-03 3.220628088000580087e-05 2.249999999999999830e-03
5.000000000000000278e-02 3.772529030650331825e-03 2.426299222332627020e-05 2.500000000000000486e-03
5.500000000000000028e-02 2.575027199195025623e-03 1.930989019865689247e-05 2.750000000000000274e-03
5.999999999999999778e-02 1.769848798879545496e-03 8.003665293828956747e-06 3.000000000000000062e-03
6.500000000000000222e-02 1.310578242376881763e-03 3.448600099580553780e-05 3.250000000000000284e-03
7.000000000000000666e-02 9.617724874791925985e-04 5.759511062424634745e-06 3.500000000000000507e-03
7.499999999999999722e-02 7.425440336027499611e-04 9.351299084011956933e-06 3.749999999999999861e-03
8.000000000000000167e-02 5.660691708447160774e-04 4.183460829196894447e-06 4.000000000000000083e-03
8.500000000000000611e-02 4.550716210552850334e-04 6.578246329576678451e-06 4.250000000000000305e-03
8.999999999999999667e-02 3.515853474748276814e-04 2.995972634869353356e-06 4.499999999999999660e-03
9.500000000000000111e-02 2.755716156603059473e-04 5.092314571589625518e-06 4.750000000000000749e-03
1.000000000000000056e-01 2.252566806123889437e-04 2.428993470976405989e-06 5.000000000000000971e-03
1.100000000000000006e-01 1.422587542841136359e-04 6.598985598813227338e-07 5.500000000000000548e-03
1.199999999999999956e-01 9.399405095346374675e-05 5.570092922029324269e-07 6.000000000000000125e-03
1.300000000000000044e-01 6.075910956440180730e-05 4.115490873847673362e-07 6.500000000000000569e-03
1.400000000000000133e-01 3.885073693108633973e-05 3.460793827612674939e-07 7.000000000000001013e-03
1.499999999999999944e-01 2.513736452096888385e-05 2.580595351419673575e-07 7.499999999999999722e-03
1.600000000000000033e-01 1.543130371879779418e-05 1.203092555394734783e-07 8.000000000000000167e-03
1.700000000000000122e-01 9.049856699554647448e-06 8.234157672743515841e-08 8.500000000000000611e-03
1.799999999999999933e-01 5.359430819364175861e-06 6.174758043634721279e-08 8.999999999999999320e-03
1.900000000000000022e-01 2.843069043003736239e-06 5.441903427997309889e-08 9.500000000000001499e-03
2.000000000000000111e-01 1.686981921989399349e-06 3.764158999174172209e-08 1.000000000000000194e-02
2.099999999999999922e-01 1.005078832096738993e-06 1.654198459203356105e-08 1.050000000000000065e-02
2.200000000000000011e-01 8.144160962577453852e-07 1.154189322220425478e-08 1.100000000000000110e-02
2.300000000000000100e-01 8.882450882281404882e-07 1.430398664932380644e-08 1.150000000000000154e-02
2.399999999999999911e-01 1.121025505827881982e-06 1.768887896790711103e-08 1.200000000000000025e-02
2.500000000000000000e-01 1.378306206859750790e-06 1.767710334682127635e-08 1.250000000000000069e-02
2.600000000000000089e-01 1.613446218963038587e-06 1.418234441736852289e-08 1.300000000000000114e-02
2.700000000000000178e-01 1.803342831791474150e-06 1.774604304888016310e-08 1.350000000000000158e-02
2.800000000000000266e-01 1.897188835302985240e-06 2.021502101472754658e-08 1.400000000000000203e-02
2.899999999999999800e-01 1.883174427055030367e-06 2.079212727192699652e-08 1.449999999999999900e-02
2.999999999999999889e-01 1.802035304181823266e-06 1.284110097242644026e-08 1.499999999999999944e-02
3.166666666666666519e-01 1.550723464948802709e-06 1.223747445996385422e-08 1.583333333333333467e-02
3.400000000000000244e-01 1.155492596073263505e-06 1.354631550499439146e-08 1.700000000000000122e-02
3.599999999999999867e-01 8.220518282681596126e-07 1.284579087054534002e-08 1.799999999999999864e-02
3.800000000000000044e-01 5.355397377494700400e-07 1.030542024893210264e-08 1.900000000000000300e-02
4.000000000000000222e-01 3.043889046573856942e-07 7.344125054871899860e-09 2.000000000000000389e-02
4.199999999999999845e-01 1.587546146391135668e-07 4.230391760661217050e-09 2.100000000000000130e-02
4.400000000000000022e-01 7.228705697599910870e-08 3.043742335362206091e-09 2.200000000000000219e-02
4.600000000000000200e-01 2.987302372700198909e-08 2.951515335409943433e-09 2.300000000000000308e-02
4.799999999999999822e-01 1.201491473200661030e-08 2.348965058494774810e-09 2.400000000000000050e-02
5.000000000000000000e-01 7.413937689448789576e-09 2.640379031517002877e-09 2.500000000000000139e-02
5.200000000000000178e-01 8.228887994599510959e-09 1.994458721436783196e-09 2.600000000000000228e-02
5.400000000000000355e-01 9.356159086031193170e-09 2.610426559125230064e-09 2.700000000000000316e-02
5.600000000000000533e-01 9.583994440811982862e-09 2.279403395828083205e-09 2.800000000000000405e-02
5.799999999999999600e-01 8.910104161583676155e-09 2.479457532580228203e-09 2.899999999999999800e-02
6.099999999999999867e-01 5.161166325056898798e-09 1.485196902421419915e-09 3.049999999999999933e-02
6.400000000000000133e-01 2.712603905737649731e-09 1.942193517867664716e-09 3.200000000000000067e-02
6.600000000000000311e-01 2.103224128026844292e-09 2.495887349294826599e-09 3.300000000000000155e-02
6.800000000000000488e-01 2.826840514747748015e-09 3.130013985239404575e-09 3.400000000000000244e-02
