# q, R, dR, dq
1.499999999999999944e-02 9.723680180772915627e-01 3.662595352461648236e-03 7.500000000000000156e-04
1.600000000000000033e-02 9.804651184129459240e-01 3.692726928983372774e-03 8.000000000000000383e-04
1.700000000000000122e-02 9.896756978828392670e-01 3.760258942124979856e-03 8.500000000000000611e-04
1.799999999999999864e-02 9.953808013121213660e-01 3.806250546862118261e-03 8.999999999999999754e-04
1.899999999999999953e-02 1.013055893123354867e+00 3.823042655535516948e-03 9.499999999999999981e-04
2.000000000000000042e-02 1.026381376054631867e+00 3.901454537249248074e-03 1.000000000000000021e-03
2.100000000000000130e-02 1.022673095136814592e+00 3.777365589485171156e-03 1.050000000000000152e-03
2.199999999999999872e-02 7.934734971661085989e-01 3.732163700336083977e-03 1.100000000000000066e-03
2.299999999999999961e-02 3.367079642526862870e-01 2.382088336797327961e-03 1.149999999999999981e-03
2.400000000000000050e-02 2.004878795301618943e-01 1.729595430694543402e-03 1.200000000000000112e-03
2.500000000000000139e-02 1.403045707358436256e-01 1.474352116965770357e-03 1.250000000000000243e-03
2.599999999999999881e-02 1.042750868195905234e-01 1.270604881343928442e-03 1.299999999999999940e-03
2.699999999999999969e-02 8.091923652018079283e-02 1.072607661882956590e-03 1.350000000000000071e-03
2.850000000000000103e-02 5.667286974968658436e-02 6.384066934769130463e-04 1.425000000000000051e-03
2.999999999999999889e-02 4.121108636381091983e-02 3.713359103159852249e-04 1.500000000000000031e-03
3.099999999999999978e-02 3.608686464877365607e-02 6.827048579792975407e-04 1.550000000000000162e-03
3.200000000000000067e-02 3.026897682641579296e-02 6.446031691255947084e-04 1.600000000000000077e-03
3.300000000000000155e-02 2.460039391618588922e-02 5.728042291128536889e-04 1.650000000000000208e-03
3.466666666666667201e-02 1.985815935544591251e-02 2.523142935797485211e-04 1.733333333333333687e-03
3.599999999999999728e-02 1.611107087342148608e-02 4.639727972478741047e-04 1.799999999999999951e-03
3.749999999999999861e-02 1.316261701980402272e-02 3.144885418211570884e-04 1.874999999999999931e-03
3.899999999999999994e-02 1.141518987429222982e-02 4.001230237889667860e-04 1.950000000000000127e-03
4.000000000000000083e-02 9.752379148907763112e-03 1.873523103445368576e-04 2.000000000000000042e-03
4.499999999999999833e-02 5.816296691048894636e-03 3.196599720934610079e-05 2.249999999999999830e-03
5.000000000000000278e-02 3.735755433091277142e-03 2.399663206563934183e-05 2.500000000000000486e-03
5.500000000000000028e-02 2.495402655167910239e-03 1.887314957653408819e-05 2.750000000000000274e-03
5.999999999999999778e-02 1.763023979139336731e-03 8.151714570487418693e-06 3.000000000000000062e-03
6.500000000000000222e-02 1.294460701968722831e-03 1.318508934252923621e-05 3.250000000000000284e-03
7.000000000000000666e-02 9.628672058045283219e-04 5.877965785345266049e-06 3.500000000000000507e-03
7.499999999999999722e-02 7.394981582424413943e-04 9.089195181997429930e-06 3.749999999999999861e-03
8.000000000000000167e-02 5.673938125086309264e-04 4.277687393052210308e-06 4.000000000000000083e-03
8.500000000000000611e-02 4.508048920940848714e-04 6.534032399921988519e-06 4.250000000000000305e-03
8.999999999999999667e-02 3.488087356733603770e-04 2.993862920088365018e-06 4.499999999999999660e-03
9.500000000000000111e-02 2.808892687296205199e-04 5.262753687571076455e-06 4.750000000000000749e-03
1.000000000000000056e-01 2.285198983876529514e-04 2.742647146802893989e-06 5.000000000000000971e-03
1.100000000000000006e-01 1.427017270674483358e-04 6.782968678706830563e-07 5.500000000000000548e-03
1.199999999999999956e-01 9.430818970432487290e-05 5.524122571690522016e-07 6.000000000000000125e-03
1.300000000000000044e-01 6.069053388761068538e-05 4.203871114741482617e-07 6.500000000000000569e-03
1.400000000000000133e-01 3.963279370496176977e-05 3.432053165975091806e-07 7.000000000000001013e-03
1.499999999999999944e-01 2.480826459406523872e-05 2.487721946617419901e-07 7.499999999999999722e-03
1.600000000000000033e-01 1.496404603781252676e-05 1.170016663708208968e-07 8.000000000000000167e-03
1.700000000000000122e-01 8.699832376644033705e-06 8.606496223444222039e-08 8.500000000000000611e-03
1.799999999999999933e-01 5.085766848363046467e-06 6.237843474836578880e-08 8.999999999999999320e-03
1.900000000000000022e-01 2.753105406530784169e-06 4.968349615880836917e-08 9.500000000000001499e-03
2.000000000000000111e-01 1.542572353615491237e-06 4.409572959220232033e-08 1.000000000000000194e-02
2.099999999999999922e-01 8.794254494215981451e-07 1.395631025766318963e-08 1.050000000000000065e-02
2.200000000000000011e-01 7.288433584419384463e-07 1.039261976075912785e-08 1.100000000000000110e-02
2.300000000000000100e-01 8.249700342708844972e-07 1.333252799116366405e-08 1.150000000000000154e-02
2.399999999999999911e-01 1.065319654228581081e-06 1.457077037548991369e-08 1.200000000000000025e-02
2.500000000000000000e-01 1.348963151040624731e-06 1.683267705750225986e-08 1.250000000000000069e-02
2.600000000000000089e-01 1.617671524974148269e-06 1.441412013166834618e-08 1.300000000000000114e-02
2.700000000000000178e-01 1.798560738769553901e-06 1.632737469490871314e-08 1.350000000000000158e-02
2.800000000000000266e-01 1.885519234405617489e-06 1.953338822545224648e-08 1.400000000000000203e-02
2.899999999999999800e-01 1.888611941653133151e-06 1.963650325608449612e-08 1.449999999999999900e-02
2.999999999999999889e-01 1.830563864835791221e-06 1.212498693822882551e-08 1.499999999999999944e-02
3.166666666666666519e-01 1.582921038459083595e-06 1.175928330634515748e-08 1.583333333333333467e-02
3.400000000000000244e-01 1.172493778687077637e-06 1.246881132265493851e-08 1.700000000000000122e-02
3.599999999999999867e-01 8.303330583959932761e-07 1.285436581055591613e-08 1.799999999999999864e-02
3.800000000000000044e-01 5.382091396701023760e-07 1.017312784485040833e-08 1.900000000000000300e-02
4.000000000000000222e-01 3.087394770992279039e-07 7.654154840021840188e-09 2.000000000000000389e-02
4.199999999999999845e-01 1.600320917388852355e-07 4.203997860090850839e-09 2.100000000000000130e-02
4.400000000000000022e-01 7.200353496658741700e-08 3.270948135348702357e-09 2.200000000000000219e-02
4.600000000000000200e-01 2.943313581990586969e-08 3.041821496249046745e-09 2.300000000000000308e-02
4.799999999999999822e-01 1.211994689705990392e-08 2.252068111139630012e-09 2.400000000000000050e-02
5.000000000000000000e-01 7.907406625951458144e-09 2.418429214042926606e-09 2.500000000000000139e-02
5.200000000000000178e-01 7.909524029654270932e-09 2.130487064608267742e-09 2.600000000000000228e-02
5.400000000000000355e-01 9.729596809446753939e-09 2.431034866701029194e-09 2.700000000000000316e-02
5.600000000000000533e-01 9.972530567700982956e-09 2.096351284982765216e-09 2.800000000000000405e-02
5.799999999999999600e-01 8.156767409793977424e-09 2.152190641038700773e-09 2.899999999999999800e-02
6.099999999999999867e-01 5.194377020586627358e-09 1.626143810766842901e-09 3.049999999999999933e-02
6.400000000000000133e-01 5.365125581188676964e-09 3.114929886111167765e-09 3.200000000000000067e-02
6.600000000000000311e-01 4.761193270559992655e-09 3.127414864502790541e-09 3.300000000000000155e-02
6.800000000000000488e-01 3.147593874297417478e-09 3.497386004708667345e-09 3.400000000000000244e-02
