# q, R, dR
1.482200000000000011e-02 1.105361532069766506e+00 6.508893830563006189e-02
1.582199999999999926e-02 1.056907096436735749e+00 6.100502605431112890e-02
1.682200000000000015e-02 1.022204329985282323e+00 5.758914243335883781e-02
1.782199999999999757e-02 9.959198214148846651e-01 5.458769790353359963e-02
1.882199999999999845e-02 9.643923072019683351e-01 5.138223027832602291e-02
1.982199999999999934e-02 9.380804481111111315e-01 4.846010905003152874e-02
2.082200000000000023e-02 9.171344647802525119e-01 4.582886506632109780e-02
2.182199999999999765e-02 7.174225516264145508e-01 3.902189199765992988e-02
2.282199999999999854e-02 2.851042656526623920e-01 1.494363859610498869e-02
2.382199999999999943e-02 1.673262518604925753e-01 8.447041277753711275e-03
2.482200000000000031e-02 1.133113230478671740e-01 5.512998348815257785e-03
2.582199999999999773e-02 8.282679239823874384e-02 3.885313620409767878e-03
2.682199999999999862e-02 6.310394396831588149e-02 2.861891909985553577e-03
2.832199999999999995e-02 4.355834656839552982e-02 1.515006303466651279e-03
2.982199999999999782e-02 3.080474683765141442e-02 9.068310259335136698e-04
3.082199999999999870e-02 2.593168733015479427e-02 1.059514506461478774e-03
3.182200000000000306e-02 2.186203050084614338e-02 8.768196588665714717e-04
3.282200000000000395e-02 1.844586471814388048e-02 7.372018317641423077e-04
3.448866666666667441e-02 1.396525158341212040e-02 4.001125713147742915e-04
3.582199999999999968e-02 1.188510513489707612e-02 4.767174063126303880e-04
3.732200000000000101e-02 1.004542547216122003e-02 3.341408899886810823e-04
3.882200000000000234e-02 8.027787838253037933e-03 3.410016670237286875e-04
3.982200000000000323e-02 6.933645285752828950e-03 2.183069026949795903e-04
4.482200000000000073e-02 3.982916589834032718e-03 1.236120327334643714e-04
4.982200000000000517e-02 2.517647675872760563e-03 7.690548022503417328e-05
5.482200000000000267e-02 1.709678540512921162e-03 5.225454632284306220e-05
5.982200000000000017e-02 1.181701163364753861e-03 2.944605264467520191e-05
6.482200000000000462e-02 8.741517904716492775e-04 2.718015937082880060e-05
6.982200000000000906e-02 6.528579155678029561e-04 1.646611558450708515e-05
7.482199999999999962e-02 4.947886033828678871e-04 1.581621425006321925e-05
7.982200000000000406e-02 3.831018845846970535e-04 9.799232368743820097e-06
8.482200000000000850e-02 2.958503288730892516e-04 9.751757670059966053e-06
8.982199999999999906e-02 2.385209605011316604e-04 6.201314040790357474e-06
9.482200000000000351e-02 1.915964021637227743e-04 6.644473567384166726e-06
9.982200000000000795e-02 1.483888892747454243e-04 3.965677639526810326e-06
1.098220000000000030e-01 9.601123302047850905e-05 2.206909413828370001e-06
1.198219999999999980e-01 6.245797694054036175e-05 1.454987649367471932e-06
1.298219999999999930e-01 4.047319402616331049e-05 9.515261352398463324e-07
1.398220000000000018e-01 2.587489692125089324e-05 6.188515079447575471e-07
1.498219999999999830e-01 1.651005080269078560e-05 4.124303421929051009e-07
1.598219999999999918e-01 1.003949391458047583e-05 2.366777225038841451e-07
1.698220000000000007e-01 5.930429544034529748e-06 1.444851664083107563e-07
1.798219999999999819e-01 3.429263063003804327e-06 8.691735505920000687e-08
1.898219999999999907e-01 1.813877738384376392e-06 4.960969915635273859e-08
1.998219999999999996e-01 9.854007200324405022e-07 3.069111559687000526e-08
2.098219999999999807e-01 5.940946903765587281e-07 1.598923277903535871e-08
2.198219999999999896e-01 4.933390867950559506e-07 1.269146195844889571e-08
2.298219999999999985e-01 5.520649194852047032e-07 1.435674195383153906e-08
2.398219999999999796e-01 7.117814763948353481e-07 1.849165879529421732e-08
2.498219999999999885e-01 8.950928311820338944e-07 2.253520770081853954e-08
2.598219999999999974e-01 1.060473202882079823e-06 2.517975920456279492e-08
2.698220000000000063e-01 1.172751580747119194e-06 2.817958511745295834e-08
2.798220000000000152e-01 1.235100879487630675e-06 2.968121024900252729e-08
2.898219999999999685e-01 1.224339421351413463e-06 2.955920460774313438e-08
2.998219999999999774e-01 1.162768681563149334e-06 2.702028199813708038e-08
3.164886666666666404e-01 9.889245445434106618e-07 2.307965515321075180e-08
3.398220000000000129e-01 7.305946027843498065e-07 1.746694675176489132e-08
3.598219999999999752e-01 5.088863710859851904e-07 1.284266403260284906e-08
3.798219999999999930e-01 3.246612332978699052e-07 8.409316145085336256e-09
3.998220000000000107e-01 1.840497775386307877e-07 5.209049767282801361e-09
4.198219999999999730e-01 9.279700915220065033e-08 2.720598201411595853e-09
4.398219999999999907e-01 4.087393252601056789e-08 1.376954408740041268e-09
4.598220000000000085e-01 1.648950266017060108e-08 9.087749648195503908e-10
4.798219999999999708e-01 5.964138919828769260e-09 8.098070233263818047e-10
4.998219999999999885e-01 4.269921888226270427e-09 8.301082146933755727e-10
5.198220000000000063e-01 3.950314898775391457e-09 7.737122131358891930e-10
5.398220000000000240e-01 4.629321675263071571e-09 7.308630475155412520e-10
5.598220000000000418e-01 4.616092019194831318e-09 7.670203424630665200e-10
5.798219999999999485e-01 3.996412911954482817e-09 6.678612158311247566e-10
6.098219999999999752e-01 2.492410797874402175e-09 5.039384502026402674e-10
6.398220000000000018e-01 1.674247648965147794e-09 7.546926277687322418e-10
6.598220000000000196e-01 3.692117506544855660e-10 6.302340900430190013e-10
6.798220000000000374e-01 4.187447564928982883e-10 6.532853385378443733e-10
