# q, R, dR
1.482200000000000011e-02 1.039230176404753347e+00 7.443708748584379475e-02
1.582199999999999926e-02 1.013965297091414364e+00 7.240027465042499222e-02
1.682200000000000015e-02 1.019275299122217371e+00 7.214262954179896659e-02
1.782199999999999757e-02 1.018623397082895954e+00 7.150000355057890833e-02
1.882199999999999845e-02 9.880365241842123947e-01 6.909285913745281948e-02
1.982199999999999934e-02 9.879668300567306938e-01 6.844459884036833974e-02
2.082200000000000023e-02 9.329024760577748765e-01 6.457320723247246541e-02
2.182199999999999765e-02 6.942421532849341048e-01 5.421830133508610122e-02
2.282199999999999854e-02 2.967627367293181884e-01 2.291968678012505645e-02
2.382199999999999943e-02 1.802326365044568945e-01 1.375931635451935718e-02
2.482200000000000031e-02 1.193546409866153291e-01 9.003513624924391195e-03
2.582199999999999773e-02 8.579952788143120623e-02 6.393105671337262312e-03
2.682199999999999862e-02 6.432195845776192411e-02 4.731860962593134601e-03
2.832199999999999995e-02 4.324948407961066305e-02 2.393421256089319632e-03
2.982199999999999782e-02 2.997249577377670421e-02 1.370914891983465158e-03
3.082199999999999870e-02 2.510805504051057818e-02 1.748048587770634123e-03
3.182200000000000306e-02 2.038828471009865653e-02 1.399292564652087137e-03
3.282200000000000395e-02 1.722146791197753241e-02 1.163952834291747448e-03
3.448866666666667441e-02 1.310006644333668036e-02 5.892390443408092099e-04
3.582199999999999968e-02 1.067547703456819125e-02 6.885386577792331408e-04
3.732200000000000101e-02 8.700455676547366041e-03 4.266146462252853248e-04
3.882200000000000234e-02 6.919961009110895712e-03 4.247901771922278809e-04
3.982200000000000323e-02 5.962104457588488990e-03 2.986572176361854103e-04
4.482200000000000073e-02 3.212112868272116138e-03 2.231632678826086374e-04
4.982200000000000517e-02 1.991171051171732997e-03 1.304558704974239237e-04
5.482200000000000267e-02 1.296818834390745228e-03 8.056055461494293472e-05
5.982200000000000017e-02 8.615324686477745901e-04 3.425291588383360791e-05
6.482200000000000462e-02 6.253570363926008431e-04 3.577436233108344449e-05
6.982200000000000906e-02 4.483144709824013040e-04 1.735902490086326322e-05
7.482199999999999962e-02 3.405592675913112410e-04 1.863241206130136768e-05
7.982200000000000406e-02 2.512703348659067032e-04 9.528772508712879814e-06
8.482200000000000850e-02 2.005821957484693933e-04 1.081728897881100716e-05
8.982199999999999906e-02 1.535512290902869500e-04 5.789767006879124472e-06
9.482200000000000351e-02 1.224645547111178040e-04 6.631559047083233219e-06
9.982200000000000795e-02 9.724152137194431501e-05 3.662124793184086618e-06
1.098220000000000030e-01 6.173668558012433455e-05 2.077903066684904008e-06
1.198219999999999980e-01 4.050000534686404633e-05 1.395583352767700679e-06
1.298219999999999930e-01 2.664655040793672882e-05 9.449241689745290334e-07
1.398220000000000018e-01 1.762591049319123964e-05 6.446961925381198193e-07
1.498219999999999830e-01 1.103950591429946256e-05 4.418104616649921086e-07
1.598219999999999918e-01 7.112636312007996730e-06 2.334188329033183990e-07
1.698220000000000007e-01 4.276350602455007889e-06 1.500717552517983115e-07
1.798219999999999819e-01 2.606955235737380421e-06 1.076163037212243509e-07
1.898219999999999907e-01 1.400377440007179320e-06 7.077217355158057500e-08
1.998219999999999996e-01 7.535237173981146146e-07 5.288464304043145884e-08
2.098219999999999807e-01 3.637038743413816261e-07 2.029478907492166526e-08
2.198219999999999896e-01 1.882651139433132352e-07 1.714232078351695583e-08
2.298219999999999985e-01 1.114367365107854997e-07 1.534216351463112783e-08
2.398219999999999796e-01 1.076043421273740602e-07 1.420478091203139341e-08
2.498219999999999885e-01 1.506756853673113783e-07 1.415252796718739069e-08
2.598219999999999974e-01 2.097631572014941405e-07 1.272372116354729931e-08
2.698220000000000063e-01 2.558434967052324017e-07 1.399485462288088998e-08
2.798220000000000152e-01 2.954258138894141857e-07 1.563316982023193082e-08
2.898219999999999685e-01 3.149249982460422547e-07 1.472990594675427481e-08
2.998219999999999774e-01 3.118129674222303074e-07 1.204518984246914567e-08
3.164886666666666404e-01 3.083632012006244728e-07 1.114673622277277934e-08
3.398220000000000129e-01 2.415689274596509891e-07 1.473903879178527723e-08
3.598219999999999752e-01 1.793452981598643046e-07 1.267587478680407399e-08
3.798219999999999930e-01 1.235871636221784321e-07 1.201171356716663391e-08
3.998220000000000107e-01 8.205353625100738686e-08 1.222387377642809906e-08
4.198219999999999730e-01 5.318309561877825510e-08 1.095531823109727942e-08
4.398219999999999907e-01 2.451027579184250131e-08 9.356022910064602864e-09
4.598220000000000085e-01 7.770377034039887253e-09 5.765428179143739734e-07
4.798219999999999708e-01 8.033575988413148301e-09 9.570205574009359830e-09
4.998219999999999885e-01 2.046984018072301839e-08 1.188259022453414189e-08
5.198220000000000063e-01 4.187202219178988645e-09 1.024302922120513782e-08
5.398220000000000240e-01 7.038161357936734324e-09 9.592288892487734514e-09
5.598220000000000418e-01 3.961643740033371872e-09 8.160945626635513791e-09
5.798219999999999485e-01 1.782476737351106399e-08 3.832081083543692904e-08
6.098219999999999752e-01 1.117383366451604905e-08 8.789897061475518725e-09
6.398220000000000018e-01 1.569880972319404946e-08 1.387585525419809612e-08
6.598220000000000196e-01 1.315826852199788635e-08 1.786284946948162050e-08
6.798220000000000374e-01 1.603160587865393527e-08 1.443246473369225652e-08
