# q, R, dR
1.482200000000000011e-02 1.044932021588886650e+00 7.475269808803837457e-02
1.582199999999999926e-02 1.024998511146408608e+00 7.303109977608858439e-02
1.682200000000000015e-02 1.017681228770898061e+00 7.202985241304993291e-02
1.782199999999999757e-02 1.007529185709457265e+00 7.083634858947873703e-02
1.882199999999999845e-02 9.988937819299326115e-01 6.971355502266216031e-02
1.982199999999999934e-02 9.821100993200485574e-01 6.809577709472899865e-02
2.082200000000000023e-02 9.238551715343684689e-01 6.403780010440944526e-02
2.182199999999999765e-02 7.205483452515430987e-01 5.627127404056850996e-02
2.282199999999999854e-02 3.992089779710274455e-01 3.083083824693889571e-02
2.382199999999999943e-02 2.273102864399689504e-01 1.735416923793704769e-02
2.482200000000000031e-02 1.549784329230072810e-01 1.169056828764262167e-02
2.582199999999999773e-02 1.101070543838417182e-01 8.203156002573808864e-03
2.682199999999999862e-02 7.452216123279555016e-02 5.481436363137359713e-03
2.832199999999999995e-02 4.979551149316017999e-02 2.761080553202500260e-03
2.982199999999999782e-02 3.325546776497158297e-02 1.522927082454282859e-03
3.082199999999999870e-02 2.671835302764429682e-02 1.859731215036904833e-03
3.182200000000000306e-02 2.224890905876045905e-02 1.525958134318636293e-03
3.282200000000000395e-02 1.829903034073353599e-02 1.236382753192438386e-03
3.448866666666667441e-02 1.353252671470789141e-02 6.103120686417043070e-04
3.582199999999999968e-02 1.113359079008982046e-02 7.177326054000691654e-04
3.732200000000000101e-02 8.953040202460228053e-03 4.394098007698087863e-04
3.882200000000000234e-02 7.301325364362015388e-03 4.481410983186422808e-04
3.982200000000000323e-02 6.177252265930443728e-03 3.100918549144567418e-04
4.482200000000000073e-02 3.242359174673837673e-03 2.264448723148785767e-04
4.982200000000000517e-02 1.966900513326976570e-03 1.296842220645844405e-04
5.482200000000000267e-02 1.283014576039493522e-03 8.026697272144841285e-05
5.982200000000000017e-02 8.732361595734604558e-04 3.471147462384252037e-05
6.482200000000000462e-02 6.174031407064679454e-04 3.562883585601431122e-05
6.982200000000000906e-02 4.485011247393853461e-04 1.756898589355602484e-05
7.482199999999999962e-02 3.432106650900595664e-04 1.895949609673966955e-05
7.982200000000000406e-02 2.556167180765558586e-04 9.787777761765015407e-06
8.482200000000000850e-02 2.020872231955252586e-04 1.101291130597145095e-05
8.982199999999999906e-02 1.550774044939373609e-04 5.924244918348645174e-06
9.482200000000000351e-02 1.256331918009037944e-04 6.889937246248470017e-06
9.982200000000000795e-02 9.961542231482799280e-05 3.833849981582083979e-06
1.098220000000000030e-01 6.279742251260515915e-05 2.137812467190541443e-06
1.198219999999999980e-01 4.118531856708877107e-05 1.427926357845903557e-06
1.298219999999999930e-01 2.697916590845847730e-05 9.699894915163624273e-07
1.398220000000000018e-01 1.715068276945441839e-05 6.535026227823610857e-07
1.498219999999999830e-01 1.069113677627113060e-05 4.420651793325502395e-07
1.598219999999999918e-01 6.750353500446232285e-06 2.297242205706287359e-07
1.698220000000000007e-01 3.995873915019688930e-06 1.483758146901576990e-07
1.798219999999999819e-01 2.355524096534690283e-06 1.021375157787481938e-07
1.898219999999999907e-01 1.242581416595698474e-06 7.405012587972956531e-08
1.998219999999999996e-01 6.318784659241096182e-07 5.487398646244848460e-08
2.098219999999999807e-01 3.232207208236868362e-07 1.695271282679728102e-08
2.198219999999999896e-01 1.681942073798186662e-07 1.337419934002592337e-08
2.298219999999999985e-01 1.248416196286576574e-07 1.418340803962603236e-08
2.398219999999999796e-01 1.310838968977898127e-07 1.437074118008334241e-08
2.498219999999999885e-01 1.604847850591642307e-07 1.156261119606802262e-08
2.598219999999999974e-01 1.903249144270207657e-07 1.231813526050732373e-08
2.698220000000000063e-01 2.337393916740415440e-07 1.397102884326249473e-08
2.798220000000000152e-01 2.563192661980855824e-07 1.555013868923184202e-08
2.898219999999999685e-01 2.727484887830542971e-07 1.400983350164711438e-08
2.998219999999999774e-01 2.566728391216367997e-07 1.030662862167729198e-08
3.164886666666666404e-01 2.445939199056236691e-07 9.627350724816192688e-09
3.398220000000000129e-01 1.829796249807291312e-07 1.300724164345890093e-08
3.598219999999999752e-01 1.448602222820059343e-07 1.256421707253198108e-08
3.798219999999999930e-01 8.731230013637435352e-08 1.009897212052008553e-08
3.998220000000000107e-01 5.663462017646569110e-08 9.344386682008151673e-09
4.198219999999999730e-01 2.257225566475385627e-08 2.031098914159537650e-08
4.398219999999999907e-01 9.403496489825206317e-09 1.201604882117840171e-08
4.598220000000000085e-01 7.959809826162437727e-09 7.513536691199962820e-09
4.798219999999999708e-01 6.477786828691104518e-09 8.961257312604458333e-09
4.998219999999999885e-01 6.000033107066774130e-09 7.906625067420415115e-09
5.198220000000000063e-01 8.231066471253007798e-09 9.715013326519637659e-09
5.398220000000000240e-01 1.155943985362874860e-08 8.945577992817189374e-09
5.598220000000000418e-01 1.718025043594165214e-08 8.981867490417061063e-09
5.798219999999999485e-01 9.134664449034812721e-09 1.038723105259139043e-08
6.098219999999999752e-01 5.426014560064406027e-08 6.124779990195912202e-07
6.398220000000000018e-01 1.300645463422818296e-08 1.160052558513943405e-08
6.598220000000000196e-01 1.857729802834568350e-08 1.415244854323619192e-08
6.798220000000000374e-01 4.705487681560847688e-09 1.009169055987361666e-08
