# q, R, dR
1.482200000000000011e-02 1.108434013049616862e+00 6.518554194893687315e-02
1.582199999999999926e-02 1.061621339466846115e+00 6.118004388764135271e-02
1.682200000000000015e-02 1.022142809275424780e+00 5.753744438406016570e-02
1.782199999999999757e-02 9.985215881401765525e-01 5.465328077145478053e-02
1.882199999999999845e-02 9.704068821212529228e-01 5.160279792471921673e-02
1.982199999999999934e-02 9.447490010184137477e-01 4.870143959586048510e-02
2.082200000000000023e-02 8.941243669282692430e-01 4.478700274529309744e-02
2.182199999999999765e-02 7.276173011227535792e-01 3.951656089676489764e-02
2.282199999999999854e-02 3.024639777409644514e-01 1.578588212310167924e-02
2.382199999999999943e-02 1.787531267329257323e-01 8.955744230837231132e-03
2.482200000000000031e-02 1.192912583622369183e-01 5.736982337218249697e-03
2.582199999999999773e-02 8.563740803804313628e-02 3.951790462725162170e-03
2.682199999999999862e-02 6.517343591953328463e-02 2.884968239221622453e-03
2.832199999999999995e-02 4.503161761544571817e-02 1.522038064769399993e-03
2.982199999999999782e-02 3.140946705806890032e-02 9.013589471190147249e-04
3.082199999999999870e-02 2.627771720108938378e-02 1.002131220264834439e-03
3.182200000000000306e-02 2.174529607511977228e-02 8.060237736402330435e-04
3.282200000000000395e-02 1.824914018591930476e-02 6.611214667835250015e-04
3.448866666666667441e-02 1.391101183757306736e-02 3.775299532805694285e-04
3.582199999999999968e-02 1.144904251093911002e-02 3.930201126382387440e-04
3.732200000000000101e-02 9.430820978680979488e-03 2.718014333036488837e-04
3.882200000000000234e-02 7.764757952299995540e-03 2.640646452734238844e-04
3.982200000000000323e-02 6.854140104774716566e-03 1.940041456315657611e-04
4.482200000000000073e-02 3.846901105737574739e-03 1.189378866365995379e-04
4.982200000000000517e-02 2.391009046272110639e-03 7.251160350819153876e-05
5.482200000000000267e-02 1.569421508302561597e-03 4.741940461076246427e-05
5.982200000000000017e-02 1.079377764172134279e-03 2.675410390718638799e-05
6.482200000000000462e-02 7.628712829827633424e-04 2.321835420263061519e-05
6.982200000000000906e-02 5.599536052508675152e-04 1.395357748767289555e-05
7.482199999999999962e-02 4.296381108118282281e-04 1.325932660530993708e-05
7.982200000000000406e-02 3.165360815527197298e-04 7.949267311685376673e-06
8.482200000000000850e-02 2.475716543825086618e-04 7.822508215180870236e-06
8.982199999999999906e-02 1.939095646908004975e-04 4.933477202944525974e-06
9.482200000000000351e-02 1.555285933885452694e-04 5.061186664560172364e-06
9.982200000000000795e-02 1.190579265645359076e-04 3.072794088680664435e-06
1.098220000000000030e-01 7.393173092703982140e-05 1.687038215714264273e-06
1.198219999999999980e-01 4.637796633613859695e-05 1.065267580438177256e-06
1.298219999999999930e-01 2.958559515883946696e-05 6.845909918221930834e-07
1.398220000000000018e-01 1.893860693660991200e-05 4.403710101405207307e-07
1.498219999999999830e-01 1.247400505107157357e-05 2.954299247419072461e-07
1.598219999999999918e-01 8.036243037387994002e-06 1.848514158585538017e-07
1.698220000000000007e-01 5.293886031036359823e-06 1.228256930533416241e-07
1.798219999999999819e-01 3.451660773689737477e-06 8.134120393174934000e-08
1.898219999999999907e-01 2.175221711657431853e-06 5.230890955407215279e-08
1.998219999999999996e-01 1.325508661353511347e-06 3.357863075204951173e-08
2.098219999999999807e-01 8.709703553599267858e-07 2.085525010833454525e-08
2.198219999999999896e-01 6.609042195942468170e-07 1.584495809167276829e-08
2.298219999999999985e-01 5.873306425496227969e-07 1.377137360641740087e-08
2.398219999999999796e-01 5.813294415078675238e-07 1.373830299417309257e-08
2.498219999999999885e-01 5.600858224998080624e-07 1.321644565882394055e-08
2.598219999999999974e-01 5.098761295075206457e-07 1.235590092217237922e-08
2.698220000000000063e-01 4.488219272094515216e-07 1.096720252734359987e-08
2.798220000000000152e-01 3.804292342885209152e-07 9.418830096830732201e-09
2.898219999999999685e-01 3.191235043962518265e-07 8.178049276707488636e-09
2.998219999999999774e-01 2.723442850857337582e-07 6.297679145591011374e-09
3.164886666666666404e-01 2.070691307862166248e-07 4.854951042146941232e-09
3.398220000000000129e-01 1.365648348323171914e-07 3.573010814061761975e-09
3.598219999999999752e-01 8.579327598136740728e-08 2.544855622984574531e-09
3.798219999999999930e-01 5.041132483934323601e-08 1.482649234334375875e-09
3.998220000000000107e-01 2.908760354667972414e-08 9.567458832683511554e-10
4.198219999999999730e-01 1.710987623623955283e-08 8.001014206853920076e-10
4.398219999999999907e-01 9.871313660112757201e-09 4.666738254726321647e-10
4.598220000000000085e-01 6.603545138209063679e-09 4.130372106719578260e-10
4.798219999999999708e-01 4.344466915564072244e-09 3.695242187638184476e-10
4.998219999999999885e-01 3.255512865153311623e-09 3.550976603871024452e-10
5.198220000000000063e-01 2.039980238529338689e-09 3.038017839319271419e-10
5.398220000000000240e-01 1.779179815183799692e-09 4.226149214758207506e-10
5.598220000000000418e-01 9.601624643672562981e-10 3.561078963205547685e-10
5.798219999999999485e-01 5.620591359313216117e-10 2.942555250628471105e-10
6.098219999999999752e-01 3.978476773530611562e-10 2.423445503932957044e-10
6.398220000000000018e-01 4.232011904513745968e-10 3.158658933948991180e-10
6.598220000000000196e-01 1.232981492214550565e-10 2.681274962217180451e-10
6.798220000000000374e-01 1.105426453669518427e-10 2.875070822427029407e-10
