# q, R, dR
1.482200000000000011e-02 1.099082046494023190e+00 6.474777095042419384e-02
1.582199999999999926e-02 1.061374307699015418e+00 6.117408210280121661e-02
1.682200000000000015e-02 1.030434564535612108e+00 5.792935254346759377e-02
1.782199999999999757e-02 9.962213700008309969e-01 5.455906701722637586e-02
1.882199999999999845e-02 9.659737949567743787e-01 5.140738507821703690e-02
1.982199999999999934e-02 9.396216485127145690e-01 4.848397796536343951e-02
2.082200000000000023e-02 9.072922678010296726e-01 4.536233579295705087e-02
2.182199999999999765e-02 7.513072089049966928e-01 4.081150540713086861e-02
2.282199999999999854e-02 3.131728658629101547e-01 1.635447929156186309e-02
2.382199999999999943e-02 1.739254594914564633e-01 8.730138191440792172e-03
2.482200000000000031e-02 1.196158900185849416e-01 5.764833610933864719e-03
2.582199999999999773e-02 8.573277326285590194e-02 3.971835541189363238e-03
2.682199999999999862e-02 6.452239768283124510e-02 2.872604765868975833e-03
2.832199999999999995e-02 4.413242613602330611e-02 1.501624591563185170e-03
2.982199999999999782e-02 3.102848288891836906e-02 8.951697550507594584e-04
3.082199999999999870e-02 2.598121027587270773e-02 1.010535383161459497e-03
3.182200000000000306e-02 2.149170584639303189e-02 8.105141954108986430e-04
3.282200000000000395e-02 1.783817008936637930e-02 6.642163874771898988e-04
3.448866666666667441e-02 1.364855400864609623e-02 3.773801450952593973e-04
3.582199999999999968e-02 1.147017177193391559e-02 4.066472421375547965e-04
3.732200000000000101e-02 9.013310172522052272e-03 2.736915560736026976e-04
3.882200000000000234e-02 7.568474620677011037e-03 2.735416119910280878e-04
3.982200000000000323e-02 6.487084057853076229e-03 1.905637093562389888e-04
4.482200000000000073e-02 3.647571082628667423e-03 1.133569121113897979e-04
4.982200000000000517e-02 2.282480714295066163e-03 6.966677905574388647e-05
5.482200000000000267e-02 1.476269029477024009e-03 4.495651830702712052e-05
5.982200000000000017e-02 1.015816346519001542e-03 2.524864583462373558e-05
6.482200000000000462e-02 7.335434850078291664e-04 2.260179938464558781e-05
6.982200000000000906e-02 5.345747167304385709e-04 1.339605943582574941e-05
7.482199999999999962e-02 4.067649213894627166e-04 1.276648550859836951e-05
7.982200000000000406e-02 3.065151220393349521e-04 7.769658487687748603e-06
8.482200000000000850e-02 2.424033039430714253e-04 7.778036491094201315e-06
8.982199999999999906e-02 1.844676527943564742e-04 4.721644754224237745e-06
9.482200000000000351e-02 1.470974173125418137e-04 4.905501227713804178e-06
9.982200000000000795e-02 1.156516245636377948e-04 3.012708578793307301e-06
1.098220000000000030e-01 7.346476697727514766e-05 1.679404285061892429e-06
1.198219999999999980e-01 4.761564839136061937e-05 1.096357673478989595e-06
1.298219999999999930e-01 3.132597280961234759e-05 7.258366885048410561e-07
1.398220000000000018e-01 2.029944698189693341e-05 4.779205622298512389e-07
1.498219999999999830e-01 1.369058384342494350e-05 3.264145167870403494e-07
1.598219999999999918e-01 9.326888498516559660e-06 2.146539183592149249e-07
1.698220000000000007e-01 6.288408081370860452e-06 1.464056457499185058e-07
1.798219999999999819e-01 4.291215282815957690e-06 1.009748077903194366e-07
1.898219999999999907e-01 2.873247633664016411e-06 6.880109750199324531e-08
1.998219999999999996e-01 1.859390654932841745e-06 4.659885362059447343e-08
2.098219999999999807e-01 1.195090648816302550e-06 2.858868446039518035e-08
2.198219999999999896e-01 8.584536268995618397e-07 2.035770023208616368e-08
2.298219999999999985e-01 6.881656012953347441e-07 1.655953584287628996e-08
2.398219999999999796e-01 6.480965510331241455e-07 1.523688841420326374e-08
2.498219999999999885e-01 6.065000510633653810e-07 1.443028829343761564e-08
2.598219999999999974e-01 5.667442893573432409e-07 1.347157776768614392e-08
2.698220000000000063e-01 4.999604556913848142e-07 1.207347436119964977e-08
2.798220000000000152e-01 4.226746304215854759e-07 1.047593083413924116e-08
2.898219999999999685e-01 3.543528874060958485e-07 9.173122681606906087e-09
2.998219999999999774e-01 2.955875577884905238e-07 7.033216862458921249e-09
3.164886666666666404e-01 2.295167384314255435e-07 5.376068619922027144e-09
3.398220000000000129e-01 1.600303198434090261e-07 4.252574212654716097e-09
3.598219999999999752e-01 1.042834370574359461e-07 3.021545917040378990e-09
3.798219999999999930e-01 5.937021249601390083e-08 1.862513536990156790e-09
3.998220000000000107e-01 3.374941422037657167e-08 1.155252602718296768e-09
4.198219999999999730e-01 1.748172590398233296e-08 7.528289192457271091e-10
4.398219999999999907e-01 8.891744548016589583e-09 5.305286415158642740e-10
4.598220000000000085e-01 5.020678072954882254e-09 4.388822398146778236e-10
4.798219999999999708e-01 3.176076329907249525e-09 4.788702313542230956e-10
4.998219999999999885e-01 2.215128480752002543e-09 4.968895008374468270e-10
5.198220000000000063e-01 1.897279616519878541e-09 4.204448814840196344e-10
5.398220000000000240e-01 1.412940414615145711e-09 3.892477493017378965e-10
5.598220000000000418e-01 1.000306036366584314e-09 4.277563481953909851e-10
5.798219999999999485e-01 4.052207956274835456e-10 3.564208024869689100e-10
6.098219999999999752e-01 4.502833497896122908e-09 2.038969773854821650e-07
6.398220000000000018e-01 5.678449024676948199e-10 4.180131279558064626e-10
6.598220000000000196e-01 1.574778822405186585e-09 4.432146706006677096e-09
6.798220000000000374e-01 1.399289251148053777e-08 2.557729976029257140e-07
