# q, R, dR
1.482200000000000011e-02 9.906845610518073553e-01 7.150511963198147303e-02
1.582199999999999926e-02 1.028230698728066494e+00 7.319742359059881742e-02
1.682200000000000015e-02 9.669821911498152067e-01 6.899957886158950005e-02
1.782199999999999757e-02 9.627219388645580356e-01 6.816841606433729495e-02
1.882199999999999845e-02 1.018805928483744960e+00 7.084184949314471791e-02
1.982199999999999934e-02 1.028874912208344483e+00 7.076074793220361869e-02
2.082200000000000023e-02 1.003699769513663798e+00 6.864493585074839255e-02
2.182199999999999765e-02 7.984646361040057538e-01 6.233602291041926563e-02
2.282199999999999854e-02 3.932155208193680029e-01 3.035943877246919179e-02
2.382199999999999943e-02 2.179265965620522105e-01 1.663245469361805326e-02
2.482200000000000031e-02 1.364337754234988820e-01 1.028843811509888399e-02
2.582199999999999773e-02 9.780457578625884052e-02 7.284528849933031257e-03
2.682199999999999862e-02 7.220204229656335126e-02 5.308671094409228748e-03
2.832199999999999995e-02 4.918800599331137058e-02 2.717477844451582272e-03
2.982199999999999782e-02 3.363592026380154976e-02 1.547107061014689868e-03
3.082199999999999870e-02 2.731817851134196382e-02 1.900007417444940158e-03
3.182200000000000306e-02 2.254836172689858934e-02 1.545151495562438557e-03
3.282200000000000395e-02 1.863272113701669105e-02 1.257618831921225979e-03
3.448866666666667441e-02 1.415548359199625926e-02 6.360539390758933580e-04
3.582199999999999968e-02 1.144185160227571656e-02 7.363372778241290394e-04
3.732200000000000101e-02 9.233643299633741142e-03 4.521949582012983640e-04
3.882200000000000234e-02 7.438865359475213719e-03 4.555265778980526967e-04
3.982200000000000323e-02 6.407729515587764352e-03 3.206354847719187291e-04
4.482200000000000073e-02 3.476497353932054071e-03 2.415265810280493137e-04
4.982200000000000517e-02 2.055441575673141400e-03 1.347084808172744892e-04
5.482200000000000267e-02 1.358251046923392462e-03 8.438733809024009317e-05
5.982200000000000017e-02 9.037198375533433969e-04 3.593595985918636979e-05
6.482200000000000462e-02 6.367845821893581854e-04 3.644386537236521384e-05
6.982200000000000906e-02 4.615139613419275968e-04 1.787878108362248104e-05
7.482199999999999962e-02 3.464754965960054251e-04 1.895758008713850244e-05
7.982200000000000406e-02 2.608640824819595506e-04 9.900849901709719375e-06
8.482200000000000850e-02 2.059398376152459431e-04 1.110395818226749135e-05
8.982199999999999906e-02 1.581771678151575359e-04 5.961370780586901183e-06
9.482200000000000351e-02 1.255901862219760130e-04 6.794616216744948201e-06
9.982200000000000795e-02 9.738169226909269881e-05 3.706131399313952391e-06
1.098220000000000030e-01 6.242607331364873264e-05 2.090055699671074589e-06
1.198219999999999980e-01 4.119737349417463982e-05 1.402088096357781111e-06
1.298219999999999930e-01 2.734393077740671324e-05 9.527574064234922040e-07
1.398220000000000018e-01 1.750233310086518859e-05 6.372969365641628255e-07
1.498219999999999830e-01 1.107486567111357963e-05 4.254414351999901375e-07
1.598219999999999918e-01 6.922982675747551872e-06 2.264338418836042633e-07
1.698220000000000007e-01 4.376969346006492674e-06 1.519786045950840890e-07
1.798219999999999819e-01 2.802002294749297714e-06 1.071855867763271083e-07
1.898219999999999907e-01 1.629032430310845524e-06 7.409862808115374478e-08
1.998219999999999996e-01 1.016024459026208460e-06 5.834835145362636092e-08
2.098219999999999807e-01 6.008673410209982074e-07 2.250905138274275233e-08
2.198219999999999896e-01 3.948160070425422351e-07 1.729618597446824774e-08
2.298219999999999985e-01 2.751018951863145452e-07 1.424605130521869617e-08
2.398219999999999796e-01 2.272336718741203258e-07 1.295539549095798074e-08
2.498219999999999885e-01 2.202357619834637706e-07 1.091474096748785855e-08
2.598219999999999974e-01 2.217559717941306489e-07 1.209092189816843729e-08
2.698220000000000063e-01 2.177055591871895358e-07 1.181321441480493004e-08
2.798220000000000152e-01 2.150166604781477791e-07 1.024343179083666669e-08
2.898219999999999685e-01 2.032530430829364079e-07 1.105495082565650349e-08
2.998219999999999774e-01 2.036874006881869904e-07 8.239335968234216142e-09
3.164886666666666404e-01 1.733488019109691833e-07 7.275068219061234910e-09
3.398220000000000129e-01 1.255520789400019368e-07 1.046210080597280354e-08
3.598219999999999752e-01 7.563086451714359834e-08 8.123651812877562995e-09
3.798219999999999930e-01 5.035758734342283548e-08 6.479349835449054594e-09
3.998220000000000107e-01 3.363187103669712166e-08 7.724342484092843875e-09
4.198219999999999730e-01 7.379255297170012221e-09 1.025236307896194129e-08
4.398219999999999907e-01 4.635426007774136172e-09 7.535744662782292250e-09
4.598220000000000085e-01 6.471041004622004030e-08 4.379297843626057778e-06
4.798219999999999708e-01 6.347162711295529557e-09 7.080612774126095337e-09
4.998219999999999885e-01 6.070393136220660266e-09 6.433440176288803353e-09
5.198220000000000063e-01 4.342828119229947671e-09 6.073787464236979807e-09
5.398220000000000240e-01 2.933031661152589852e-09 6.270021281597788420e-09
5.598220000000000418e-01 3.621492635149666260e-09 5.832925793743796809e-09
5.798219999999999485e-01 2.892489027565816556e-09 6.811387389891719725e-09
6.098219999999999752e-01 7.920237277682846063e-09 5.676185365046629775e-09
6.398220000000000018e-01 9.970479670998779710e-09 8.638437987365084134e-09
6.598220000000000196e-01 8.015815572946991456e-09 7.615447492488322638e-09
6.798220000000000374e-01 1.571142565068030813e-08 1.151346042486602341e-08
