# q, R, dR
1.482200000000000011e-02 1.027571786772245810e+00 7.371785103266369210e-02
1.582199999999999926e-02 1.023144977701907266e+00 7.291004619444221846e-02
1.682200000000000015e-02 9.959195217938540123e-01 7.073547021204365515e-02
1.782199999999999757e-02 9.830785229005249981e-01 6.938614697554930377e-02
1.882199999999999845e-02 9.931357193571053177e-01 6.936539678560990629e-02
1.982199999999999934e-02 9.957243074180357478e-01 6.887055669455524609e-02
2.082200000000000023e-02 9.814251640563278478e-01 6.738204515767212688e-02
2.182199999999999765e-02 7.455966297198134418e-01 5.821838395297293522e-02
2.282199999999999854e-02 4.315483046163605119e-01 3.332481771209476473e-02
2.382199999999999943e-02 2.122907432344640910e-01 1.620657573403833443e-02
2.482200000000000031e-02 1.421864515819636354e-01 1.072546830860994158e-02
2.582199999999999773e-02 9.803565562735892802e-02 7.304121845720459166e-03
2.682199999999999862e-02 7.513381918037559393e-02 5.526105646393436079e-03
2.832199999999999995e-02 5.131837782530539183e-02 2.833931962520692960e-03
2.982199999999999782e-02 3.563194663240538962e-02 1.625830986872819775e-03
3.082199999999999870e-02 2.944368437977998298e-02 2.048848766167269634e-03
3.182200000000000306e-02 2.412925665323026325e-02 1.654348938841514443e-03
3.282200000000000395e-02 2.089678901706039024e-02 1.410979176089566679e-03
3.448866666666667441e-02 1.563347006022866928e-02 7.031347054397202095e-04
3.582199999999999968e-02 1.282726886797648340e-02 8.261946278022594360e-04
3.732200000000000101e-02 1.042038605999829302e-02 5.105292990523252385e-04
3.882200000000000234e-02 8.376741774092177559e-03 5.134830872238513137e-04
3.982200000000000323e-02 7.306217576190400347e-03 3.643866979601554550e-04
4.482200000000000073e-02 3.802714337301628476e-03 2.639999253541660184e-04
4.982200000000000517e-02 2.318152486458837161e-03 1.517913712969660707e-04
5.482200000000000267e-02 1.499771615982977519e-03 9.308475937777701441e-05
5.982200000000000017e-02 9.926457153584455559e-04 3.937152133621492719e-05
6.482200000000000462e-02 7.022664921234473548e-04 4.012395028969485022e-05
6.982200000000000906e-02 5.110605651676529415e-04 1.980566424778624517e-05
7.482199999999999962e-02 3.926599476289248294e-04 2.143391321547720657e-05
7.982200000000000406e-02 2.889863731159778124e-04 1.092564132254684428e-05
8.482200000000000850e-02 2.323997164782782589e-04 1.248392044033239569e-05
8.982199999999999906e-02 1.754388682804203107e-04 6.604365610048492856e-06
9.482200000000000351e-02 1.381141477709184394e-04 7.438362007519324944e-06
9.982200000000000795e-02 1.098142864771545961e-04 4.143423675818141941e-06
1.098220000000000030e-01 7.138111520896118600e-05 2.374562541961738634e-06
1.198219999999999980e-01 4.653026772194935619e-05 1.571275551708573375e-06
1.298219999999999930e-01 3.045409067045666741e-05 1.052597133051939178e-06
1.398220000000000018e-01 1.907505470127666682e-05 6.866892546723441648e-07
1.498219999999999830e-01 1.301853677575421090e-05 4.937602642530261059e-07
1.598219999999999918e-01 7.879226801705634358e-06 2.570903914431725317e-07
1.698220000000000007e-01 5.070927885524992136e-06 1.723721130719361420e-07
1.798219999999999819e-01 3.092167573559029269e-06 1.127425907895164595e-07
1.898219999999999907e-01 1.906601799840401686e-06 8.056635978681006959e-08
1.998219999999999996e-01 1.171830050168560934e-06 5.967292116515592568e-08
2.098219999999999807e-01 7.093696924854996974e-07 2.897262495953898014e-08
2.198219999999999896e-01 4.675630354613457432e-07 1.895204604767094281e-08
2.298219999999999985e-01 3.436095072051699643e-07 1.542699130259670719e-08
2.398219999999999796e-01 2.727420021154226406e-07 1.394482010227271085e-08
2.498219999999999885e-01 2.268283197229691337e-07 1.199807431377133446e-08
2.598219999999999974e-01 2.304228727066076532e-07 1.142153364675716815e-08
2.698220000000000063e-01 2.210759945254566955e-07 1.272525074168788816e-08
2.798220000000000152e-01 2.249229946291138029e-07 1.318873858031695532e-08
2.898219999999999685e-01 2.120955492943085332e-07 1.332646284574143349e-08
2.998219999999999774e-01 2.115367709741985691e-07 8.186486159480816555e-09
3.164886666666666404e-01 1.883217236283251871e-07 7.360990365141928172e-09
3.398220000000000129e-01 1.572290013565152294e-07 1.305809848868078290e-08
3.598219999999999752e-01 9.243082077927693999e-08 1.010322764177273604e-08
3.798219999999999930e-01 6.591847033920638019e-08 9.383821281056113891e-09
3.998220000000000107e-01 4.902770876386240521e-08 8.692421621758683005e-09
4.198219999999999730e-01 2.869502263701095949e-08 7.784617635334062534e-09
4.398219999999999907e-01 1.665904707879808434e-08 7.093137731535121271e-09
4.598220000000000085e-01 2.597026801362392410e-09 6.739123957324389648e-09
4.798219999999999708e-01 7.388664523337233169e-09 8.880627468527030663e-09
4.998219999999999885e-01 6.040632841230885170e-09 7.625434999281109058e-09
5.198220000000000063e-01 4.899926971227103827e-09 6.189845135960273996e-09
5.398220000000000240e-01 7.434669851526313547e-09 9.954292848569444939e-09
5.598220000000000418e-01 8.046386792655707791e-08 1.485596783290058060e-06
5.798219999999999485e-01 7.226743690224725434e-08 1.053099051806197249e-06
6.098219999999999752e-01 4.059384892206259360e-08 4.233551944324168680e-07
6.398220000000000018e-01 1.129549800349413779e-08 9.062523265131946698e-09
6.598220000000000196e-01 8.114833823914936491e-09 9.442885028697673441e-09
6.798220000000000374e-01 1.125622648470282096e-08 1.103933861148694221e-08
