# q, R, dR
1.482200000000000011e-02 1.035251375386369910e+00 7.503584939664541265e-02
1.582199999999999926e-02 1.025477851193406842e+00 7.386482849000383655e-02
1.682200000000000015e-02 1.013105590167793446e+00 7.251406976501051371e-02
1.782199999999999757e-02 1.046725333015972037e+00 7.391673155688480157e-02
1.882199999999999845e-02 1.043614478336135409e+00 7.306564595932525663e-02
1.982199999999999934e-02 1.019955698801019439e+00 7.096875848563793943e-02
2.082200000000000023e-02 1.007022290838021750e+00 6.949902896182517942e-02
2.182199999999999765e-02 8.088473822612816111e-01 5.676345751838027948e-02
2.282199999999999854e-02 4.392483264594245207e-01 3.361443884116340625e-02
2.382199999999999943e-02 2.080040351497467466e-01 1.573386580609039548e-02
2.482200000000000031e-02 1.428195303817607897e-01 1.067152630894799628e-02
2.582199999999999773e-02 9.731046811519097894e-02 7.179646453989740364e-03
2.682199999999999862e-02 7.485777830837911373e-02 5.450774301610215346e-03
2.832199999999999995e-02 5.056771015618698184e-02 2.744405108817030148e-03
2.982199999999999782e-02 3.523687870677823936e-02 1.562852505073320181e-03
3.082199999999999870e-02 2.979126315014940865e-02 2.049299578140540302e-03
3.182200000000000306e-02 2.400748833247604713e-02 1.626815947548471098e-03
3.282200000000000395e-02 2.026729426089738176e-02 1.351821423793753791e-03
3.448866666666667441e-02 1.500767844118568173e-02 6.570153970023605077e-04
3.582199999999999968e-02 1.239933941433039866e-02 7.876731026247321904e-04
3.732200000000000101e-02 1.011217816070739996e-02 4.837454847594666691e-04
3.882200000000000234e-02 8.128201520859650378e-03 4.904657618986753764e-04
3.982200000000000323e-02 6.910678842272486959e-03 3.381412919951625601e-04
4.482200000000000073e-02 3.719401786833281039e-03 2.560248676463474423e-04
4.982200000000000517e-02 2.176341130407172947e-03 1.411639421529603338e-04
5.482200000000000267e-02 1.436589475750539927e-03 8.822453463156986462e-05
5.982200000000000017e-02 9.801436982988047907e-04 3.766598639579287172e-05
6.482200000000000462e-02 6.944560578664400264e-04 3.918617858947799116e-05
6.982200000000000906e-02 5.028150988984866118e-04 1.884274094429705732e-05
7.482199999999999962e-02 3.764577136803684012e-04 2.026982126839235493e-05
7.982200000000000406e-02 2.844573252393926594e-04 1.039240315392454548e-05
8.482200000000000850e-02 2.262220374019557900e-04 1.198435370200578689e-05
8.982199999999999906e-02 1.716991991880078682e-04 6.241687920456289139e-06
9.482200000000000351e-02 1.333325739345534778e-04 7.083960252869496771e-06
9.982200000000000795e-02 1.071849436220058464e-04 3.918036722511540585e-06
1.098220000000000030e-01 6.999408318889257705e-05 2.220056614634319775e-06
1.198219999999999980e-01 4.492981870498800949e-05 1.452406838960857537e-06
1.298219999999999930e-01 2.919110228192264592e-05 9.675081111817202674e-07
1.398220000000000018e-01 1.927188145314307280e-05 6.665833435715801961e-07
1.498219999999999830e-01 1.241232616284432962e-05 4.577263269417470299e-07
1.598219999999999918e-01 7.639838737212582733e-06 2.358936247317232755e-07
1.698220000000000007e-01 4.556672403487239484e-06 1.518971635530311821e-07
1.798219999999999819e-01 2.614736316809682768e-06 9.697293579147982156e-08
1.898219999999999907e-01 1.453595202457285248e-06 6.861287957084535263e-08
1.998219999999999996e-01 7.484183874901157092e-07 5.323540170922651540e-08
2.098219999999999807e-01 3.550398803181436920e-07 1.741750317179733788e-08
2.198219999999999896e-01 1.723088569528543004e-07 1.247401051895604623e-08
2.298219999999999985e-01 1.087415164210286186e-07 1.538883905260008890e-08
2.398219999999999796e-01 1.085970845231940700e-07 1.207396391578353041e-08
2.498219999999999885e-01 1.410208245405927053e-07 1.103592991100335124e-08
2.598219999999999974e-01 1.891883311605946371e-07 1.351872779677961985e-08
2.698220000000000063e-01 2.385490108119537501e-07 1.290022219901547084e-08
2.798220000000000152e-01 2.584169877029145625e-07 1.247272345418275021e-08
2.898219999999999685e-01 2.718400797640101126e-07 1.403025290624463471e-08
2.998219999999999774e-01 2.865675228460614157e-07 1.058858803990023715e-08
3.164886666666666404e-01 2.708377006444080318e-07 9.319722390461152620e-09
3.398220000000000129e-01 2.249277719682565743e-07 1.419139122008527715e-08
3.598219999999999752e-01 1.697849008626617797e-07 1.181937916296702299e-08
3.798219999999999930e-01 1.128159772750843573e-07 1.218504787701961892e-08
3.998220000000000107e-01 7.609849302090066954e-08 1.194044556363180609e-08
4.198219999999999730e-01 4.498692219842432295e-08 9.394341219425614575e-09
4.398219999999999907e-01 2.018221076433898915e-08 8.419094122885393622e-09
4.598220000000000085e-01 1.247064891498286162e-08 9.991199530513166481e-09
4.798219999999999708e-01 2.605519560927699620e-09 7.205333601620047586e-09
4.998219999999999885e-01 2.074605091917235316e-08 1.011569889709450463e-07
5.198220000000000063e-01 4.089102370933337957e-09 6.864274448930048586e-09
5.398220000000000240e-01 7.724515675667942456e-08 2.532990599257607735e-06
5.598220000000000418e-01 5.092732485241681347e-09 7.182885523157018453e-09
5.798219999999999485e-01 4.063402245515481402e-09 7.496256453718212865e-09
6.098219999999999752e-01 1.204502885221562619e-08 5.555494109639445330e-09
6.398220000000000018e-01 1.109072617722175898e-08 1.204808101870913711e-08
6.598220000000000196e-01 9.359650158347060621e-09 1.142129986832921953e-08
6.798220000000000374e-01 9.735335043509432283e-09 1.083015569785116678e-08
