# q, R, dR
1.482200000000000011e-02 1.089486091362268594e+00 6.431592245790586360e-02
1.582199999999999926e-02 1.055199544971442416e+00 6.090613565144122055e-02
1.682200000000000015e-02 1.026155261599336566e+00 5.775062055178709769e-02
1.782199999999999757e-02 9.965282357663831636e-01 5.459049191164972586e-02
1.882199999999999845e-02 9.673965827983851407e-01 5.149213528918723110e-02
1.982199999999999934e-02 9.447181343373362017e-01 4.873013618941096636e-02
2.082200000000000023e-02 9.205161491648475858e-01 4.595201324339448501e-02
2.182199999999999765e-02 7.391863462832671816e-01 4.018673573593145587e-02
2.282199999999999854e-02 3.026250106857478750e-01 1.584246218021681182e-02
2.382199999999999943e-02 1.772670717287386788e-01 8.931019578144530624e-03
2.482200000000000031e-02 1.202637240650480249e-01 5.831986492801126236e-03
2.582199999999999773e-02 8.517710107987483403e-02 3.984016113913839245e-03
2.682199999999999862e-02 6.329319417826577421e-02 2.859276617020673275e-03
2.832199999999999995e-02 4.362956746768308081e-02 1.508894587159133804e-03
2.982199999999999782e-02 3.094296312820672690e-02 9.102378423196823666e-04
3.082199999999999870e-02 2.628274735098004578e-02 1.057243824237945719e-03
3.182200000000000306e-02 2.134026945804776490e-02 8.493138191236683943e-04
3.282200000000000395e-02 1.858307217152659757e-02 7.293077621261605768e-04
3.448866666666667441e-02 1.364796724782707700e-02 3.884755065036420846e-04
3.582199999999999968e-02 1.139543699990475459e-02 4.554051132895685166e-04
3.732200000000000101e-02 9.378436036801027914e-03 3.082940691620747486e-04
3.882200000000000234e-02 8.067758003613220361e-03 3.326213434619120814e-04
3.982200000000000323e-02 6.832769693379195028e-03 2.121855340032791928e-04
4.482200000000000073e-02 3.893816782089157789e-03 1.207310652713239563e-04
4.982200000000000517e-02 2.417348278679491529e-03 7.376717463000342413e-05
5.482200000000000267e-02 1.652127401862677446e-03 5.037656373178582087e-05
5.982200000000000017e-02 1.148759089143653461e-03 2.860900944397792460e-05
6.482200000000000462e-02 8.407227766686187600e-04 2.606897525277127961e-05
6.982200000000000906e-02 6.148539476743038884e-04 1.542652899801736160e-05
7.482199999999999962e-02 4.830964132543903678e-04 1.536820714567607254e-05
7.982200000000000406e-02 3.602579265774576134e-04 9.184957970410231550e-06
8.482200000000000850e-02 2.842247577022493266e-04 9.327502583589678719e-06
8.982199999999999906e-02 2.219604765914137364e-04 5.755238731621841158e-06
9.482200000000000351e-02 1.705952348730461446e-04 5.943786904624239235e-06
9.982200000000000795e-02 1.371034812985948560e-04 3.642832910307624404e-06
1.098220000000000030e-01 8.764167404869204847e-05 2.010249106630422354e-06
1.198219999999999980e-01 5.713925736981367604e-05 1.323803891095344108e-06
1.298219999999999930e-01 3.762153020993955639e-05 8.812867175842674728e-07
1.398220000000000018e-01 2.369001018598668938e-05 5.638215598241345427e-07
1.498219999999999830e-01 1.545122948734491383e-05 3.806665784194391824e-07
1.598219999999999918e-01 9.620070802332944280e-06 2.255402891311907751e-07
1.698220000000000007e-01 5.805738197737935657e-06 1.388380663642051786e-07
1.798219999999999819e-01 3.418535815879240075e-06 8.499749621922725686e-08
1.898219999999999907e-01 2.038751130703448830e-06 5.320161561177271118e-08
1.998219999999999996e-01 1.200625894963802904e-06 3.435783945835841354e-08
2.098219999999999807e-01 7.240280927095531665e-07 1.811702406251896292e-08
2.198219999999999896e-01 5.550243552456067568e-07 1.375198631362643765e-08
2.298219999999999985e-01 5.073787986133071906e-07 1.310353350132014016e-08
2.398219999999999796e-01 5.460381031121055372e-07 1.426412073707793087e-08
2.498219999999999885e-01 6.207560011960461002e-07 1.561333339406506445e-08
2.598219999999999974e-01 6.740239113434026638e-07 1.622351653575507714e-08
2.698220000000000063e-01 7.256961848170187792e-07 1.753791416763301859e-08
2.798220000000000152e-01 7.488985106864453843e-07 1.838118062781814913e-08
2.898219999999999685e-01 7.467059986133227223e-07 1.839936103509954726e-08
2.998219999999999774e-01 7.150467820205279630e-07 1.671087047857285565e-08
3.164886666666666404e-01 6.205208693879390015e-07 1.458835163743115778e-08
3.398220000000000129e-01 4.623121201102078565e-07 1.125340128536350108e-08
3.598219999999999752e-01 3.123664648913821316e-07 8.104236806965144004e-09
3.798219999999999930e-01 1.984241852840928520e-07 5.538073984591872760e-09
3.998220000000000107e-01 1.145262486603307149e-07 3.687737289650784663e-09
4.198219999999999730e-01 5.928619435857338678e-08 1.771149000160116650e-09
4.398219999999999907e-01 2.504773894401149595e-08 1.154411692929124540e-09
4.598220000000000085e-01 9.915313152493485839e-09 8.758237862690268790e-10
4.798219999999999708e-01 4.079941409484666634e-09 7.324308246983842825e-10
4.998219999999999885e-01 3.631532753186624200e-09 6.821718150283210639e-10
5.198220000000000063e-01 3.128492661003703105e-09 6.679774424915037535e-10
5.398220000000000240e-01 2.785286709655278715e-09 7.859548132471002688e-10
5.598220000000000418e-01 2.530766550641581213e-09 5.398298618742407035e-10
5.798219999999999485e-01 2.078264817116652060e-09 6.103452286738027437e-10
6.098219999999999752e-01 1.003802741603711501e-09 4.354094854253041454e-10
6.398220000000000018e-01 1.782215716749837113e-10 6.953090115778614792e-10
6.598220000000000196e-01 1.493361828908335609e-09 1.605491641403799812e-09
6.798220000000000374e-01 4.392916118667449927e-10 6.851080572381946540e-10
