# q, R, dR, dq
1.499999999999999944e-02 9.442169523655929986e-01 3.558957591929582786e-03 7.500000000000000156e-04
1.600000000000000033e-02 9.768071001375143725e-01 3.622820046203451775e-03 8.000000000000000383e-04
1.700000000000000122e-02 1.001589729410942375e+00 3.651483822925921923e-03 8.500000000000000611e-04
1.799999999999999864e-02 1.022385051303569714e+00 3.756155237010440524e-03 8.999999999999999754e-04
1.899999999999999953e-02 1.044155619660406931e+00 3.791352278715515948e-03 9.499999999999999981e-04
2.000000000000000042e-02 1.060386129220318718e+00 3.801948037936929078e-03 1.000000000000000021e-03
2.100000000000000130e-02 1.052652306167966900e+00 3.753960378447963701e-03 1.050000000000000152e-03
2.199999999999999872e-02 8.978071117336878793e-01 3.461316284186764704e-03 1.100000000000000066e-03
2.299999999999999961e-02 3.882422244062390115e-01 2.464990527877599074e-03 1.149999999999999981e-03
2.400000000000000050e-02 2.257739909743148865e-01 1.810570178042529349e-03 1.200000000000000112e-03
2.500000000000000139e-02 1.558512203119616080e-01 1.507345698205279179e-03 1.250000000000000243e-03
2.599999999999999881e-02 1.125913516949186705e-01 1.266697169226656565e-03 1.299999999999999940e-03
2.699999999999999969e-02 8.239020506083602480e-02 1.042666802097559848e-03 1.350000000000000071e-03
2.800000000000000058e-02 6.700683055330944327e-02 9.230827189988684549e-04 1.400000000000000203e-03
2.900000000000000147e-02 5.430719748137401853e-02 8.440368519461171086e-04 1.450000000000000117e-03
2.999999999999999889e-02 4.318298619837190183e-02 3.715629931981050626e-04 1.500000000000000031e-03
3.099999999999999978e-02 3.579093506224732130e-02 7.054406038982577844e-04 1.550000000000000162e-03
3.200000000000000067e-02 3.006502752754562635e-02 6.305531535494916491e-04 1.600000000000000077e-03
3.300000000000000155e-02 2.602861560818697448e-02 5.705883203299055243e-04 1.650000000000000208e-03
3.400000000000000244e-02 2.230668748871949408e-02 5.491355499166839871e-04 1.700000000000000122e-03
3.500000000000000333e-02 1.889259618039157429e-02 2.514678888834313343e-04 1.750000000000000253e-03
3.599999999999999728e-02 1.705327555184643282e-02 4.835530530851196436e-04 1.799999999999999951e-03
3.699999999999999817e-02 1.520038959062804292e-02 4.535858456851421961e-04 1.850000000000000082e-03
3.849999999999999950e-02 1.215201533344903093e-02 2.925788414109542468e-04 1.925000000000000062e-03
4.000000000000000083e-02 1.013198398074988821e-02 1.930212108144532498e-04 2.000000000000000042e-03
4.499999999999999833e-02 5.942582610910319800e-03 3.116591717582395404e-05 2.249999999999999830e-03
5.000000000000000278e-02 3.823168947693246847e-03 2.363025007609349920e-05 2.500000000000000486e-03
5.500000000000000028e-02 2.571519025600962297e-03 1.864613649416823653e-05 2.750000000000000274e-03
5.999999999999999778e-02 1.789649611800588416e-03 8.048409769521084570e-06 3.000000000000000062e-03
6.500000000000000222e-02 1.312996984094771903e-03 1.269118258662568362e-05 3.250000000000000284e-03
7.000000000000000666e-02 9.727082994836506319e-04 5.584365103552678404e-06 3.500000000000000507e-03
7.499999999999999722e-02 7.396253683309417497e-04 9.370579837848632285e-06 3.749999999999999861e-03
8.000000000000000167e-02 5.704529248882429706e-04 4.078335175846279720e-06 4.000000000000000083e-03
8.500000000000000611e-02 4.531214372527709515e-04 6.575140002456464362e-06 4.250000000000000305e-03
8.999999999999999667e-02 3.622488754273924341e-04 3.231209572580707230e-06 4.499999999999999660e-03
9.500000000000000111e-02 2.953153648789031750e-04 5.967657158035206365e-06 4.750000000000000749e-03
1.000000000000000056e-01 2.328453722979057991e-04 2.746482221696705851e-06 5.000000000000000971e-03
1.100000000000000006e-01 1.496141192235623185e-04 9.093902610053378555e-07 5.500000000000000548e-03
1.199999999999999956e-01 1.005067655534928211e-04 5.636866366628536930e-07 6.000000000000000125e-03
1.300000000000000044e-01 6.873813337956351591e-05 4.369489685680429728e-07 6.500000000000000569e-03
1.400000000000000133e-01 4.662703610858121901e-05 3.754324256220136978e-07 7.000000000000001013e-03
1.499999999999999944e-01 3.105963635904906203e-05 2.808204968993078456e-07 7.499999999999999722e-03
1.600000000000000033e-01 2.060896856484570761e-05 1.380020933461774293e-07 8.000000000000000167e-03
1.700000000000000122e-01 1.313293566568593423e-05 1.065365864266096560e-07 8.500000000000000611e-03
1.799999999999999933e-01 8.129003701295122575e-06 7.100384897590878147e-08 8.999999999999999320e-03
1.900000000000000022e-01 4.799698195788974227e-06 6.449371583262344128e-08 9.500000000000001499e-03
2.000000000000000111e-01 2.643227724321366141e-06 4.464512698479714614e-08 1.000000000000000194e-02
2.099999999999999922e-01 1.321337916237141335e-06 1.548618476929108504e-08 1.050000000000000065e-02
2.200000000000000011e-01 6.287257525163318442e-07 9.095568865525232045e-09 1.100000000000000110e-02
2.300000000000000100e-01 3.389135925695316284e-07 8.920856114157018900e-09 1.150000000000000154e-02
2.399999999999999911e-01 2.740070775218669923e-07 6.447003196826285787e-09 1.200000000000000025e-02
2.500000000000000000e-01 3.478248437100545301e-07 8.146338058771979095e-09 1.250000000000000069e-02
2.600000000000000089e-01 4.952380711187552601e-07 7.521437800830911770e-09 1.300000000000000114e-02
2.700000000000000178e-01 6.365492897457619336e-07 9.542694216276065595e-09 1.350000000000000158e-02
2.800000000000000266e-01 7.669609981160314442e-07 1.151545912515925914e-08 1.400000000000000203e-02
2.899999999999999800e-01 8.647432178001960712e-07 1.263835701997262667e-08 1.449999999999999900e-02
2.999999999999999889e-01 9.226037161945483235e-07 1.532026708111513738e-08 1.499999999999999944e-02
3.099999999999999978e-01 9.358694889901020770e-07 1.717549627778322675e-08 1.549999999999999989e-02
3.200000000000000067e-01 9.068777147095228633e-07 1.890732805666700759e-08 1.600000000000000033e-02
3.300000000000000155e-01 8.603353039386773542e-07 1.678150040660843910e-08 1.650000000000000078e-02
3.449999999999999734e-01 7.268490247525795954e-07 1.024109646755259624e-08 1.724999999999999797e-02
3.599999999999999867e-01 5.927483321456539277e-07 1.448248088392899707e-08 1.799999999999999864e-02
3.699999999999999956e-01 5.055492691311621710e-07 1.542328484336749463e-08 1.849999999999999908e-02
3.800000000000000044e-01 4.086834178877173010e-07 1.295740247486867712e-08 1.900000000000000300e-02
3.900000000000000133e-01 3.220721643944074317e-07 1.271252406349565260e-08 1.950000000000000344e-02
