# q, R, dR
1.482200000000000011e-02 1.050581061594124677e+00 6.318370455504800087e-02
1.582199999999999926e-02 1.050109969624054784e+00 6.132826746246101274e-02
1.682200000000000015e-02 1.044766339298682123e+00 5.918766247639296874e-02
1.782199999999999757e-02 1.033959225812022487e+00 5.676539784615371870e-02
1.882199999999999845e-02 1.012931716907132573e+00 5.388115344548521923e-02
1.982199999999999934e-02 9.965065529335704886e-01 5.123275384803120669e-02
2.082200000000000023e-02 9.813440362921104221e-01 4.867918926872590729e-02
2.182199999999999765e-02 8.298010975383013355e-01 4.038669636067050706e-02
2.282199999999999854e-02 3.432365585423264309e-01 1.770272929839825787e-02
2.382199999999999943e-02 1.911533766061268014e-01 9.481537166854354937e-03
2.482200000000000031e-02 1.266311572333190250e-01 6.043063894405238667e-03
2.582199999999999773e-02 9.155888272981733966e-02 4.206542529134693273e-03
2.682199999999999862e-02 6.930310816318881184e-02 3.066357178797386642e-03
2.782199999999999951e-02 5.194502643261240254e-02 2.224372337389120182e-03
2.882200000000000040e-02 4.152275588370647058e-02 1.725735097877931180e-03
2.982199999999999782e-02 3.246780525276304896e-02 9.048041870702698032e-04
3.082199999999999870e-02 2.765653766109911482e-02 1.092632153399205296e-03
3.182200000000000306e-02 2.320519376603232334e-02 9.014823884358381815e-04
3.282200000000000395e-02 1.950506062783028544e-02 7.537665693243421252e-04
3.382200000000000484e-02 1.631815997306111307e-02 6.280282690348226162e-04
3.482200000000000573e-02 1.410152419686206207e-02 4.092276724543538282e-04
3.582199999999999968e-02 1.233582979579869038e-02 4.828366574823726330e-04
3.682200000000000056e-02 1.070683869936696862e-02 4.227974344775575397e-04
3.832200000000000190e-02 8.626259106860482972e-03 2.809560249276670928e-04
3.982200000000000323e-02 7.135658350338409776e-03 2.141805934330978677e-04
4.482200000000000073e-02 4.158236417505790407e-03 1.235718148561887363e-04
4.982200000000000517e-02 2.646378849746396957e-03 7.726437873788877253e-05
5.482200000000000267e-02 1.751570469902505832e-03 5.118945554056810430e-05
5.982200000000000017e-02 1.199894423974649186e-03 2.789401891431065344e-05
6.482200000000000462e-02 8.892296246342844615e-04 2.650784472998770274e-05
6.982200000000000906e-02 6.476515801675146802e-04 1.526269278818912815e-05
7.482199999999999962e-02 4.884799253193670239e-04 1.500242720123019266e-05
7.982200000000000406e-02 3.722049238449980633e-04 8.924440882949998606e-06
8.482200000000000850e-02 2.927052750833290915e-04 9.444980823681230260e-06
8.982199999999999906e-02 2.285431390534416640e-04 5.594797588020041147e-06
9.482200000000000351e-02 1.862672198730520542e-04 6.393505737816760647e-06
9.982200000000000795e-02 1.453156023449646782e-04 3.734723092529683921e-06
1.098220000000000030e-01 9.023007316370890520e-05 1.936427951603646144e-06
1.198219999999999980e-01 5.894455864337411048e-05 1.264238883078382333e-06
1.298219999999999930e-01 3.868544905764848099e-05 8.391045647193735167e-07
1.398220000000000018e-01 2.496456466832672853e-05 5.560561784755929296e-07
1.498219999999999830e-01 1.586248645922239641e-05 3.627470344836519780e-07
1.598219999999999918e-01 1.007042648782266827e-05 2.199805989955300392e-07
1.698220000000000007e-01 6.208709401441189033e-06 1.384724025617192691e-07
1.798219999999999819e-01 3.853749949542104344e-06 8.911902002253254405e-08
1.898219999999999907e-01 2.213386923691709079e-06 5.511296043657922291e-08
1.998219999999999996e-01 1.218982894528578089e-06 3.395975869935997581e-08
2.098219999999999807e-01 6.515479086776269559e-07 1.579058184076702866e-08
2.198219999999999896e-01 3.777855049366970422e-07 9.997240378755024668e-09
2.298219999999999985e-01 2.972686026797451830e-07 8.368750959779009819e-09
2.398219999999999796e-01 3.277269056149557465e-07 8.787028446918169391e-09
2.498219999999999885e-01 4.047933882789671993e-07 1.070421859456560664e-08
2.598219999999999974e-01 4.741970681511312741e-07 1.128946299912880484e-08
2.698220000000000063e-01 5.105882003055823856e-07 1.201482336323996322e-08
2.798220000000000152e-01 5.192106683834944743e-07 1.233584811564173224e-08
2.898219999999999685e-01 5.021083898515859282e-07 1.243912418070776547e-08
2.998219999999999774e-01 4.764102212178802965e-07 1.233339962370430668e-08
3.098219999999999863e-01 4.385932904927391644e-07 1.157181110927685075e-08
3.198219999999999952e-01 3.918146931116297737e-07 1.111376862223254541e-08
3.298220000000000041e-01 3.410002926307741034e-07 9.650245229407919312e-09
3.448219999999999619e-01 2.724908238790217233e-07 6.887878272883909730e-09
3.598219999999999752e-01 2.021347683472480210e-07 6.825253690996912158e-09
3.698219999999999841e-01 1.558008233259613066e-07 5.782759460618688569e-09
3.798219999999999930e-01 1.223156188177777913e-07 5.181659288610294812e-09
3.898220000000000018e-01 9.461889030125275333e-08 5.233882000291962848e-09
