# q, R, dR, dq
1.499999999999999944e-02 9.102495482128386550e-01 3.383443450614443196e-03 7.500000000000000156e-04
1.600000000000000033e-02 9.581814723010244617e-01 3.476539111465409664e-03 8.000000000000000383e-04
1.700000000000000122e-02 9.977208421725718424e-01 3.604261537646989959e-03 8.500000000000000611e-04
1.799999999999999864e-02 1.024984561704110009e+00 3.643777108697260781e-03 8.999999999999999754e-04
1.899999999999999953e-02 1.044459035420326032e+00 3.681857690741848019e-03 9.499999999999999981e-04
2.000000000000000042e-02 1.067124562924108400e+00 3.729221906882366957e-03 1.000000000000000021e-03
2.100000000000000130e-02 1.076909806042081863e+00 3.718033353844286265e-03 1.050000000000000152e-03
2.199999999999999872e-02 9.203701712229378495e-01 3.413892945711149984e-03 1.100000000000000066e-03
2.299999999999999961e-02 3.873441530045795278e-01 2.391480613216296833e-03 1.149999999999999981e-03
2.400000000000000050e-02 2.303710334181998665e-01 1.846587114311011623e-03 1.200000000000000112e-03
2.500000000000000139e-02 1.548310899830867005e-01 1.447603884355826631e-03 1.250000000000000243e-03
2.599999999999999881e-02 1.108364105914995262e-01 1.196100319503624583e-03 1.299999999999999940e-03
2.699999999999999969e-02 8.368455507136331184e-02 1.049036824114218860e-03 1.350000000000000071e-03
2.800000000000000058e-02 6.588958554753010510e-02 9.302169594750780415e-04 1.400000000000000203e-03
2.900000000000000147e-02 5.366216409470544318e-02 8.268235212577169707e-04 1.450000000000000117e-03
2.999999999999999889e-02 4.369955628303526241e-02 3.834116220777601322e-04 1.500000000000000031e-03
3.099999999999999978e-02 3.759597147327620181e-02 6.969632590941612612e-04 1.550000000000000162e-03
3.200000000000000067e-02 3.049743445714216128e-02 6.208063559070527496e-04 1.600000000000000077e-03
3.300000000000000155e-02 2.643874436443084328e-02 5.826259462412589855e-04 1.650000000000000208e-03
3.400000000000000244e-02 2.308613392015097104e-02 5.454032167020345405e-04 1.700000000000000122e-03
3.500000000000000333e-02 1.967021174143265827e-02 2.582167567879801789e-04 1.750000000000000253e-03
3.599999999999999728e-02 1.643840358537368082e-02 4.589552805076578860e-04 1.799999999999999951e-03
3.699999999999999817e-02 1.536082591525355159e-02 4.497881779519517960e-04 1.850000000000000082e-03
3.849999999999999950e-02 1.224204197355738613e-02 2.875396695411874793e-04 1.925000000000000062e-03
4.000000000000000083e-02 1.003747963967206377e-02 1.841268465884920232e-04 2.000000000000000042e-03
4.499999999999999833e-02 5.993840086137432535e-03 3.104233916597483810e-05 2.249999999999999830e-03
5.000000000000000278e-02 3.851172062039431680e-03 2.360860572075679090e-05 2.500000000000000486e-03
5.500000000000000028e-02 2.587088891608919916e-03 1.857647421596905407e-05 2.750000000000000274e-03
5.999999999999999778e-02 1.779046517142660782e-03 7.891758172773690773e-06 3.000000000000000062e-03
6.500000000000000222e-02 1.313328801029352549e-03 1.262998744184033277e-05 3.250000000000000284e-03
7.000000000000000666e-02 9.608200939015851087e-04 5.575300614249272174e-06 3.500000000000000507e-03
7.499999999999999722e-02 6.986589320206634509e-04 8.792701653708370762e-06 3.749999999999999861e-03
8.000000000000000167e-02 5.566911856771203804e-04 3.911684979494274218e-06 4.000000000000000083e-03
8.500000000000000611e-02 4.345694014886070555e-04 6.763965984605496646e-06 4.250000000000000305e-03
8.999999999999999667e-02 3.410512832235109261e-04 3.069675155538918992e-06 4.499999999999999660e-03
9.500000000000000111e-02 2.701681477158451904e-04 5.502908981476196566e-06 4.750000000000000749e-03
1.000000000000000056e-01 2.176585245924277882e-04 2.519313567616254103e-06 5.000000000000000971e-03
1.100000000000000006e-01 1.359938196618557741e-04 8.591948628567778107e-07 5.500000000000000548e-03
1.199999999999999956e-01 9.058917009249334957e-05 5.248589594703997855e-07 6.000000000000000125e-03
1.300000000000000044e-01 5.924641314293942348e-05 3.948813070609865072e-07 6.500000000000000569e-03
1.400000000000000133e-01 3.877723816457386257e-05 3.389554516301976759e-07 7.000000000000001013e-03
1.499999999999999944e-01 2.473029951338070957e-05 2.592863761957623610e-07 7.499999999999999722e-03
1.600000000000000033e-01 1.576122682672345728e-05 1.213428573289804110e-07 8.000000000000000167e-03
1.700000000000000122e-01 9.829600898933669550e-06 9.256012917141458139e-08 8.500000000000000611e-03
1.799999999999999933e-01 6.017292284744150987e-06 6.410809903084088901e-08 8.999999999999999320e-03
1.900000000000000022e-01 3.429372823896309862e-06 5.499518330113839671e-08 9.500000000000001499e-03
2.000000000000000111e-01 1.910773017270022499e-06 4.306916968894556778e-08 1.000000000000000194e-02
2.099999999999999922e-01 1.013027344065478783e-06 1.530056451842914826e-08 1.050000000000000065e-02
2.200000000000000011e-01 5.572541186096800742e-07 9.929834248645688136e-09 1.100000000000000110e-02
2.300000000000000100e-01 4.188185650822595749e-07 9.428407133484252192e-09 1.150000000000000154e-02
2.399999999999999911e-01 4.364361947667960244e-07 9.683270897662073342e-09 1.200000000000000025e-02
2.500000000000000000e-01 5.611104526756982180e-07 1.086815785987456448e-08 1.250000000000000069e-02
2.600000000000000089e-01 7.005317370779793765e-07 9.255538801016868534e-09 1.300000000000000114e-02
2.700000000000000178e-01 7.828494319924502925e-07 1.214941134731774087e-08 1.350000000000000158e-02
2.800000000000000266e-01 8.325122149761364575e-07 1.322108752618117579e-08 1.400000000000000203e-02
2.899999999999999800e-01 8.333125469499616510e-07 1.426581013213624226e-08 1.449999999999999900e-02
2.999999999999999889e-01 8.091473002722141172e-07 1.438272333368467716e-08 1.499999999999999944e-02
3.099999999999999978e-01 7.661280271577596565e-07 1.765683149171307444e-08 1.549999999999999989e-02
3.200000000000000067e-01 7.045237494921163540e-07 1.806554156431944241e-08 1.600000000000000033e-02
3.300000000000000155e-01 6.295190244769396306e-07 1.378510526105563482e-08 1.650000000000000078e-02
3.449999999999999734e-01 5.125303101568449953e-07 8.684161554275926132e-09 1.724999999999999797e-02
3.599999999999999867e-01 3.867248863100266058e-07 1.216378033015586685e-08 1.799999999999999864e-02
3.699999999999999956e-01 3.204049948984095660e-07 1.196676559177494971e-08 1.849999999999999908e-02
