# q, R, dR
1.482200000000000011e-02 1.106269098494538028e+00 6.507273644287474290e-02
1.582199999999999926e-02 1.060519564609651244e+00 6.111353391372891658e-02
1.682200000000000015e-02 1.026187908459252007e+00 5.771131574327959673e-02
1.782199999999999757e-02 9.884726708376005977e-01 5.417878685907093206e-02
1.882199999999999845e-02 9.706431908924179064e-01 5.159495910053636669e-02
1.982199999999999934e-02 9.382344028916028700e-01 4.840067439456117310e-02
2.082200000000000023e-02 9.096731638149381238e-01 4.544218256870028588e-02
2.182199999999999765e-02 6.849667232200858935e-01 3.718922753519154911e-02
2.282199999999999854e-02 2.751786632799333443e-01 1.435349436272085992e-02
2.382199999999999943e-02 1.648538040675770200e-01 8.252944132425138468e-03
2.482200000000000031e-02 1.103893445684700075e-01 5.302416334272439490e-03
2.582199999999999773e-02 8.136650671028809734e-02 3.747787790684810414e-03
2.682199999999999862e-02 6.127724732118811773e-02 2.706857185195810523e-03
2.832199999999999995e-02 4.265988577794588288e-02 1.439327299354722879e-03
2.982199999999999782e-02 3.035046155328673112e-02 8.687074700352248558e-04
3.082199999999999870e-02 2.505611533323314974e-02 9.499501474396084520e-04
3.182200000000000306e-02 2.119193363963206567e-02 7.768164781560771759e-04
3.282200000000000395e-02 1.782069445556291876e-02 6.355188606263783863e-04
3.448866666666667441e-02 1.356252952871066404e-02 3.664374246061946616e-04
3.582199999999999968e-02 1.110029217361520500e-02 3.744586732484846700e-04
3.732200000000000101e-02 9.303815338630873344e-03 2.644039123250445811e-04
3.882200000000000234e-02 7.653005847264382835e-03 2.548131055474440500e-04
3.982200000000000323e-02 6.530494680750310692e-03 1.838427421007455794e-04
4.482200000000000073e-02 3.783831972966405881e-03 1.166941581528341493e-04
4.982200000000000517e-02 2.380644615235175208e-03 7.199211614717351468e-05
5.482200000000000267e-02 1.580465437589266770e-03 4.760067535122313798e-05
5.982200000000000017e-02 1.087982690730875850e-03 3.283208468369474902e-05
6.482200000000000462e-02 7.798084671065332475e-04 2.363222424773781742e-05
6.982200000000000906e-02 5.537606481346285785e-04 1.369733244314146231e-05
7.482199999999999962e-02 4.321717895624060902e-04 1.325704517327448584e-05
7.982200000000000406e-02 3.235950877970589917e-04 8.091483811718497589e-06
8.482200000000000850e-02 2.550383631129738999e-04 7.995095868638638865e-06
8.982199999999999906e-02 1.973342785669721610e-04 4.984258963695286335e-06
9.482200000000000351e-02 1.602203488775638901e-04 5.154946430566429196e-06
9.982200000000000795e-02 1.243272540106447974e-04 3.185924427384766041e-06
1.098220000000000030e-01 7.714843016747458546e-05 1.756802983436043644e-06
1.198219999999999980e-01 4.883455292909760932e-05 1.118001663620756913e-06
1.298219999999999930e-01 3.112961837426630888e-05 7.168911800928007723e-07
1.398220000000000018e-01 1.999020672240345374e-05 4.627241010020123424e-07
1.498219999999999830e-01 1.237089041037262266e-05 2.903041255444269661e-07
1.598219999999999918e-01 7.817798421479131831e-06 1.795357274179603240e-07
1.698220000000000007e-01 4.826526662152115917e-06 1.119511539740595735e-07
1.798219999999999819e-01 2.961720451419019280e-06 6.988447529391171902e-08
1.898219999999999907e-01 1.844137370263288846e-06 4.469411505573038386e-08
1.998219999999999996e-01 1.106654536628445683e-06 2.809755727659720498e-08
2.098219999999999807e-01 6.598213337492126125e-07 1.571382827157635774e-08
2.198219999999999896e-01 4.361608500871107433e-07 1.057103976748558015e-08
2.298219999999999985e-01 3.738009650335432776e-07 8.873212380086244810e-09
2.398219999999999796e-01 4.015378255115322818e-07 9.562496510285950524e-09
2.498219999999999885e-01 4.826638626720255004e-07 1.146509528923807685e-08
2.598219999999999974e-01 5.661556520880076090e-07 1.337064116905810070e-08
2.698220000000000063e-01 6.141276332183796495e-07 1.470061957922323299e-08
2.798220000000000152e-01 6.242000288059606240e-07 1.497829201147388576e-08
2.898219999999999685e-01 6.005205894644222879e-07 1.422001951071103160e-08
2.998219999999999774e-01 5.538158771141719859e-07 1.268219774500064612e-08
3.164886666666666404e-01 4.662784525362962767e-07 1.071288452158742804e-08
3.398220000000000129e-01 3.250641218602209794e-07 7.950335648355159964e-09
3.598219999999999752e-01 2.242513448163699488e-07 5.687632477481615557e-09
3.798219999999999930e-01 1.418512512787629648e-07 3.615492143481583668e-09
3.998220000000000107e-01 7.997904699578140812e-08 2.224735144879882720e-09
4.198219999999999730e-01 3.976191654356766621e-08 1.286158764997229991e-09
4.398219999999999907e-01 1.738035185322862617e-08 7.942287910600762540e-10
4.598220000000000085e-01 7.032912742178334306e-09 3.831103935563942468e-10
4.798219999999999708e-01 2.776110276499328477e-09 3.996986072685459991e-10
4.998219999999999885e-01 1.506555157572342118e-09 3.468309425826812944e-10
5.198220000000000063e-01 1.396022636037868846e-09 2.933866539067614955e-10
5.398220000000000240e-01 1.585150221953447813e-09 3.152319320362958166e-10
5.598220000000000418e-01 1.170073067539818964e-09 3.234664107564866595e-10
5.798219999999999485e-01 1.211589466145329316e-09 4.054761697791777548e-10
6.098219999999999752e-01 5.536237547681494165e-10 2.097021778323360869e-10
6.398220000000000018e-01 2.903367109624397160e-10 2.917729300606768411e-10
6.598220000000000196e-01 1.536533963614130073e-09 3.254778068251605802e-09
6.798220000000000374e-01 7.125901088693394259e-10 9.365825180406998239e-10
