# q, R, dR
1.482200000000000011e-02 1.126742675303227026e+00 6.612432471683633850e-02
1.582199999999999926e-02 1.078812699953086263e+00 6.205808189503598388e-02
1.682200000000000015e-02 1.042300057981454087e+00 5.854476103273572457e-02
1.782199999999999757e-02 1.011645101470038499e+00 5.532718903496222640e-02
1.882199999999999845e-02 9.703187717208449081e-01 5.167276315396625991e-02
1.982199999999999934e-02 9.124590927083878755e-01 4.735254441860058811e-02
2.082200000000000023e-02 8.577216008629622301e-01 4.327793664092335207e-02
2.182199999999999765e-02 7.135906783162354605e-01 3.882573994272984358e-02
2.282199999999999854e-02 3.675782714605245749e-01 1.922582165998091772e-02
2.382199999999999943e-02 2.317399450037577191e-01 1.164330695077922875e-02
2.482200000000000031e-02 1.611246745665310953e-01 7.775858429350553450e-03
2.582199999999999773e-02 1.039743498011632822e-01 4.830445542015159369e-03
2.682199999999999862e-02 7.120729792697935712e-02 3.190000590731144250e-03
2.832199999999999995e-02 4.798618307242499131e-02 1.647471986351925445e-03
2.982199999999999782e-02 3.368994426164415024e-02 9.836392777731459754e-04
3.082199999999999870e-02 2.755906695333722872e-02 1.093066086025369079e-03
3.182200000000000306e-02 2.288268037553800940e-02 8.905868379673133372e-04
3.282200000000000395e-02 1.960647696331118545e-02 7.490733583966519308e-04
3.448866666666667441e-02 1.462753744254310928e-02 4.130105445398381931e-04
3.582199999999999968e-02 1.246399482065533269e-02 4.720875677599337887e-04
3.732200000000000101e-02 9.739067511502639413e-03 3.107850028592038134e-04
3.882200000000000234e-02 8.465718127002206175e-03 3.326181620201410839e-04
3.982200000000000323e-02 7.006702026074933948e-03 2.147242030607506816e-04
4.482200000000000073e-02 3.989349470619670511e-03 1.245770349418608028e-04
4.982200000000000517e-02 2.498112215261207546e-03 7.672867636267787525e-05
5.482200000000000267e-02 1.663042232076091410e-03 5.103675407620541279e-05
5.982200000000000017e-02 1.126776980288394202e-03 2.824370105384310420e-05
6.482200000000000462e-02 8.166005798354269681e-04 2.542951796805848950e-05
6.982200000000000906e-02 5.953745296397596441e-04 1.503424416130247757e-05
7.482199999999999962e-02 4.610136317197845819e-04 1.474607477410351708e-05
7.982200000000000406e-02 3.440007663238118206e-04 8.810968325419350113e-06
8.482200000000000850e-02 2.695687173690693443e-04 8.867659867726588281e-06
8.982199999999999906e-02 2.118467555395767208e-04 5.513407769066841205e-06
9.482200000000000351e-02 1.678367146196611457e-04 5.783463670105136601e-06
9.982200000000000795e-02 1.348641557233768492e-04 3.597518336577572591e-06
1.098220000000000030e-01 8.284519612726169940e-05 1.911704896269384665e-06
1.198219999999999980e-01 5.434203175245985582e-05 1.260509324683687288e-06
1.298219999999999930e-01 3.621981072371155945e-05 8.512760979731092619e-07
1.398220000000000018e-01 2.335282572463380933e-05 5.560532847109953341e-07
1.498219999999999830e-01 1.540078259727501071e-05 3.770143342183737337e-07
1.598219999999999918e-01 1.004844264149654193e-05 2.354517412458336276e-07
1.698220000000000007e-01 6.487051434069037332e-06 1.539072249124719019e-07
1.798219999999999819e-01 4.177142024940599778e-06 1.017954254740921086e-07
1.898219999999999907e-01 2.645204721067409604e-06 6.605452993103930952e-08
1.998219999999999996e-01 1.590930965471429606e-06 4.210471998320421901e-08
2.098219999999999807e-01 9.848991771418354194e-07 2.373739737149085327e-08
2.198219999999999896e-01 6.963445632637471959e-07 1.751359763811136532e-08
2.298219999999999985e-01 5.563942475808405303e-07 1.443881946869980805e-08
2.398219999999999796e-01 5.100261825494669796e-07 1.324825906559832309e-08
2.498219999999999885e-01 4.862066606555677321e-07 1.192928394667582830e-08
2.598219999999999974e-01 4.747909278858524733e-07 1.168961792181721432e-08
2.698220000000000063e-01 4.730108146097195806e-07 1.172891498158418326e-08
2.798220000000000152e-01 4.550383610054600941e-07 1.136640547893176362e-08
2.898219999999999685e-01 4.278918828553193115e-07 1.097811448243818718e-08
2.998219999999999774e-01 3.909395754875121675e-07 9.367057709250606261e-09
3.164886666666666404e-01 3.288262632422990787e-07 7.913904029463266594e-09
3.398220000000000129e-01 2.303305715681683980e-07 6.097052316942534227e-09
3.598219999999999752e-01 1.529400549493248041e-07 4.545503380442763965e-09
3.798219999999999930e-01 9.204509156848043241e-08 3.049656623193706947e-09
3.998220000000000107e-01 5.230771976614649618e-08 2.065917688854840907e-09
4.198219999999999730e-01 2.600535665775994242e-08 1.220588564037336445e-09
4.398219999999999907e-01 1.211792147467093175e-08 9.122664382300498555e-10
4.598220000000000085e-01 5.502032390570059760e-09 6.650416176743380641e-10
4.798219999999999708e-01 3.866321482299251000e-09 7.246860991331086221e-10
4.998219999999999885e-01 2.973429130736274901e-09 6.919679469362446149e-10
5.198220000000000063e-01 2.557867538300950942e-09 6.742500197714660330e-10
5.398220000000000240e-01 2.095846450893013085e-09 5.781898173597855550e-10
5.598220000000000418e-01 1.627545559689794553e-09 5.678829257108505936e-10
5.798219999999999485e-01 1.406580179485807255e-09 5.793720020807299753e-10
6.098219999999999752e-01 9.708095137587682291e-10 4.660735248291968310e-10
6.398220000000000018e-01 1.746865570999217793e-10 5.360747965166086135e-10
6.598220000000000196e-01 8.459725014284249021e-10 6.973527404170217417e-10
6.798220000000000374e-01 6.803428074462818523e-10 6.744610719785433112e-10
