# q, R, dR
1.482200000000000011e-02 1.032910241071474333e+00 7.403947623212771278e-02
1.582199999999999926e-02 1.012362473267059748e+00 7.228066224513418625e-02
1.682200000000000015e-02 1.020309009790898225e+00 7.217796119335564975e-02
1.782199999999999757e-02 1.011317147562219576e+00 7.105293023783365580e-02
1.882199999999999845e-02 1.017667700880980242e+00 7.079610201881841869e-02
1.982199999999999934e-02 9.760734571842946128e-01 6.773830116774390286e-02
2.082200000000000023e-02 9.293599702430737075e-01 6.435729066584981728e-02
2.182199999999999765e-02 7.368676485468237392e-01 5.753992938250346301e-02
2.282199999999999854e-02 3.799775849371587744e-01 2.934352291482339795e-02
2.382199999999999943e-02 2.233008059694592817e-01 1.704602685074605925e-02
2.482200000000000031e-02 1.400941184806293593e-01 1.056653210336172544e-02
2.582199999999999773e-02 9.233958315208458389e-02 6.879219834908988952e-03
2.682199999999999862e-02 6.877483647826676538e-02 5.057826043202708413e-03
2.832199999999999995e-02 4.539491894266769328e-02 2.508474175160055417e-03
2.982199999999999782e-02 3.101394553457276215e-02 1.416466008891540188e-03
3.082199999999999870e-02 2.543979532509429292e-02 1.769949922472702653e-03
3.182200000000000306e-02 2.079691748191265718e-02 1.425714211778773138e-03
3.282200000000000395e-02 1.716595493272369405e-02 1.159131074339010952e-03
3.448866666666667441e-02 1.285297213567810314e-02 5.794737545755010953e-04
3.582199999999999968e-02 1.054829232434913687e-02 6.791913874146847472e-04
3.732200000000000101e-02 8.403918809753038732e-03 4.115381969330961080e-04
3.882200000000000234e-02 6.700043598045827414e-03 4.106706136255585922e-04
3.982200000000000323e-02 5.773916744203449330e-03 2.897355718610555289e-04
4.482200000000000073e-02 3.132730463568706228e-03 2.185772989132553584e-04
4.982200000000000517e-02 1.896662309092522541e-03 1.249124829375794390e-04
5.482200000000000267e-02 1.233105062074061351e-03 7.702673881260488950e-05
5.982200000000000017e-02 8.144658825614467784e-04 3.241088280912070367e-05
6.482200000000000462e-02 5.880647254933673261e-04 3.386151775369302080e-05
6.982200000000000906e-02 4.175598114812994381e-04 1.625125270267474507e-05
7.482199999999999962e-02 3.170622830941283339e-04 1.745263210960342786e-05
7.982200000000000406e-02 2.380740807746191824e-04 9.097774379264924669e-06
8.482200000000000850e-02 1.817348641116504437e-04 9.863675452045019375e-06
8.982199999999999906e-02 1.435056872731032716e-04 5.432879130637965312e-06
9.482200000000000351e-02 1.145812680333500649e-04 6.241277504211509625e-06
9.982200000000000795e-02 8.971948416976409499e-05 3.409416179905945203e-06
1.098220000000000030e-01 5.645435200985394233e-05 1.891325383165322901e-06
1.198219999999999980e-01 3.757133972015451050e-05 1.280348881619268770e-06
1.298219999999999930e-01 2.417237722662639207e-05 8.430408821721508508e-07
1.398220000000000018e-01 1.608205343683570876e-05 5.861659416271381189e-07
1.498219999999999830e-01 1.024252040395246248e-05 3.921861882981686296e-07
1.598219999999999918e-01 6.287821533262766814e-06 2.075394699242785904e-07
1.698220000000000007e-01 4.039402397367547858e-06 1.395460719621310040e-07
1.798219999999999819e-01 2.491880727595602109e-06 9.420684679656512448e-08
1.898219999999999907e-01 1.495135713338986549e-06 6.848627325741469534e-08
1.998219999999999996e-01 8.845874704104431978e-07 5.326955347337195907e-08
2.098219999999999807e-01 5.752233417610925424e-07 2.148948460525015209e-08
2.198219999999999896e-01 3.773247936988443899e-07 1.549144155912007043e-08
2.298219999999999985e-01 2.644043136873038551e-07 1.270920224698236469e-08
2.398219999999999796e-01 2.163828653205656005e-07 1.043245028786483357e-08
2.498219999999999885e-01 2.007309941995295467e-07 1.135883375388442703e-08
2.598219999999999974e-01 1.804054313224683628e-07 1.053916543263096894e-08
2.698220000000000063e-01 1.787014165842103036e-07 9.985147279116624747e-09
2.798220000000000152e-01 1.930875124589729468e-07 1.157795637094982271e-08
2.898219999999999685e-01 1.809548997762040777e-07 1.005922039237133678e-08
2.998219999999999774e-01 1.709147145480076458e-07 6.769932381988513927e-09
3.164886666666666404e-01 1.487490395121890838e-07 5.905576998799835446e-09
3.398220000000000129e-01 1.099082500888266122e-07 8.828364134361559068e-09
3.598219999999999752e-01 6.993050346164676327e-08 8.037713738970657751e-09
3.798219999999999930e-01 5.217116790943885542e-08 7.754075417720950358e-09
3.998220000000000107e-01 2.908260843540439960e-08 6.672227550168338565e-09
4.198219999999999730e-01 1.901678354729731686e-08 6.576005052344097915e-09
4.398219999999999907e-01 1.179409183212382121e-08 6.292467121486383050e-09
4.598220000000000085e-01 8.825264174536073138e-09 7.809998647955721241e-09
4.798219999999999708e-01 4.029515549662263589e-09 5.895670204157298330e-09
4.998219999999999885e-01 1.007334164004918845e-08 5.561192314434318453e-09
5.198220000000000063e-01 6.823263000999172715e-08 2.513468711921458612e-06
5.398220000000000240e-01 8.994771261204609249e-09 8.387477975216123111e-09
5.598220000000000418e-01 3.221010027068382320e-09 5.350040506563432093e-09
5.798219999999999485e-01 3.643856138224081315e-09 6.116889273551290904e-09
6.098219999999999752e-01 3.291457463249640643e-08 2.194960346135708806e-07
6.398220000000000018e-01 7.037666415864172142e-09 7.259243392097528049e-09
6.598220000000000196e-01 1.947301819733321693e-08 1.682035882128423360e-08
6.798220000000000374e-01 7.787484192027874142e-09 8.210102129178197082e-09
