# q, R, dR
1.482200000000000011e-02 1.098180930763039242e+00 6.473560820809201588e-02
1.582199999999999926e-02 1.059697667566698698e+00 6.112561016973765138e-02
1.682200000000000015e-02 1.019578651610050901e+00 5.745508038352317715e-02
1.782199999999999757e-02 9.946181547970912584e-01 5.451589441679893094e-02
1.882199999999999845e-02 9.662650430859739403e-01 5.145312145771811785e-02
1.982199999999999934e-02 9.445606816880143253e-01 4.873212438969721366e-02
2.082200000000000023e-02 9.170988704891306353e-01 4.581455499508699930e-02
2.182199999999999765e-02 7.466577255632276255e-01 4.059687602021089248e-02
2.282199999999999854e-02 3.083849192202027245e-01 1.614904851094592364e-02
2.382199999999999943e-02 1.784752802082981149e-01 8.993396474752793357e-03
2.482200000000000031e-02 1.213765539809629340e-01 5.889436804454515652e-03
2.582199999999999773e-02 8.615360315568786065e-02 4.029911723670264075e-03
2.682199999999999862e-02 6.530656802684062234e-02 2.951592160774329024e-03
2.832199999999999995e-02 4.478065801160980436e-02 1.551362770470223569e-03
2.982199999999999782e-02 3.120106564776663899e-02 9.156506327905404021e-04
3.082199999999999870e-02 2.622608325749730199e-02 1.057775297461843733e-03
3.182200000000000306e-02 2.212396945077735322e-02 8.746368554467455914e-04
3.282200000000000395e-02 1.880443765327353967e-02 7.413190724309430199e-04
3.448866666666667441e-02 1.419426914772533438e-02 4.053954289589182082e-04
3.582199999999999968e-02 1.153062322463405467e-02 4.569977143637191683e-04
3.732200000000000101e-02 9.260578739908013543e-03 3.076880713319505721e-04
3.882200000000000234e-02 7.678959726288807700e-03 3.177504322917695453e-04
3.982200000000000323e-02 6.889226261889132806e-03 2.169524264480096013e-04
4.482200000000000073e-02 3.930118685850519412e-03 1.220056151713056549e-04
4.982200000000000517e-02 2.467875906252547848e-03 7.540881269268695758e-05
5.482200000000000267e-02 1.651499145285105627e-03 5.048930756330829458e-05
5.982200000000000017e-02 1.147925037131429819e-03 2.862997751302701142e-05
6.482200000000000462e-02 8.125495661944102336e-04 2.529477875248627278e-05
6.982200000000000906e-02 6.074809093048679247e-04 1.532159012469542182e-05
7.482199999999999962e-02 4.775320519677207299e-04 1.526365925496681259e-05
7.982200000000000406e-02 3.571404429355045035e-04 9.148421245996048311e-06
8.482200000000000850e-02 2.755307083638052889e-04 9.085852756172513347e-06
8.982199999999999906e-02 2.148883472919944720e-04 5.580927905917991555e-06
9.482200000000000351e-02 1.716513710107246519e-04 5.970197498213272792e-06
9.982200000000000795e-02 1.338551438312668277e-04 3.579706663138162862e-06
1.098220000000000030e-01 8.606213463999288409e-05 1.978439822907524456e-06
1.198219999999999980e-01 5.677205940369474320e-05 1.318833072378399566e-06
1.298219999999999930e-01 3.380756237386025204e-05 7.988659485370386066e-07
1.398220000000000018e-01 2.379550583602692618e-05 5.688930296702193558e-07
1.498219999999999830e-01 1.539680046470702995e-05 3.828979812416234563e-07
1.598219999999999918e-01 9.977968080769584756e-06 2.342719591631048547e-07
1.698220000000000007e-01 6.353168312246494889e-06 1.522502901965258547e-07
1.798219999999999819e-01 4.033734838778345751e-06 9.968838928911113244e-08
1.898219999999999907e-01 2.506292103687805030e-06 6.414109009849525493e-08
1.998219999999999996e-01 1.536367849531895998e-06 4.166833154998165174e-08
2.098219999999999807e-01 9.255187949831614762e-07 2.210631984883707317e-08
2.198219999999999896e-01 6.155090636874773771e-07 1.595760531499978678e-08
2.298219999999999985e-01 5.207023332359995156e-07 1.356254795741743550e-08
2.398219999999999796e-01 5.253244048631830954e-07 1.434460495089621483e-08
2.498219999999999885e-01 5.698109088087808367e-07 1.488860853325863894e-08
2.598219999999999974e-01 5.944752405767356860e-07 1.454522800957460609e-08
2.698220000000000063e-01 6.042424188618536939e-07 1.473925860442673666e-08
2.798220000000000152e-01 5.914277494214497494e-07 1.497918010107133868e-08
2.898219999999999685e-01 5.532246358415818189e-07 1.397984963253668467e-08
2.998219999999999774e-01 5.077550285962571487e-07 1.212435349420473136e-08
3.164886666666666404e-01 4.251701274872833098e-07 1.022638629843079613e-08
3.398220000000000129e-01 3.102428166269064501e-07 7.827532003715637795e-09
3.598219999999999752e-01 2.089573411012278247e-07 5.748140458296233289e-09
3.798219999999999930e-01 1.295997551193320998e-07 3.882294491121057396e-09
3.998220000000000107e-01 7.063474906231748408e-08 2.546215659918294433e-09
4.198219999999999730e-01 3.657919872951657200e-08 1.586792604525973583e-09
4.398219999999999907e-01 1.753455796683923839e-08 9.506885397934807755e-10
4.598220000000000085e-01 8.557756809085275227e-09 7.114612064467230027e-10
4.798219999999999708e-01 4.953923206181724594e-09 6.862956380010056708e-10
4.998219999999999885e-01 4.930117056853180850e-09 8.734508732872636957e-10
5.198220000000000063e-01 3.383104343992031052e-09 5.815944944950229042e-10
5.398220000000000240e-01 3.376401234732222057e-09 6.617698233510238519e-10
5.598220000000000418e-01 2.777433180088489811e-09 5.850042411111857485e-10
5.798219999999999485e-01 1.483267595780016558e-09 6.883876284950555391e-10
6.098219999999999752e-01 9.076919681128981536e-10 4.717196936267147331e-10
6.398220000000000018e-01 1.505428124249618210e-09 1.454658651634296102e-09
6.598220000000000196e-01 8.964029991311126836e-10 1.034883599256788309e-09
6.798220000000000374e-01 4.679152583312243792e-10 6.705646040518655726e-10
