# q, R, dR
1.482200000000000011e-02 1.098650769646581038e+00 6.476132298416605038e-02
1.582199999999999926e-02 1.060767000991875708e+00 6.117720736338212728e-02
1.682200000000000015e-02 1.024648018965975238e+00 5.769207128848223565e-02
1.782199999999999757e-02 9.938534937049074980e-01 5.447707452572338876e-02
1.882199999999999845e-02 9.683679192096896760e-01 5.154736491673853754e-02
1.982199999999999934e-02 9.450703289605403290e-01 4.875506853570815008e-02
2.082200000000000023e-02 9.086424685204309570e-01 4.545326738307688824e-02
2.182199999999999765e-02 7.672244757625411582e-01 4.171329818176682663e-02
2.282199999999999854e-02 3.052650049173536440e-01 1.598111439261197878e-02
2.382199999999999943e-02 1.756184984795766124e-01 8.855079228180910006e-03
2.482200000000000031e-02 1.188318231733229841e-01 5.765426076287777889e-03
2.582199999999999773e-02 8.575735579927852570e-02 4.009670728198744261e-03
2.682199999999999862e-02 6.427587105339307993e-02 2.906301826226823527e-03
2.832199999999999995e-02 4.407353992819165733e-02 1.523382509869273963e-03
2.982199999999999782e-02 3.105671264641738163e-02 9.145552090451864900e-04
3.082199999999999870e-02 2.548450862032997088e-02 1.034151209113534945e-03
3.182200000000000306e-02 2.223636979881312911e-02 8.777354425359598471e-04
3.282200000000000395e-02 1.841364536015780567e-02 7.255312678169845890e-04
3.448866666666667441e-02 1.385168283379024055e-02 3.947205071977735692e-04
3.582199999999999968e-02 1.154221730084674553e-02 4.598700862033609370e-04
3.732200000000000101e-02 9.323488090870090533e-03 3.047228061702186895e-04
3.882200000000000234e-02 7.605948975190382835e-03 3.180575490419356756e-04
3.982200000000000323e-02 6.800937150486061067e-03 2.127387384202707795e-04
4.482200000000000073e-02 3.912507795980587830e-03 1.211759163970552899e-04
4.982200000000000517e-02 2.480788662681575243e-03 7.560338329884080174e-05
5.482200000000000267e-02 1.671151564778886262e-03 5.093232216443607856e-05
5.982200000000000017e-02 1.151018226674716503e-03 2.866988527742997213e-05
6.482200000000000462e-02 8.521626887420103141e-04 2.641605736690551628e-05
6.982200000000000906e-02 6.089261037189616730e-04 1.531605075704314424e-05
7.482199999999999962e-02 4.641404241859999492e-04 1.481552362734890824e-05
7.982200000000000406e-02 3.567335794118257843e-04 9.115308973852681004e-06
8.482200000000000850e-02 2.796621972204576504e-04 9.213933512437404857e-06
8.982199999999999906e-02 2.177299954672750736e-04 5.637287946369070371e-06
9.482200000000000351e-02 1.790534989522865052e-04 6.188319808982905892e-06
9.982200000000000795e-02 1.373277336867174676e-04 3.686813669046243273e-06
1.098220000000000030e-01 8.667666706038417866e-05 1.990496675930621704e-06
1.198219999999999980e-01 5.675644980226328336e-05 1.317600973820581090e-06
1.298219999999999930e-01 3.759155645788037059e-05 8.823119399062562304e-07
1.398220000000000018e-01 2.418449499948134641e-05 5.766893786932430294e-07
1.498219999999999830e-01 1.576014824095792880e-05 3.903622256171483450e-07
1.598219999999999918e-01 9.969612952179419144e-06 2.336066051560306208e-07
1.698220000000000007e-01 6.228792707186943869e-06 1.486100347231248612e-07
1.798219999999999819e-01 3.776934495122680949e-06 9.361363996654595539e-08
1.898219999999999907e-01 2.269180270242642773e-06 5.875523424451598619e-08
1.998219999999999996e-01 1.334152467889823273e-06 3.792046632214486858e-08
2.098219999999999807e-01 7.709157516337488494e-07 1.899733815549554222e-08
2.198219999999999896e-01 5.258472586903677647e-07 1.373534145333383141e-08
2.298219999999999985e-01 4.397608779445612407e-07 1.188074031197156390e-08
2.398219999999999796e-01 4.443614904813580723e-07 1.166188105138756547e-08
2.498219999999999885e-01 5.068305184877599183e-07 1.243217589295162534e-08
2.598219999999999974e-01 5.447911004100540131e-07 1.321954540248929676e-08
2.698220000000000063e-01 5.723890508395572467e-07 1.409314918732814105e-08
2.798220000000000152e-01 5.778655268749312435e-07 1.454024941866863752e-08
2.898219999999999685e-01 5.612035391846345966e-07 1.408479584632280201e-08
2.998219999999999774e-01 5.259984480675292848e-07 1.246979022377648891e-08
3.164886666666666404e-01 4.531157699959008157e-07 1.079904408460345940e-08
3.398220000000000129e-01 3.291908846187118568e-07 8.378393088620481494e-09
3.598219999999999752e-01 2.203691074511077485e-07 5.966911796455410079e-09
3.798219999999999930e-01 1.349978484940806776e-07 4.093096539700622815e-09
3.998220000000000107e-01 7.468264033221232940e-08 2.641415202839671632e-09
4.198219999999999730e-01 3.696109009216851849e-08 1.427235185190595111e-09
4.398219999999999907e-01 1.671572437078270402e-08 1.140518479031590662e-09
4.598220000000000085e-01 7.458996640223177375e-09 7.138772276061848909e-10
4.798219999999999708e-01 4.847260582239372479e-09 7.593587093948257657e-10
4.998219999999999885e-01 3.816535120962122630e-09 7.601770527198816741e-10
5.198220000000000063e-01 3.080148713206709368e-09 6.675537766180848051e-10
5.398220000000000240e-01 3.164828841412643666e-09 7.396254551601867078e-10
5.598220000000000418e-01 2.077548498634003515e-09 7.169410557562385559e-10
5.798219999999999485e-01 1.751592030813756601e-09 6.862326331369909125e-10
6.098219999999999752e-01 8.506350725238734581e-10 4.872229767544399628e-10
6.398220000000000018e-01 4.646922457397771906e-11 1.635292680074737960e-07
6.598220000000000196e-01 4.659110318379390051e-10 7.703290424207263096e-10
6.798220000000000374e-01 3.390979852045707779e-10 5.964998153403412511e-10
