# q, R, dR
2.282199999999999854e-02 4.784051247448383726e-01 4.880099472908744351e-02
2.382199999999999943e-02 2.585981352726785532e-01 2.620625970973635213e-02
2.482200000000000031e-02 1.687670129137278652e-01 1.698678429689441313e-02
2.582199999999999773e-02 1.200542569017091915e-01 1.200005271091731350e-02
2.682199999999999862e-02 9.189692601600095434e-02 9.120096361051035702e-03
2.782199999999999951e-02 7.007254220045655568e-02 6.903811657849616944e-03
2.882200000000000040e-02 5.325052811175386147e-02 5.207713245052672697e-03
2.982199999999999782e-02 4.239172776110718133e-02 3.418177092581917067e-03
3.082199999999999870e-02 3.511857486641051240e-02 3.382647021332653436e-03
3.182200000000000306e-02 2.868901557762794027e-02 2.742245598361296201e-03
3.282200000000000395e-02 2.407000100206865834e-02 2.282711277088088787e-03
3.382200000000000484e-02 1.988390396624202874e-02 1.870941499690584580e-03
3.482200000000000573e-02 1.623336855638496043e-02 1.364448682325161959e-03
3.632200000000000012e-02 1.317729497299013550e-02 1.095186675053002592e-03
3.782200000000000145e-02 1.069258663580613215e-02 9.749285570386455844e-04
3.882200000000000234e-02 9.334576286895867117e-03 8.444660020066441881e-04
3.982200000000000323e-02 7.946160645685871812e-03 6.627185214543167583e-04
4.482200000000000073e-02 4.153074329855912204e-03 4.012097203110638610e-04
4.982200000000000517e-02 2.504436100403805571e-03 2.349380353135145563e-04
5.482200000000000267e-02 1.584480839252447142e-03 1.449131872837583393e-04
5.982200000000000017e-02 1.067944362205502495e-03 8.294596053735263201e-05
6.482200000000000462e-02 7.651374918477785864e-04 6.745606254611634313e-05
6.982200000000000906e-02 5.443536516683744522e-04 4.201959360488209173e-05
7.482199999999999962e-02 4.111498057366830250e-04 3.556882236188194254e-05
7.982200000000000406e-02 3.072762835226518522e-04 2.359652277986534229e-05
8.482200000000000850e-02 2.403225561806834659e-04 2.065249630621486684e-05
8.982199999999999906e-02 1.839946928574391605e-04 1.410483146628503637e-05
9.482200000000000351e-02 1.472628096314707806e-04 1.265950350410852577e-05
9.982200000000000795e-02 1.136992694314966279e-04 8.714169820395865652e-06
1.098220000000000030e-01 7.335215568239545389e-05 5.462012831288673941e-06
1.198219999999999980e-01 4.763867013941140423e-05 3.557942944284500355e-06
1.298219999999999930e-01 3.035710099926881457e-05 2.278403710222740209e-06
1.398220000000000018e-01 1.892427697763721022e-05 1.432001446835312727e-06
1.498219999999999830e-01 1.236990199375300537e-05 9.469051122642144616e-07
1.598219999999999918e-01 7.406494113184930454e-06 5.485145471630737043e-07
1.698220000000000007e-01 4.436252671269407442e-06 3.324250077967461491e-07
1.798219999999999819e-01 2.432849961329771203e-06 1.881196814891857475e-07
1.898219999999999907e-01 1.312327449414839955e-06 1.076972576374385031e-07
1.998219999999999996e-01 6.650479028386628877e-07 6.333137832657423557e-08
2.098219999999999807e-01 2.911371713606654178e-07 2.484448085337771849e-08
2.198219999999999896e-01 1.670636100982550354e-07 1.678898247079372664e-08
2.298219999999999985e-01 1.777337740551943040e-07 1.834185385267940043e-08
2.398219999999999796e-01 2.315775975609878875e-07 2.135756808698904259e-08
2.498219999999999885e-01 3.197407639032333630e-07 2.674835812714223346e-08
2.598219999999999974e-01 3.885139957110686636e-07 3.112193918930647324e-08
2.698220000000000063e-01 4.797148730347920839e-07 3.810241439082629477e-08
2.798220000000000152e-01 4.916690079243747903e-07 3.778641711197039927e-08
2.898219999999999685e-01 5.021529710764425107e-07 3.887541865079661229e-08
2.998219999999999774e-01 4.920591432361083578e-07 3.655800653126293319e-08
3.098219999999999863e-01 4.674992674582381659e-07 3.624306459735887163e-08
3.198219999999999952e-01 4.000233636263194823e-07 2.991247320510943052e-08
3.398220000000000129e-01 3.015294050295410546e-07 2.651910736084453742e-08
3.598219999999999752e-01 2.040615314028083284e-07 1.819971468136666902e-08
3.798219999999999930e-01 1.264188903271213846e-07 1.349422870497697870e-08
3.998220000000000107e-01 7.438259469055122828e-08 1.002702924798963144e-08
4.198219999999999730e-01 3.042126898879687882e-08 8.106603622319277231e-09
4.398219999999999907e-01 7.781822218734502048e-09 1.025731020143126077e-08
4.598220000000000085e-01 8.383894326049692839e-08 1.058676355753394951e-06
4.798219999999999708e-01 5.670908624917191145e-09 7.828747350990149940e-09
4.998219999999999885e-01 7.232123558522457916e-09 6.927499644598384254e-09
5.198220000000000063e-01 1.890852812654024139e-09 5.836821050635877349e-09
5.398220000000000240e-01 9.324762722388249352e-08 1.509522633485648619e-06
5.598220000000000418e-01 7.391044654628561063e-09 8.671400139062790989e-09
5.798219999999999485e-01 9.326671955474446951e-09 7.627917327838099112e-09
5.998219999999999663e-01 7.882591164729285592e-09 8.427731080370805284e-09
6.198219999999999841e-01 8.285736313657046254e-08 6.360740116962188324e-07
6.398220000000000018e-01 5.359476417875378698e-09 8.585779473825369138e-09
6.598220000000000196e-01 3.237441936250879455e-09 6.955198758211915505e-09
6.798220000000000374e-01 8.699561113449707812e-09 9.254083253322128318e-09
