# q, R, dR
2.282199999999999854e-02 3.343180973047508164e-01 3.546047322601237478e-02
2.382199999999999943e-02 1.810021304787373386e-01 1.908241010457192507e-02
2.482200000000000031e-02 1.206087854677923982e-01 1.263564241292033409e-02
2.582199999999999773e-02 8.378690318405543347e-02 8.721817781885273305e-03
2.682199999999999862e-02 6.179260478826568287e-02 6.390046641023898813e-03
2.832199999999999995e-02 4.171900002340671321e-02 3.808337355668918976e-03
2.982199999999999782e-02 2.884225641543259472e-02 2.476532535647670789e-03
3.082199999999999870e-02 2.379805438353541081e-02 2.394410447309527987e-03
3.182200000000000306e-02 1.936327801275302199e-02 1.934579671656650726e-03
3.282200000000000395e-02 1.629933256947311421e-02 1.616790870754653171e-03
3.448866666666667441e-02 1.195013420723912111e-02 1.021933184988251539e-03
3.582199999999999968e-02 9.757424192092311460e-03 9.472621646789809941e-04
3.732200000000000101e-02 7.954332997745193479e-03 6.971798829021636250e-04
3.882200000000000234e-02 6.325089179227316900e-03 6.010331648941313930e-04
3.982200000000000323e-02 5.375142989662479859e-03 4.747083780900179079e-04
4.482200000000000073e-02 2.862078392895299733e-03 2.883213862117679901e-04
4.982200000000000517e-02 1.735017313214901004e-03 1.701418520235095351e-04
5.482200000000000267e-02 1.114566874600293224e-03 1.067899097749957057e-04
5.982200000000000017e-02 7.379769526196734621e-04 6.115945415601309137e-05
6.482200000000000462e-02 5.204633713455169251e-04 4.823502912423740640e-05
6.982200000000000906e-02 3.718434181495281973e-04 3.067587923541160956e-05
7.482199999999999962e-02 2.817104435740634509e-04 2.566665875074240565e-05
7.982200000000000406e-02 2.095370096266213687e-04 1.719517361009628045e-05
8.482200000000000850e-02 1.705054691029647739e-04 1.543804576001043229e-05
8.982199999999999906e-02 1.275622478996869802e-04 1.045443219415091408e-05
9.482200000000000351e-02 1.005313067246797434e-04 9.107246243905351964e-06
9.982200000000000795e-02 8.059929610133146119e-05 6.608560571293153806e-06
1.098220000000000030e-01 5.034647379273794830e-05 4.025607522770255357e-06
1.198219999999999980e-01 3.237748151601083259e-05 2.596184978654570283e-06
1.298219999999999930e-01 2.093180450448612777e-05 1.684432692451447518e-06
1.398220000000000018e-01 1.283103737558010174e-05 1.040847162653562186e-06
1.498219999999999830e-01 7.983213540367894843e-06 6.555194591717342152e-07
1.598219999999999918e-01 4.816078909922296884e-06 3.835343447002970645e-07
1.698220000000000007e-01 2.732173732050106947e-06 2.205674367577666189e-07
1.798219999999999819e-01 1.538014974629552404e-06 1.276579735726891917e-07
1.898219999999999907e-01 8.165863772609385265e-07 7.258092964095054629e-08
1.998219999999999996e-01 3.811856418765978953e-07 3.972159755748130918e-08
2.098219999999999807e-01 2.073469924843305089e-07 1.828367705847843974e-08
2.198219999999999896e-01 1.345306279073779821e-07 1.417246916515080482e-08
2.298219999999999985e-01 1.560036829486345060e-07 1.526225773278233801e-08
2.398219999999999796e-01 2.024121952321646557e-07 1.757836740687595038e-08
2.498219999999999885e-01 2.774509712670826848e-07 2.320805889574885315e-08
2.598219999999999974e-01 3.389278595825319745e-07 2.795738825909044261e-08
2.698220000000000063e-01 3.857531737538180754e-07 3.197255662278700486e-08
2.798220000000000152e-01 4.134123675600277487e-07 3.366884704422888029e-08
2.898219999999999685e-01 4.073535423998695791e-07 3.331642777673882693e-08
2.998219999999999774e-01 3.759741952641337464e-07 2.991881205728859468e-08
3.164886666666666404e-01 3.213870054127870902e-07 2.552442880968853672e-08
3.398220000000000129e-01 2.360596664010028047e-07 2.039472149616597870e-08
3.598219999999999752e-01 1.536810597202797479e-07 1.389447080694790329e-08
3.798219999999999930e-01 9.868873000009369419e-08 1.000202042428488860e-08
3.998220000000000107e-01 5.158162491572629110e-08 6.573565049045233551e-09
4.198219999999999730e-01 2.564698724711053044e-08 6.188638020716821601e-09
4.398219999999999907e-01 1.197747270424143852e-08 4.372377061544194297e-09
4.598220000000000085e-01 6.322181570011168534e-09 4.065810910043172794e-09
4.798219999999999708e-01 8.396763211480402965e-09 5.493981938553865409e-09
4.998219999999999885e-01 3.121732163520621969e-09 3.609698539726789031e-09
5.198220000000000063e-01 7.456419323737357573e-09 5.947970091511005318e-09
5.398220000000000240e-01 6.200324595768193789e-09 4.597595215620410905e-09
5.598220000000000418e-01 2.743196268826680623e-09 4.259493957050129595e-09
5.798219999999999485e-01 2.713959966252045549e-09 4.746741363740646748e-09
6.098219999999999752e-01 3.168168999641109412e-09 3.293632024040752303e-09
6.398220000000000018e-01 6.541158553017169134e-09 6.109901820486044303e-09
6.598220000000000196e-01 4.445335355496503958e-09 4.633781073387998311e-09
6.798220000000000374e-01 4.894053218805996159e-09 4.961183634355373791e-09
