# q, R, dR
2.382199999999999943e-02 5.742649906134720261e-01 5.781215530598887709e-02
2.482200000000000031e-02 3.469831715653368676e-01 3.469164264259717162e-02
2.582199999999999773e-02 2.405172133499618448e-01 2.387839789895400758e-02
2.682199999999999862e-02 1.759766019073731314e-01 1.734436839706127165e-02
2.782199999999999951e-02 1.362617097011319389e-01 1.333151556231185891e-02
2.882200000000000040e-02 1.067362759878092149e-01 1.036432546943622142e-02
2.982199999999999782e-02 8.342958241828202226e-02 6.682695397309420388e-03
3.082199999999999870e-02 6.799654734050848692e-02 6.501822212104223925e-03
3.182200000000000306e-02 5.483165733480287185e-02 5.202184550145773009e-03
3.282200000000000395e-02 4.613565454454008480e-02 4.342509070193958758e-03
3.382200000000000484e-02 3.844768680035678954e-02 3.590249239394868730e-03
3.515533333333333704e-02 3.077096348878424412e-02 2.442205506552930921e-03
3.682200000000000056e-02 2.413953460037002174e-02 2.200561832760293633e-03
3.782200000000000145e-02 2.112464597038530428e-02 1.910349695664415601e-03
3.882200000000000234e-02 1.859391510477046219e-02 1.667960729779721261e-03
3.982200000000000323e-02 1.567800974494474447e-02 1.294098111758586796e-03
4.482200000000000073e-02 8.257231504636648733e-03 7.904854287698380531e-04
4.982200000000000517e-02 4.920577179715534752e-03 4.571978460321780239e-04
5.482200000000000267e-02 3.160184747234439599e-03 2.861336971701353084e-04
5.982200000000000017e-02 2.141585522635373884e-03 1.643272777085195925e-04
6.482200000000000462e-02 1.519525713898402502e-03 1.325557017991999648e-04
6.982200000000000906e-02 1.080193789189062750e-03 8.241626218131584733e-05
7.482199999999999962e-02 8.232388443342287350e-04 7.046117052282024483e-05
7.982200000000000406e-02 6.036493236753104515e-04 4.578611639285138968e-05
8.482200000000000850e-02 4.902622946246937719e-04 4.170541040159724932e-05
8.982199999999999906e-02 3.638967060877527741e-04 2.757365050607971574e-05
9.482200000000000351e-02 2.954198225200168845e-04 2.516212887295908837e-05
9.982200000000000795e-02 2.262156211093414100e-04 1.715447411788740493e-05
1.098220000000000030e-01 1.443785443026981475e-04 1.064203685978135815e-05
1.198219999999999980e-01 9.029829165259425515e-05 6.683365110864833451e-06
1.298219999999999930e-01 5.877929567805091897e-05 4.377588769475598459e-06
1.398220000000000018e-01 3.669982487159475755e-05 2.761203454645525038e-06
1.498219999999999830e-01 2.214556944172315416e-05 1.697080572373843137e-06
1.598219999999999918e-01 1.352492558794704769e-05 9.967989146925832756e-07
1.698220000000000007e-01 7.985258339096509432e-06 5.991792419546370438e-07
1.798219999999999819e-01 4.484779663133029333e-06 3.498383374645538076e-07
1.898219999999999907e-01 2.286702347775554165e-06 1.979262885962060908e-07
1.998219999999999996e-01 1.142346967367610887e-06 1.233493309634157582e-07
2.098219999999999807e-01 5.835022012531365844e-07 5.064550197594314835e-08
2.198219999999999896e-01 3.915721535135425033e-07 3.923875759537145496e-08
2.298219999999999985e-01 4.398074639569724513e-07 4.112470801943039869e-08
2.398219999999999796e-01 6.083452207369845106e-07 4.814801347613790868e-08
2.498219999999999885e-01 7.703760849047952236e-07 5.989959529436062543e-08
2.598219999999999974e-01 1.007614338805702419e-06 7.617430754650336095e-08
2.698220000000000063e-01 1.125444761670183172e-06 8.469161247263937881e-08
2.798220000000000152e-01 1.194519717487720523e-06 8.937770737942216575e-08
2.898219999999999685e-01 1.184971569469398319e-06 8.926286243778418676e-08
2.998219999999999774e-01 1.117612084694696510e-06 8.163709044318457928e-08
3.098219999999999863e-01 1.030079676638110854e-06 7.808438466477796939e-08
3.198219999999999952e-01 9.091720794407882748e-07 6.689744643293940743e-08
3.398220000000000129e-01 6.756554525922970223e-07 5.543444388164445804e-08
3.598219999999999752e-01 4.826547996814783346e-07 4.083972973938764940e-08
3.798219999999999930e-01 2.808934087084244728e-07 2.687050671305311797e-08
3.998220000000000107e-01 1.513267381215013093e-07 1.969134191371334321e-08
4.198219999999999730e-01 7.081133116767182054e-08 1.687858143080794557e-08
4.398219999999999907e-01 3.556617659818447324e-08 1.228002261521742868e-08
4.598220000000000085e-01 1.092091324563317156e-08 1.359576329957048028e-08
4.798219999999999708e-01 9.105686115846088698e-09 1.127993980398164853e-08
4.998219999999999885e-01 6.903293702980087721e-09 1.213208196261173282e-08
5.198220000000000063e-01 1.117860231740689367e-08 1.131299206428584600e-08
5.398220000000000240e-01 1.002082736195781186e-08 1.463788798679422446e-08
5.598220000000000418e-01 1.622120349954391294e-08 1.480058127591520563e-08
5.798219999999999485e-01 9.554527378552141521e-09 1.387519862112060833e-08
5.998219999999999663e-01 2.859761555903516289e-08 2.062955927799137443e-08
6.198219999999999841e-01 1.584347129308981390e-08 1.449629718167580870e-08
6.398220000000000018e-01 1.496521942680824781e-08 1.340208833588404940e-08
6.598220000000000196e-01 6.128383896612439264e-08 5.559357421820215652e-05
6.798220000000000374e-01 2.864317249389130842e-08 2.292821802332966824e-08
