# q, R, dR
1.482200000000000011e-02 1.100217948113476618e+00 6.484431605820621669e-02
1.582199999999999926e-02 1.063989951508565790e+00 6.133920594252286612e-02
1.682200000000000015e-02 1.025470529190625202e+00 5.774057470444001611e-02
1.782199999999999757e-02 9.969718666899780590e-01 5.463159939481979782e-02
1.882199999999999845e-02 9.666791959611960028e-01 5.148692111676608091e-02
1.982199999999999934e-02 9.361767042106868830e-01 4.837734027258307895e-02
2.082200000000000023e-02 9.104938043254713342e-01 4.554333356869169624e-02
2.182199999999999765e-02 7.294855766207298808e-01 3.967751521496698519e-02
2.282199999999999854e-02 2.956004924033538983e-01 1.548777493320013278e-02
2.382199999999999943e-02 1.755159562333277468e-01 8.856161075793929707e-03
2.482200000000000031e-02 1.183179975465442901e-01 5.752684456130154576e-03
2.582199999999999773e-02 8.476458225265737223e-02 3.970345353480958170e-03
2.682199999999999862e-02 6.603141478942346765e-02 2.989575674408060605e-03
2.832199999999999995e-02 4.547226012909182102e-02 1.578746522910204949e-03
2.982199999999999782e-02 3.120379875189443000e-02 9.169965237253351270e-04
3.082199999999999870e-02 2.624702913095982443e-02 1.071126164239058053e-03
3.182200000000000306e-02 2.169978118045602991e-02 8.700586442214004517e-04
3.282200000000000395e-02 1.869156422699045500e-02 7.537136752725608893e-04
3.448866666666667441e-02 1.413254727790911290e-02 4.042899447370156734e-04
3.582199999999999968e-02 1.153020506566092285e-02 4.629342940798454055e-04
3.732200000000000101e-02 9.570043474997546804e-03 3.191463783556883291e-04
3.882200000000000234e-02 8.282715189727504063e-03 3.463062707123478845e-04
3.982200000000000323e-02 6.924524735984774471e-03 2.195002650423994004e-04
4.482200000000000073e-02 3.887694524352871585e-03 1.208137713037252042e-04
4.982200000000000517e-02 2.447158995513165885e-03 7.488308731279847872e-05
5.482200000000000267e-02 1.612673198876102883e-03 4.937817154584952042e-05
5.982200000000000017e-02 1.123839807077853942e-03 2.801033708801222184e-05
6.482200000000000462e-02 8.160210701211860918e-04 2.546209566018741075e-05
6.982200000000000906e-02 6.106785967186366577e-04 1.541395996049230884e-05
7.482199999999999962e-02 4.713831482738909100e-04 1.512971197951098925e-05
7.982200000000000406e-02 3.589687107149666244e-04 9.230894253068806402e-06
8.482200000000000850e-02 2.833296489823205447e-04 9.472023609365808641e-06
8.982199999999999906e-02 2.200592349946281826e-04 5.751687825523741343e-06
9.482200000000000351e-02 1.764211113446493044e-04 6.148336041713750455e-06
9.982200000000000795e-02 1.371976722491486625e-04 3.683663679458593005e-06
1.098220000000000030e-01 8.677681138866483114e-05 1.996654761936563470e-06
1.198219999999999980e-01 5.672540485417831559e-05 1.319032195170713768e-06
1.298219999999999930e-01 3.667174976349840617e-05 8.622027870768673165e-07
1.398220000000000018e-01 2.407571107108461835e-05 5.787682484638732371e-07
1.498219999999999830e-01 1.578643860383555704e-05 3.888502482023317569e-07
1.598219999999999918e-01 1.003508705920930653e-05 2.365396448511753138e-07
1.698220000000000007e-01 6.390768113710522287e-06 1.537656813719399057e-07
1.798219999999999819e-01 3.946369564081878598e-06 9.697027770230802412e-08
1.898219999999999907e-01 2.339952018045516851e-06 6.192563800009946534e-08
1.998219999999999996e-01 1.471958271154414300e-06 4.084689215014156662e-08
2.098219999999999807e-01 9.421395269323407776e-07 2.342834623144361423e-08
2.198219999999999896e-01 6.971242629025204744e-07 1.702359424823973779e-08
2.298219999999999985e-01 6.370296359397377719e-07 1.619961158881159945e-08
2.398219999999999796e-01 6.323432927446341684e-07 1.638056981242656039e-08
2.498219999999999885e-01 6.656912302865719874e-07 1.720848622652318944e-08
2.598219999999999974e-01 6.940647368276866454e-07 1.679626315240954138e-08
2.698220000000000063e-01 6.934807137508881752e-07 1.695488936739351610e-08
2.798220000000000152e-01 6.705330755713890441e-07 1.673821191940805974e-08
2.898219999999999685e-01 6.466973977913241938e-07 1.608573751155065076e-08
2.998219999999999774e-01 5.945657967498797567e-07 1.401685913600377612e-08
3.164886666666666404e-01 5.051751818881132151e-07 1.194135924765755890e-08
3.398220000000000129e-01 3.594841943206197653e-07 8.807172181011060887e-09
3.598219999999999752e-01 2.446883512026752409e-07 6.498953209390418150e-09
3.798219999999999930e-01 1.485551003459192175e-07 4.118363060295972479e-09
3.998220000000000107e-01 8.142777364560201744e-08 2.659498994322000933e-09
4.198219999999999730e-01 4.160113029677365474e-08 1.439614793817453614e-09
4.398219999999999907e-01 1.838142676932307195e-08 8.987611149960430886e-10
4.598220000000000085e-01 7.547597137278869383e-09 7.031853236173403993e-10
4.798219999999999708e-01 4.770292367070033715e-09 7.249889773890158749e-10
4.998219999999999885e-01 3.546352067609264581e-09 7.018596359719314516e-10
5.198220000000000063e-01 3.204102523625514619e-09 6.766534700141071362e-10
5.398220000000000240e-01 3.170380281760604274e-09 6.566319979316959373e-10
5.598220000000000418e-01 4.634154658475363902e-10 1.770352764291592189e-09
5.798219999999999485e-01 2.778263152782029723e-09 8.260212054661836891e-10
6.098219999999999752e-01 2.187787542956308925e-09 4.824544132614679000e-09
6.398220000000000018e-01 4.325504271366012164e-10 5.872383076291655854e-10
6.598220000000000196e-01 4.109495058405704229e-10 6.346432574577913274e-10
6.798220000000000374e-01 3.942297721074868888e-10 6.844239290192525124e-10
